"Year","Forest land","Cropland","Grassland","Wetlands","Settlements","Other land","HWP","Other"
1990,-7.785062,-1.305812,-0.549105,0,0,0,,0
1991,-7.808973,-1.364293,-0.548840,0,0,0,,0
1992,-7.815439,-1.372172,-0.548576,0,0,0,,0
1993,-7.816884,-1.412101,-0.548312,0,0,0,,0
1994,-7.827857,-1.433475,-0.548048,0,0,0,,0
1995,-7.845019,-1.424489,-0.547783,0,0,0,,0
1996,-7.836194,-1.418875,-0.547518,0,0,0,,0
1997,-7.836837,-1.396396,-0.547255,0,0,0,,0
1998,-7.863930,-1.072547,-0.685208,0,0,0,,0
1999,-7.878334,-1.363792,-0.533571,0,0,0,,0
2000,-7.852639,-1.439142,-0.511342,0,0,0,,0
2001,-7.893093,-1.070900,-0.739308,0,0,0,,0
2002,-7.917551,-1.016378,-0.769923,0,0,0,,0
2003,-7.931197,-1.049562,-0.768186,0,0,0,,0
2004,-7.951348,-1.568612,-0.493608,0,0,0,,0
2005,-7.979632,-1.569842,-0.496184,0,0,0,,0
2006,-8.016328,-1.604806,-0.475035,0,0,0,,0
2007,-7.983871,-1.612782,-0.492709,0,0,0,,0
2008,-8.049203,-1.577383,-0.512539,0,0,0,,0
2009,-8.021572,-1.607763,-0.504331,0,0,0,,0
2010,-8.039834,-1.592603,-0.503672,0,0,0,,0
2011,-8.010961,-1.566713,-0.504353,0,0,0,,0
2012,-8.048089,-1.564709,-0.506406,0,0,0,,0
2013,-8.069125,-1.544684,-0.502105,0,0,0,,0
2014,-8.075538,-1.543481,-0.526175,0,0,0,,0
2015,-8.108751,-1.535514,-0.506726,0,0,0,,0
2016,-8.070049,-1.547311,-0.508207,0,0,0,,0
2017,-8.145236,-1.560257,-0.509704,0,0,0,,0
2018,-8.167166,-1.743620,-0.393438,0,0,0,,0
2019,-8.194466,-1.585160,-0.523604,0,0,0,,0
2020,-8.207296,-1.542953,-0.543771,0,0,0,,0
2021,-8.206019,-1.745507,-0.351271,0,0,0,,0
2022,-8.192008,-1.775170,-0.325990,0,0,0,,0
2023,-8.213343,-1.767181,-0.328365,0,0,0,,0
