"Year","Total","Energy","Industrial Processes","Agriculture","Waste","LULUCF"
1990,24.439845,4.698401,1.574298,17.328649,0.300039,0.538457
1991,25.929552,5.094163,2.416728,17.505401,0.435235,0.478026
1992,33.834263,5.623517,9.077469,18.105132,0.641218,0.386927
1993,35.435453,6.570782,9.278352,18.417622,0.862353,0.306345
1994,38.097367,7.110691,10.102092,19.364172,1.328291,0.192122
1995,41.332738,7.823759,11.830914,19.947873,1.536740,0.193452
1996,44.959946,8.723463,13.313217,20.567363,2.175195,0.180708
1997,48.391242,9.520353,15.762588,20.655370,2.304009,0.148922
1998,49.263760,7.696335,17.866572,20.406294,3.122283,0.172276
1999,52.668758,8.389906,21.009018,19.480499,3.613921,0.175415
2000,56.360085,9.085833,23.866533,19.069779,4.031862,0.306078
2001,57.238256,9.432082,25.145002,18.476955,4.023746,0.160471
2002,57.372376,9.752185,24.486246,18.149482,4.777008,0.207455
2003,67.542764,9.761802,35.595624,17.748883,4.274269,0.162187
2004,75.633892,9.729477,43.493207,17.992726,4.267144,0.151338
2005,71.089660,9.636863,38.736059,18.353424,4.205582,0.157731
2006,68.347094,9.699852,35.966286,18.189358,4.351125,0.140474
2007,40.367452,9.860586,7.559797,18.314497,4.469625,0.162947
2008,37.811696,9.935791,5.187287,18.197829,4.322076,0.168714
2009,38.984215,10.279437,5.130752,18.990209,4.408219,0.175597
2010,40.161407,10.840334,5.352103,19.209900,4.588520,0.170550
2011,36.877384,11.071880,3.151342,18.076911,4.417572,0.159679
2012,38.617575,11.019582,3.668591,19.132166,4.670817,0.126418
2013,38.623447,11.186103,3.178213,19.356629,4.794384,0.108118
2014,38.705342,11.124094,3.048967,19.665275,4.791956,0.075051
2015,38.123531,11.429779,2.379680,19.460129,4.815341,0.038601
2016,39.003869,11.622757,3.028570,19.288955,4.997562,0.066025
2017,40.045416,13.573421,2.022561,19.572574,4.793379,0.083482
2018,41.081486,14.051642,2.071382,19.998472,4.894429,0.065561
2019,41.577982,13.789767,2.420353,20.373324,4.898554,0.095983
2020,40.432590,12.990342,1.913138,20.466191,4.974020,0.088899
2021,40.825204,13.519489,1.542295,20.582766,5.107679,0.072975
2022,40.719425,13.369563,1.145281,20.731439,5.134488,0.338655
