"Year","Total","Energy","Industrial Processes","Agriculture","Waste","LULUCF"
1990,271.615093,234.475753,37.797757,24.865475,13.439354,-38.963246
1991,306.225601,257.328687,44.174916,24.915573,14.822093,-35.015669
1992,334.622720,273.752071,53.463438,25.214797,16.379266,-34.186851
1993,374.169228,303.458935,60.361655,25.547285,17.434275,-32.632922
1994,397.753215,323.158101,64.280222,25.767650,19.563311,-35.016068
1995,431.236447,347.962441,69.703893,25.875041,20.956258,-33.261186
1996,464.394647,381.519408,72.555731,26.228802,20.775197,-36.684490
1997,484.380562,398.735843,79.615626,26.183828,21.528632,-41.683366
1998,410.168458,340.200651,73.189313,26.132972,20.696754,-50.051232
1999,442.315488,372.901346,80.348789,25.140982,22.178501,-58.254129
2000,473.061308,402.242552,83.108751,24.712116,23.390053,-60.392164
2001,490.089665,415.071601,86.822577,24.305691,24.612608,-60.722813
2002,512.616420,432.455538,90.233611,24.157947,24.130673,-58.361350
2003,526.402433,442.261223,94.211614,23.899683,24.103494,-58.073581
2004,536.330063,451.612649,97.817792,23.826854,22.507300,-59.434531
2005,536.941522,448.168876,99.926285,23.677747,22.649195,-57.480581
2006,548.343581,458.739464,101.972103,23.682511,22.614124,-58.664621
2007,554.265500,477.326581,91.393826,23.928166,20.980273,-59.363347
2008,568.477011,490.655068,93.917030,23.898726,20.295135,-60.288948
2009,572.586644,499.155989,88.946766,24.310892,20.241684,-60.068688
2010,632.427783,550.333531,95.049325,24.667688,19.738613,-57.361375
2011,665.101194,580.221087,97.782359,23.448756,20.186001,-56.537010
2012,669.678633,575.024481,101.298967,24.053648,19.864054,-50.562518
2013,682.146303,569.701716,115.019039,23.898594,19.789770,-46.262815
2014,677.165027,560.877461,120.162464,24.031202,19.236512,-47.142611
2015,678.331900,562.925483,119.854476,23.633528,19.691314,-47.772901
2016,689.192240,575.019942,119.254254,23.539246,19.594521,-48.215722
2017,716.258959,587.475359,127.861296,23.658679,20.112436,-42.848811
2018,742.309944,612.119821,128.910623,23.489027,19.354097,-41.563625
2019,720.742441,586.435200,130.928875,23.263862,18.768820,-38.654316
2020,674.120271,544.600213,126.784100,23.091115,18.483347,-38.838505
2021,701.974875,566.782427,132.777637,23.077000,18.339027,-39.001215
2022,686.461911,551.889326,131.262155,22.953408,18.189174,-37.832151
