"Year","Coal","Oil","Gas","Cement"
1950,1.678959,0.497469,0,0.007256
1951,2.363280,0.556928,0,0.003634
1952,2.780976,0.663184,0,0.018171
1953,3.663196,1.008387,0,0.021823
1954,4.067040,1.062560,0,0.029074
1955,5.294480,1.121184,0,0.029074
1956,6.096896,1.436288,0,0.021806
1957,6.697792,1.469264,0,0.047246
1958,7.173365,1.689791,0,0.145431
1959,8.892528,2.150768,0,0.178080
1960,10.240208,2.085425,0,0.214485
1961,11.900672,2.290000,0,0.258034
1962,13.919536,2.953184,0,0.388868
1963,16.770878,3.927126,0,0.385167
1964,18.331630,3.249432,0,0.614093
1965,19.635376,4.547024,0,0.795908
1966,22.526272,6.525584,0,0.930377
1967,23.411738,10.494791,0,1.206708
1968,20.045744,15.385136,0,1.766262
1969,20.031088,20.049408,0,2.387725
1970,23.282643,27.555159,0,2.878549
1971,23.541200,31.602000,0,3.390536
1972,24.517998,32.538006,0,3.191058
1973,28.762400,40.197744,0,4.014695
1974,29.537737,41.679645,0,4.333343
1975,30.678672,46.034496,0,4.952630
1976,33.796736,53.516384,0,5.791436
1977,37.061360,61.489248,0,6.909091
1978,36.350544,69.421808,0,7.346944
1979,46.001520,78.922560,0,7.950163
1980,49.423696,77.555888,0,7.544842
1981,59.926824,72.131592,0,7.531313
1982,60.570178,71.604320,0,8.607403
1983,64.558053,74.360516,0,10.215041
1984,77.640909,73.283560,0,9.775988
1985,87.829007,71.167753,0,9.760908
1986,91.148648,73.843880,0.146382,11.158335
1987,92.276262,76.398567,4.477065,12.206487
1988,98.915259,92.495814,5.783450,13.758943
1989,96.027959,107.456790,5.598402,14.427235
1990,94.307994,130.947100,6.433053,15.873030
1991,94.093881,151.671116,7.441428,18.962260
1992,91.320434,173.971510,9.732989,21.128860
1993,99.619867,189.426779,12.159055,24.700490
1994,101.801474,206.572790,16.185652,26.839970
1995,105.299908,226.078783,19.573693,28.104570
1996,122.689419,239.471456,25.859260,28.308500
1997,133.312908,246.070210,31.427281,29.320370
1998,137.598389,183.586116,29.399206,22.878950
1999,145.634742,200.628185,35.797459,23.719440
2000,163.883136,206.229051,40.204095,24.755890
2001,174.625609,206.082680,44.163024,25.665290
2002,187.636519,207.115517,49.069014,27.107070
2003,195.319077,205.372465,51.400623,27.920400
2004,203.137986,196.255763,60.234056,26.123590
2005,209.293477,195.069382,65.269580,23.325880
2006,216.428256,190.054239,67.995038,23.139680
2007,228.427157,187.258138,73.370120,26.275120
2008,253.041243,171.088320,75.924330,26.079810
2009,262.394545,172.708274,72.171182,24.553390
2010,295.050323,176.156433,91.541235,24.297350
2011,320.169094,171.468675,98.512948,24.720600
2012,316.989866,170.817246,106.566313,24.848600
2013,320.643622,168.582207,111.530864,25.050140
2014,331.303871,161.533530,101.445313,25.411990
2015,335.411292,170.593973,92.588923,25.778710
2016,320.697359,184.034149,96.655486,26.671760
2017,337.668762,179.413376,100.860571,26.350580
2018,340.347600,177.632938,117.172670,24.702060
2019,321.606070,175.797343,113.586430,24.929900
2020,282.883413,165.067876,116.634540,22.865592
2021,283.908353,171.484229,126.789734,23.704068
2022,272.883979,173.663950,126.731783,23.408959
2023,263.885961,170.359088,122.050539,22.694308
2024,247.465035,176.142654,129.311710,20.571193
