"Year","Coal","Natural gas","Hydro","Nuclear","Wind","Solar"
2017,26.556458,-1.368166,0.626256,-12.916716,0.485748,1.986793
2018,-1.658904,27.526875,0.213132,-14.200386,0.295162,2.152880
2019,-12.006541,-8.797292,-0.999491,11.601306,0.214252,4.954932
2020,-24.750982,8.136190,0.876984,13.904732,0.470714,5.134183
2021,3.945276,19.023783,-0.392713,-2.127387,0.029476,5.417912
2022,-5.374787,-5.287857,0.516849,17.175894,0.188925,6.009117
2023,-12.861585,-7.949551,0.235214,4.168624,0.023725,2.519196
2024,-0.954561,20.489473,1.476917,7.631901,-0.004508,3.883196
2025,1.574937,-4.584515,-0.744142,-3.860655,0.296663,6.372460
2026,4.259007,1.633449,-0.133318,-3.085365,0.180801,0.867497
