"Year","Lebanon","World"
1950,1.120662,2.378734
1951,1.050076,2.515504
1952,0.823346,2.502896
1953,0.850268,2.524970
1954,0.865113,2.527923
1955,1.043268,2.716614
1956,1.178752,2.835461
1957,1.254150,2.869636
1958,1.169242,2.891376
1959,1.404784,2.985590
1960,1.435575,3.112931
1961,1.447778,3.071906
1962,1.492884,3.120741
1963,1.534190,3.215595
1964,1.606003,3.315825
1965,1.585575,3.391959
1966,1.686450,3.484865
1967,1.615347,3.523155
1968,1.629619,3.640223
1969,1.865902,3.802135
1970,1.651524,4.032588
1971,2.166786,4.112597
1972,2.252577,4.219747
1973,2.746565,4.355556
1974,2.689701,4.253289
1975,2.326274,4.173319
1976,2.172782,4.310191
1977,1.949749,4.352449
1978,1.947042,4.432504
1979,2.006916,4.465701
1980,2.000079,4.364099
1981,1.942267,4.168842
1982,1.872194,4.060496
1983,2.243040,4.023942
1984,2.129314,4.068703
1985,2.413437,4.137420
1986,2.265946,4.122175
1987,2.265615,4.179654
1988,2.126310,4.262697
1989,2.190113,4.241189
1990,2.188543,4.266701
1991,2.211869,4.282473
1992,2.595663,4.090168
1993,2.710249,4.068620
1994,2.856401,4.047994
1995,3.094057,4.083544
1996,3.160712,4.148108
1997,3.675074,4.114970
1998,3.895097,4.044522
1999,3.861011,4.079117
2000,3.572430,4.133621
2001,3.727149,4.107635
2002,3.639236,4.144280
2003,4.094353,4.307030
2004,3.741546,4.399256
2005,3.564510,4.493561
2006,3.113440,4.585831
2007,2.837686,4.661509
2008,3.536350,4.682571
2009,4.197987,4.545518
2010,3.966565,4.744937
2011,3.976462,4.848876
2012,4.265304,4.854014
2013,3.858969,4.837742
2014,3.780064,4.804597
2015,3.975490,4.739116
2016,4.181183,4.682487
2017,4.516257,4.705259
2018,4.313434,4.752195
2019,4.338711,4.747814
2020,4.155085,4.457744
2021,3.405730,4.634748
2022,2.673990,4.678452
2023,2.694869,4.707772
2024,2.695501,4.729075
