"Year","Total","Energy industries","Manufacturing","Transport","Other sectors","Other","Fugitive: Solid fuels","Fugitive: Oil & Gas"
1990,200.866350,0.170759,36.281777,76.858885,87.554929,,,
1991,208.396838,0.848166,35.926696,90.225594,81.396381,,,
1992,209.141146,1.894454,36.307706,89.521744,81.417242,,,
1993,217.259251,1.955817,37.565300,87.408588,90.329546,,,
1994,203.227653,1.837604,35.609482,80.002884,85.777683,,,
1995,206.366465,2.077644,35.680854,82.017829,86.590139,,,
1996,208.140516,2.592588,35.745937,83.311805,86.490186,,,
1997,220.662494,2.532219,37.591103,86.937982,93.601191,,,
1998,231.483515,2.925590,40.338011,86.549471,101.670442,,,
1999,228.779361,2.930324,39.801605,90.687786,95.359646,,,
2000,219.122564,2.767287,36.402277,91.525282,88.427718,,,
2001,216.783534,2.928399,36.384281,88.106940,89.363915,,,
2002,222.006559,2.516573,37.857002,84.044598,97.588385,,,
2003,231.253189,2.825685,41.163979,83.807831,103.455695,,,
2004,230.805889,2.951241,39.801756,82.251932,105.800960,,,
2005,230.373270,3.132830,39.135275,81.830591,106.274573,,,
2006,232.500609,2.851712,40.503555,79.238126,109.907217,,,
2007,202.102923,2.591078,33.873463,83.381999,82.256382,,,
2008,220.933993,2.920763,36.331459,87.796068,93.885704,,,
2009,206.838220,2.977909,27.539023,81.868371,94.452917,,,
2010,192.215623,3.259940,26.062982,77.689421,85.203279,,,
2011,178.116662,3.056149,23.552216,76.825830,74.682467,,,
2012,186.677673,2.811579,25.704710,79.826541,78.334844,,,
2013,193.883672,3.037556,26.380540,79.543166,84.922410,,,
2014,162.372868,2.517824,27.316785,73.682338,58.855922,,,
2015,160.865072,2.048889,27.574354,61.709733,69.532096,,,
2016,150.820594,2.174827,25.929048,60.254322,62.462396,,,
2017,156.678192,2.125563,27.650590,60.545295,66.356745,,,
2018,143.812658,2.183889,24.553387,58.451652,58.623731,,,
2019,149.910980,3.424860,24.076194,57.002602,65.407324,,,
2020,142.758142,2.440425,22.805579,52.464149,65.047989,,,
2021,146.775611,2.591550,23.181512,55.842754,65.159795,,,
2022,129.476169,2.327421,21.281431,50.113223,55.754094,,,
2023,132.318766,2.867374,19.823821,54.069081,55.558489,,,
