"Year","Sawnwood","Wood panels","Paper & paper products","Roundwood"
1961,,,,
1962,,,,
1963,,,,
1964,,,,
1965,,,,
1966,,,,
1967,,,,
1968,,,,
1969,,,,
1970,,,,
1971,,,,
1972,,,,
1973,,,,
1974,,,,
1975,,,,
1976,,,,
1977,,,,
1978,,,,
1979,,,,
1980,,,,
1981,,,,
1982,,,,
1983,,,,
1984,,,,
1985,,,,
1986,,,,
1987,,,,
1988,,,,
1989,,,,
1990,,,,
1991,,,,
1992,,,,0.012000
1993,,,,0.011000
1994,,,,0.021000
1995,,0,,0.018000
1996,,0,,0.013000
1997,,0,,0.013000
1998,,0,,0.013000
1999,,0,,0.007500
2000,,0,,0.024167
2001,,0,,0.022167
2002,,0,,0.022167
2003,,0,,0.022167
2004,,0,,0.022167
2005,,0,,0.022167
2006,0.010000,0.001500,0,0.025000
2007,0.010000,0.001500,0,0.025000
2008,0.010000,0,0,0.028250
2009,0.004000,0,0,0.025000
2010,0.004000,0,0,0.025000
2011,0.008000,0,0,0.026000
2012,0.008000,0,0,0.023333
2013,0,0,0,0.019164
2014,0,0,0,0.020812
2015,0,0,0,0.008065
2016,0,0,0,0.007943
2017,0,0,0,0.008560
2018,0,0,0,0.012225
2019,0,0,0,0.008377
2020,0,0,0,0.007130
2021,0,0,0,0.007130
2022,0,0,0,0.007130
2023,0,0,0,0.007130
