"Year","Sawnwood","Wood panels","Paper & paper products","Roundwood"
1961,,,,0.000300
1962,,,,0.000400
1963,,,,0.000200
1964,,,,0.000200
1965,,,,0.000200
1966,,,,0.000600
1967,0.000200,,,0.000800
1968,0.000200,,,0.000300
1969,0.000300,,,0.000300
1970,0.000100,,,0.000300
1971,0.000100,,,0.000200
1972,0.000100,,,0.000100
1973,0.000100,,,0.000100
1974,0.000100,,,0.000100
1975,0.000300,,,0.000600
1976,0.000700,,,0.000800
1977,0.000700,,,0.000200
1978,0.000700,,,0.000200
1979,0.000700,,,0.000200
1980,0.000700,,,0.000200
1981,0.000700,,,
1982,0.000700,,,
1983,0.000700,,,
1984,0.000700,,,
1985,0.000700,,,
1986,0.000700,,,
1987,0.000700,,,
1988,0.000700,,,
1989,0.000700,,,
1990,0.000700,,,0.003840
1991,0.000700,,,0.004046
1992,0.002671,0.000020,0.000314,0.001372
1993,0.001303,0.000079,0.000070,0.001211
1994,0.000908,0.000225,0.009106,0.000323
1995,0.000900,0.000704,0.009106,0.000378
1996,0.000900,0.000704,0,0.000378
1997,0.000692,0.000706,0,0.002486
1998,0.000576,0.000006,0,0.002486
1999,0.000400,0.000006,0,0.002486
2000,0.000576,0.000006,0,0.002486
2001,0.000400,0.000006,0.009600,0.002486
2002,0.000089,0.002794,0.009222,0.000386
2003,0.000174,0.055255,0.001470,0.003226
2004,0.001012,0.096889,0.002946,0.015394
2005,0.001012,0.096889,0.002946,0.015394
2006,0.000223,0.025348,0.001340,0.002909
2007,0.000371,0.045932,0.002102,0.004163
2008,0.002172,0.149953,0.003256,0.003084
2009,0.002109,0.034477,0.001628,0.000627
2010,0.000880,0.062417,0.003300,0.002230
2011,0.001499,0.076981,0.004094,0.002808
2012,0.000778,0.078314,0.001850,0.001926
2013,0.000254,0.080314,0.000870,0.000722
2014,0.001453,0.137824,0.001472,0.000474
2015,0.002682,0.077851,0.002022,0.000301
2016,0.003242,0.072988,0.013934,0.000578
2017,0.012917,0.072565,0.033642,0.000067
2018,0.017553,0.058732,0.048282,0.000254
2019,0.023094,0.042335,0.036588,0.000059
2020,0.018258,0.029501,0.029548,0.000001
2021,0.007619,0.023790,0.016919,0.000056
2022,0.000163,0.011911,0.022320,0.000830
2023,0.004570,0.005763,0.030660,0.002079
