"Year","Fossil CO2 (Gt)","Energy (EJ)","GDP-PPP ($m)","Population (people)"
1990,0.003802,0.107593,67194.697842,16352458
1991,0.004107,0.107376,70285.645372,16475354
1992,0.005036,0.115195,73378.207619,16739284
1993,0.004912,0.125643,78441.350358,17025918
1994,0.005342,0.136114,82834.002227,17275773
1995,0.005717,0.146658,87389.942950,17564068
1996,0.006863,0.154277,90710.732123,17905018
1997,0.007401,0.159241,96521.117084,18248200
1998,0.007621,0.169760,101056.087490,18596003
1999,0.008381,0.182589,105402.045460,18944731
2000,0.009990,0.192768,111726.203140,19293054
2001,0.010158,0.187319,109999.577310,19600362
2002,0.010787,0.192633,114360.703810,19805752
2003,0.010761,0.198222,121154.037330,19951521
2004,0.011908,0.192625,127750.948900,20087605
2005,0.011670,0.222431,135724.841260,20216524
2006,0.011503,0.238803,146132.618270,20352411
2007,0.011844,0.242785,156064.998240,20492545
2008,0.011648,0.228873,165351.003190,20629378
2009,0.012572,0.232055,171202.629780,20756435
2010,0.012697,0.250617,184926.176720,20879089
2011,0.014476,0.272084,200468.728160,21009048
2012,0.015389,0.280629,218800.735830,21169458
2013,0.014143,0.285171,226230.623860,21358827
2014,0.017076,0.309208,237453.247750,21547456
2015,0.019179,0.328681,249344.154400,21729971
2016,0.022339,0.363138,260531.315330,21910772
2017,0.022168,0.384233,269853.567860,22087522
2018,0.020137,0.404529,278683.177890,22253118
2019,0.021106,0.406927,284967.975510,22410552
2020,0.020412,0.377931,274797.251500,22561807
2021,0.020823,0.391857,284626.208830,22700372
2022,0.018377,0.350665,291948.932110,22834965
2023,0.019166,0.360281,299940.122880,22971617
2024,0.020826,0.400826,308455.788420,23103565
