"Year","Total","Energy","Industrial Processes","Agriculture","Waste","LULUCF"
1990,31.472887,32.240350,3.414466,0.080197,0.002659,-4.264786
1991,32.427233,34.326709,3.400690,0.090319,0.002659,-5.393144
1992,15.974540,19.290371,1.831995,0.045334,0.000742,-5.193902
1993,9.700694,15.423045,0.879741,0.014787,0.002141,-6.619019
1994,9.381022,14.515499,1.236175,0.014711,0.000657,-6.386020
1995,10.150384,13.585070,1.454486,0.015277,0.002510,-4.906959
1996,16.448334,14.092226,1.611296,0.035588,0.000853,0.708371
1997,14.443682,13.641543,1.484541,0.035908,0.000854,-0.719165
1998,7.383874,14.346698,1.612140,0.037271,0.000943,-8.613179
1999,5.654812,11.930971,1.482024,0.036192,0.000409,-7.794783
2000,1.797705,10.396886,1.409788,0.035227,0.001134,-10.045329
2001,4.994891,11.063463,1.494466,0.034265,0.001542,-7.598846
2002,6.812121,11.098664,1.524596,0.041386,0.001383,-5.853908
2003,7.334176,11.093424,1.521546,0.040763,0.003698,-5.325255
2004,8.768755,11.719177,1.492259,0.040797,0.001911,-4.485388
2005,10.264267,12.518401,1.288669,0.051875,0.003601,-3.598278
2006,11.489435,12.573577,1.578462,0.039939,0.003286,-2.705830
2007,10.984209,12.818513,2.601754,0.052576,0.000660,-4.489295
2008,9.775889,12.693757,2.182567,0.041826,0.000641,-5.142902
2009,6.176463,11.556681,1.224374,0.047370,0.000700,-6.652662
2010,2.689654,12.507534,1.254961,0.037934,0.001463,-11.112238
2011,4.198087,11.712833,2.203709,0.038658,0.004450,-9.761562
2012,4.948468,11.684019,2.328020,0.041074,0.001024,-9.105668
2013,4.338919,11.065293,2.033854,0.048255,0.000772,-8.809255
2014,4.926837,10.644509,2.120341,0.078999,0.001955,-7.918966
2015,5.576806,10.588860,2.389131,0.061508,0.005721,-7.468414
2016,6.134894,10.892377,2.151498,0.057004,0.000639,-6.966624
2017,7.127346,10.842179,2.381374,0.052584,0.001262,-6.150052
2018,7.094622,11.192244,2.147781,0.055272,0.000869,-6.301544
2019,7.776671,11.196255,2.370812,0.067500,0.001681,-5.859576
2020,7.350608,11.099982,2.225978,0.104271,0.002109,-6.081732
2021,7.465102,11.513174,2.077549,0.126060,0.002448,-6.254129
2022,6.093725,11.148424,1.647046,0.071193,0.002309,-6.775247
2023,5.823360,10.987749,1.453642,0.063984,0.002143,-6.684157
2024,4.679570,11.093488,1.703117,0.083544,0.002151,-8.202730
