"Year","Coal","Oil","Gas","Cement"
1950,2.324988,4.444863,0.156051,0.077073
1951,2.522822,4.799809,0.169070,0.091056
1952,2.593025,5.256450,0.167113,0.103723
1953,2.644564,5.652944,0.174885,0.117561
1954,2.842631,6.203489,0.188927,0.140057
1955,3.138144,7.104070,0.222257,0.166033
1956,3.247583,7.946199,0.288657,0.183814
1957,3.381145,8.734962,0.437894,0.213944
1958,3.361089,9.397918,0.626364,0.246933
1959,3.329148,9.942009,0.772047,0.287923
1960,3.208511,10.431589,0.943059,0.338366
1961,3.025571,10.822144,1.172242,0.378543
1962,2.862081,11.504386,1.386127,0.427208
1963,2.910739,12.337206,1.663109,0.455314
1964,2.958849,13.040709,1.994170,0.485195
1965,3.027483,13.752350,2.282515,0.541615
1966,3.091475,14.517176,2.498444,0.599283
1967,3.025023,15.358651,2.654481,0.635808
1968,2.914517,15.932980,2.799933,0.657349
1969,2.899164,16.734751,2.937985,0.675404
1970,3.051811,18.005647,2.687450,0.717315
1971,3.055647,18.818971,2.982800,0.784325
1972,3.090679,20.057535,3.078896,0.845493
1973,3.053958,21.075779,3.182400,0.919523
1974,2.991137,22.066311,3.296120,1.000748
1975,3.059194,23.156828,3.570548,1.096939
1976,3.154792,23.817857,3.942807,1.139630
1977,3.192484,24.560484,4.210545,1.188557
1978,3.097904,25.706017,4.310185,1.210179
1979,3.119256,25.968324,4.612247,1.194087
1980,3.321325,26.862617,4.864424,1.235061
1981,2.926402,26.389800,5.069330,1.286863
1982,2.986797,26.690430,5.402297,1.281616
1983,2.975862,26.772296,5.819969,1.359027
1984,2.996085,26.496371,6.381255,1.411629
1985,3.555197,27.859249,7.296837,1.449600
1986,4.158244,23.216791,6.853215,1.528025
1987,4.063006,22.278043,7.865490,1.583896
1988,4.227018,21.678969,8.305237,1.638364
1989,3.935028,21.925375,8.674100,1.679686
1990,3.187051,19.786504,10.587368,1.668073
1991,3.555129,21.282118,10.921740,1.549967
1992,1.662027,12.083206,6.291783,0.754953
1993,1.464818,10.888608,3.414779,0.363902
1994,1.220176,10.039003,3.979680,0.381595
1995,0.979148,9.025899,4.566365,0.307971
1996,0.895311,9.413383,4.928106,0.317549
1997,0.737671,9.312644,4.549423,0.366072
1998,0.646718,10.705993,4.002418,0.411705
1999,0.547675,8.354796,4.033460,0.345806
2000,0.378470,6.457616,4.532081,0.292541
2001,0.342059,7.119471,4.644122,0.283389
2002,0.547510,6.900331,4.740839,0.290500
2003,0.713543,6.347748,5.129368,0.292463
2004,0.687531,6.834384,5.179861,0.351024
2005,0.763105,7.196521,5.335797,0.383313
2006,1.030194,7.134421,5.318033,0.515276
2007,1.024928,7.512708,6.247556,0.524055
2008,0.867360,7.788941,5.589826,0.453817
2009,0.688946,6.859188,4.740218,0.284023
2010,0.842852,6.813284,5.552514,0.289045
2011,0.972862,6.488284,5.860135,0.319844
2012,0.950419,6.727311,5.673480,0.395191
2013,1.091504,6.517507,4.740110,0.460789
2014,0.922524,6.766958,4.413719,0.400828
2015,0.735889,7.081208,4.419516,0.518315
2016,0.748809,7.620556,3.954711,0.452401
2017,0.801037,7.717554,4.028983,0.450351
2018,0.858890,8.019708,3.730419,0.511329
2019,0.800845,8.118934,3.877274,0.578055
2020,0.621598,7.942367,4.134290,0.556685
2021,0.739404,8.144924,3.961022,0.633486
2022,0.733561,8.374942,2.794360,0.682198
2023,0.465399,8.539980,2.745536,0.497704
2024,0.379280,8.364043,3.041700,0.497704
