"Year","Combined heat and power generation","Heat plants","Residential: Stationary combustion","Road transportation","Manufacturing industries and construction","All others"
1990,0,0.053406,0.911959,0,0.051075,0.191127
1991,0,0.099516,0.911959,0,0.037496,0.158597
1992,0,0.091206,0.937496,0,0.040435,0.139342
1993,0,0.091611,1.531551,0,0.065162,0.116237
1994,0,0.048947,1.539963,0,0.098502,0.178257
1995,0,0.056548,1.680015,0,0.087254,0.133262
1996,0,0.065668,1.811351,0,0.100023,0.167110
1997,0,0.081781,1.849455,0,0.109853,0.153429
1998,0,0.099719,1.998019,0,0.142585,0.179068
1999,0,0.062527,2.095610,0,0.126574,0.223151
2000,0,0.166198,2.234446,0,0.133526,0.202680
2001,0.046920,0.243621,2.284102,0,0.195708,0.207139
2002,0.084416,0.337991,2.240691,0,0.342972,0.209937
2003,0.076816,0.437843,2.261037,0,0.422388,0.198298
2004,0.037835,0.614446,2.298827,0.002247,0.437518,0.167846
2005,0.020934,0.619057,2.357281,0.010479,0.429064,0.160862
2006,0.081905,0.658851,2.436117,0.058259,0.388350,0.160445
2007,0.164646,0.606364,2.343386,0.162036,0.383324,0.164504
2008,0.192755,0.719315,2.431451,0.185537,0.352178,0.171795
2009,0.242536,0.824961,2.478472,0.156327,0.281175,0.175671
2010,0.263898,0.814808,2.434609,0.136271,0.317624,0.180110
2011,0.258642,0.761329,2.368217,0.135612,0.324573,0.195540
2012,0.404308,0.936237,2.378153,0.175952,0.364128,0.205776
2013,0.693555,0.889790,2.289787,0.171384,0.361688,0.212848
2014,0.701378,1.286348,2.156617,0.184181,0.351317,0.215050
2015,0.755983,1.827827,2.081830,0.199187,0.371731,0.207297
2016,0.756768,1.888975,2.053158,0.166328,0.400267,0.213367
2017,0.922272,2.091464,1.994993,0.211783,0.422375,0.211197
2018,0.963319,1.970605,2.035218,0.230022,0.461650,0.217513
2019,0.954230,1.960947,1.957589,0.222408,0.465713,0.214735
2020,1.060861,1.911123,1.952822,0.304436,0.530169,0.234934
2021,1.221943,2.423291,1.961233,0.371087,0.551602,0.247613
2022,1.208389,2.008259,1.869723,0.356780,0.531316,0.231559
2023,1.411273,2.055997,1.835283,0.352280,0.606738,0.241780
