"YYYYMM","Coal (MtCO2)","Oil (MtCO2)","Gas (MtCO2)","Cement (MtCO2)"
200801,0.016465,0.605287,0.311550,
200802,0.032930,0.619918,0.287787,
200803,0.019758,0.611179,0.298295,
200804,0.019758,0.649230,0.229966,
200805,0.009879,0.614223,0.126204,
200806,0.072445,0.590986,0.112527,
200807,0.029637,0.709791,0.128791,
200808,0.023051,0.607749,0.185662,
200809,0.039516,0.721270,0.219141,
200810,0.062566,0.721270,0.249715,
200811,0.016465,0.709584,0.258903,
200812,0.013172,0.607749,0.185662,
200901,0.037707,0.613610,0.325153,
200902,0.013711,0.569205,0.262681,
200903,0.020567,0.646431,0.253690,
200904,0.027423,0.617034,0.196561,
200905,0.023995,0.453555,0.185310,
200906,0.023995,0.619945,0.147241,
200907,0.027423,0.634717,0.178580,
200908,0.020567,0.492462,0.161010,
200909,0.037707,0.622541,0.194609,
200910,0.023995,0.681842,0.241001,
200911,0.047990,0.637218,0.243364,
200912,0.034279,0.613662,0.269565,
201001,0.016829,0.574321,0.326828,
201002,0.013464,0.596752,0.284999,
201003,0.070684,0.687602,0.278011,
201004,0.074050,0.684752,0.227255,
201005,0.030293,0.644977,0.192414,
201006,0.033659,0.650788,0.181906,
201007,0.020195,0.662089,0.174509,
201008,0.013464,0.580123,0.157624,
201009,,0.628049,0.192873,
201010,0.020195,0.673478,0.243833,
201011,0.020195,0.662078,0.255005,
201012,0.013464,0.541000,0.326828,
201101,0.015308,0.631732,0.308577,
201102,0.040872,0.634652,0.276452,
201103,0.039150,0.706961,0.267010,
201104,0.015308,0.644256,0.202862,
201105,0.015308,0.672538,0.188390,
201106,0.011902,0.634790,0.179974,
201107,0.015308,0.656815,0.172738,
201108,0.051090,0.647396,0.095811,
201109,0.045962,0.637930,0.106383,
201110,0.022120,0.681888,0.155649,
201111,0.028932,0.644095,0.248946,
201112,0.013624,0.666027,0.261467,
201201,0.013366,0.619800,0.276170,
201202,0.003341,0.666727,0.314648,
201203,0.021707,0.632313,0.238154,
201204,0.028390,0.607351,0.228970,
201205,0.065145,0.713826,0.188850,
201206,0.055121,0.648042,0.164378,
201207,0.018365,0.679413,0.164378,
201208,0.011682,0.607437,0.126721,
201209,0.008341,0.613694,0.126772,
201210,0.021707,0.629293,0.205114,
201211,0.021707,0.635507,0.236409,
201212,0.016707,0.579086,0.229483,
201301,0.047556,0.612710,0.264715,
201302,0.025607,0.556590,0.255978,
201303,0.021949,0.672550,0.264051,
201304,0.051214,0.694515,0.163397,
201305,0.014633,0.623015,0.131872,
201306,0.018291,0.622002,0.089925,
201307,0.010974,0.653927,0.085428,
201308,0.014633,0.575660,0.075567,
201309,0.021949,0.625130,0.102851,
201310,0.012788,0.672442,0.192929,
201311,0.018291,0.621717,0.248468,
201312,0.018291,0.587249,0.240037,
201401,0.028443,0.567693,0.228970,
201402,0.071109,0.574008,0.202580,
201403,0.021333,0.649782,0.221452,
201404,0.031999,0.615456,0.182531,
201405,0.007111,0.602719,0.114050,
201406,0.014222,0.565142,0.087097,
201407,0.010666,0.593272,0.087200,
201408,0.014222,0.518328,0.079528,
201409,0.010666,0.637218,0.128268,
201410,0.014222,0.646507,0.187595,
201411,0.014222,0.555431,0.229123,
201412,0.039110,0.574325,0.257661,
201501,0.030349,0.545470,0.278666,
201502,0.056904,0.648742,0.263475,
201503,0.030349,0.626158,0.234370,
201504,0.018968,0.600349,0.136827,
201505,0.018968,0.584205,0.114014,
201506,0.026555,0.545479,0.085881,
201507,0.024643,0.526113,0.078413,
201508,0.013262,0.535805,0.073707,
201509,0.013262,0.590669,0.114423,
201510,0.013262,0.503529,0.139845,
201511,0.020849,0.555152,0.153502,
201512,0.020849,0.561604,0.156520,
201601,0.014537,0.531265,0.203565,
