"Year","Total","Energy","Industrial Processes","Agriculture","Waste","LULUCF"
1990,88.026867,82.767701,0.013933,0,5.245233,0
1991,81.642212,76.381061,0.015917,0,5.245233,0
1992,75.512440,70.248782,0.018233,0,5.245426,0
1993,63.377196,58.115018,0.016945,0,5.245233,0
1994,53.389733,48.126405,0.018095,0,5.245233,0
1995,48.559305,41.746058,0.017514,0,6.795733,0
1996,48.840911,41.757229,0.017374,0,7.066308,0
1997,43.466418,40.914461,0.016358,0,2.535599,0
1998,45.483532,40.442929,0.016017,0,5.024586,0
1999,55.677112,40.605829,0.016471,0,15.054812,0
2000,58.657829,38.667582,0.015469,0,19.974778,0
2001,51.910608,36.565149,0.014989,0,15.330469,0
2002,53.216125,36.579912,0.015264,0,16.620948,0
2003,51.316420,35.919711,0.014351,0,15.382358,0
2004,63.777661,35.388140,0.013717,0,28.375804,0
2005,69.694724,35.786865,0.012759,0,33.895100,0
2006,78.206057,35.656293,0.012952,0,42.536811,0
2007,74.239774,34.789862,0.012783,0,39.437129,0
2008,75.886011,33.132174,0.011931,0,42.741906,0
2009,40.762023,30.914736,0.010130,0,9.837157,0
2010,50.184102,29.754414,0.008170,0,20.421517,0
2011,46.386225,29.803772,0.008661,0,16.573792,0
2012,52.104923,30.019774,0.009329,0,22.075820,0
2013,50.865126,29.761743,0.009359,0,21.094023,0
2014,52.453080,28.808845,0.008854,0,23.635381,0
2015,54.313137,28.406615,0.008322,0,25.898199,0
2016,53.416312,28.241422,0.008232,0,25.166658,0
2017,54.329655,27.725521,0.008481,0,26.595653,0
2018,53.475069,27.861147,0.008988,0,25.604934,0
2019,43.186341,27.378480,0.008850,0,15.799011,0
2020,28.832372,25.761363,0.007069,0,3.063940,0
2021,26.534994,26.027979,0.007321,0,0.499694,0
2022,29.532075,27.081390,0.007588,0,2.443097,0
2023,26.913821,26.905881,0.007941,0,,0
2024,27.315164,27.306664,0.008500,0,,0
