"Year","Total","Fossil CO¿","CH¡","N¿O","F-gas","LULUCF"
1990,43.808100,37.004814,5.997681,2.481616,0,-1.676011
1991,36.471426,31.311154,5.606377,2.295530,0,-2.741634
1992,29.298938,24.138103,5.364813,1.934554,0,-2.138533
1993,22.534976,18.086477,4.983709,1.628261,0,-2.163472
1994,19.283547,15.064147,4.893464,1.425028,0,-2.099092
1995,15.876325,11.942486,4.637780,1.353817,0.000936,-2.058694
1996,15.081394,11.805593,4.577961,1.201919,0.001508,-2.505587
1997,13.897354,10.726959,4.141158,1.172683,0.002103,-2.145549
1998,12.221647,9.265782,3.991277,1.128706,0.002852,-2.166970
1999,10.243241,7.256970,3.839820,1.019260,0.003637,-1.876445
2000,9.064430,6.514648,3.739775,0.961394,0.004656,-2.156044
2001,10.102963,7.146082,3.724484,1.025811,0.006247,-1.799661
2002,9.909228,6.913142,3.796660,1.078302,0.008300,-1.887176
2003,10.436258,7.580052,3.699534,0.963055,0.010960,-1.817344
2004,10.811895,8.098032,3.667321,1.022184,0.014403,-1.990045
2005,11.485175,8.436723,3.682927,1.044500,0.020245,-1.699220
2006,10.540745,7.773209,3.532172,1.029752,0.030264,-1.824652
2007,10.372410,8.156439,3.331646,0.863365,0.040760,-2.019801
2008,11.126365,8.529630,3.298559,0.959493,0.052311,-1.713628
2009,11.448564,8.569557,3.193568,0.948171,0.061609,-1.324341
2010,12.239159,9.215016,3.193148,1.016483,0.071258,-1.256746
2011,12.622329,9.516066,3.222200,1.000469,0.081342,-1.197747
2012,12.179272,9.213475,3.152504,0.949126,0.088966,-1.224800
2013,11.969484,8.864148,3.034941,1.068593,0.096792,-1.094990
2014,12.518185,8.848818,3.081366,1.226097,0.109062,-0.747158
2015,11.960154,9.024655,3.005342,0.994084,0.139004,-1.202932
2016,12.441567,9.091774,3.049111,1.110039,0.147939,-0.957295
2017,12.258548,8.694856,3.187297,1.225403,0.163287,-1.012295
2018,13.036992,9.293211,3.156415,1.270892,0.175821,-0.859348
2019,13.599480,9.364185,2.767542,1.274356,0.197920,-0.004523
2020,13.369890,9.657375,2.423268,1.103035,0.208285,-0.022073
2021,14.657271,10.627514,2.416363,1.349333,0.214950,0.049112
2022,13.372475,9.401147,2.290058,1.024098,0.236530,0.420643
