"Year","Coal","Oil","Gas","Cement"
1950,4.349068,2.510982,0.084003,0.047483
1951,4.719206,2.711537,0.091012,0.057181
1952,4.937636,3.022849,0.091575,0.066366
1953,5.115524,3.302322,0.097351,0.076611
1954,5.538234,3.650020,0.105924,0.092924
1955,6.182746,4.226917,0.126012,0.112112
1956,6.546795,4.837683,0.167456,0.126276
1957,6.952396,5.424286,0.259115,0.149479
1958,7.101639,5.996817,0.380853,0.175412
1959,7.192343,6.486671,0.479991,0.207882
1960,7.125522,6.996390,0.602704,0.248233
1961,6.922879,7.478278,0.771875,0.282092
1962,6.762533,8.209211,0.942503,0.323294
1963,6.983106,8.938661,1.148201,0.349810
1964,7.189841,9.569909,1.394474,0.378344
1965,7.434315,10.198730,1.612963,0.428548
1966,7.663266,10.867759,1.782251,0.481028
1967,7.624457,11.690804,1.925362,0.517597
1968,7.460345,12.316875,2.062493,0.542609
1969,7.496950,13.068995,2.186321,0.565175
1970,7.884919,14.049570,1.998188,0.608362
1971,8.041330,14.956671,2.258940,0.645607
1972,8.193997,16.059511,2.349045,0.676003
1973,8.189598,17.068573,2.455895,0.714640
1974,8.114638,18.078983,2.573290,0.756542
1975,8.346693,19.080904,2.803472,0.807143
1976,8.623718,19.662446,3.101572,0.826703
1977,8.764060,20.362185,3.326344,0.850509
1978,8.596988,21.543949,3.442135,0.854717
1979,8.628859,21.694876,3.671701,0.832816
1980,9.147487,22.343462,3.855450,0.851049
1981,8.211496,22.363286,4.093470,0.869865
1982,8.376564,22.606166,4.360048,0.850144
1983,8.374613,22.753525,4.713302,0.884974
1984,8.440574,22.543195,5.173408,0.902676
1985,9.858811,23.331620,5.823065,0.910544
1986,10.606187,22.064075,5.335491,0.944962
1987,10.578610,19.419334,6.387459,0.964628
1988,9.275983,19.969892,8.518542,0.982886
1989,8.747497,18.833837,9.285059,0.992851
1990,7.448760,19.443717,8.446105,0.971697
1991,6.480552,15.061115,6.997162,0.900788
1992,4.008416,9.500752,6.994576,0.474314
1993,3.836208,6.386352,5.217536,0.405716
1994,3.696976,3.378208,5.023344,0.328436
1995,2.246032,3.052112,5.858736,0.248526
1996,1.982224,2.810288,6.701456,0.193122
1997,0.996608,2.568464,3.466144,0.270127
1998,0.982527,2.126364,3.119890,0.215057
1999,0.447373,1.419125,2.607229,0.210812
2000,0.366400,1.282400,1.751392,0.172760
2001,0.260144,1.432624,1.919936,0.173885
2002,0.278464,1.630480,1.923600,0.219192
2003,0.337088,1.766048,2.055504,0.245628
2004,0.318768,1.908944,2.103136,0.282576
2005,0.286008,1.921389,2.365069,0.365082
2006,0.344416,1.868640,2.359616,0.457075
2007,0.168544,1.930928,2.176416,0.702666
2008,0.326096,2.033520,2.040848,0.789916
2009,0.348080,1.974896,1.875968,0.340568
2010,0.326096,2.172752,1.982224,0.349833
2011,0.333424,2.268016,1.916272,0.427262
2012,0.414032,2.084816,1.824672,0.442161
2013,0.553264,2.147104,1.722080,0.476910
2014,0.366400,2.176416,1.751392,0.464608
2015,0.369781,2.288247,1.680488,0.443244
2016,0.278673,2.464057,1.727040,0.433902
2017,0.403040,2.553808,1.725744,0.537919
2018,0.293320,2.669214,1.877249,0.594314
2019,0.366648,2.753523,1.734243,0.640587
2020,0.285792,2.590448,1.766048,0.595278
2021,0.337088,2.894560,2.018864,0.599134
2022,0.307550,2.972347,1.910941,0.599134
2023,0.312081,2.973075,2.077934,0.599134
