"Year","Forest land","Cropland","Grassland","Wetlands","Settlements","Other land","HWP","Other"
1995,-181.374239,-13.939131,6.350511,0,0.068045,0.068045,0,0
1996,-181.736044,-13.882262,6.335980,0,0.067768,0.067768,0,0
1997,-185.348865,-13.825392,5.702132,0,0.067490,0.067490,0,0
1998,-169.120078,-13.768523,10.150932,0,0.067213,0.067213,0,0
1999,-180.755665,-13.711654,6.243711,0,0.066935,0.066935,0,0
2000,-184.566067,-13.988817,6.562926,0,0.068288,0.068288,0,0
2001,-187.437686,-13.986892,6.027232,0,0.068400,0.068400,0,0
2002,-184.665632,-12.417428,10.194515,0,0.271572,0.000223,0,0
2003,-180.995790,-13.276601,11.525176,0,0.153877,0.000223,0,0
2004,-186.685021,-10.770563,7.352928,0.804414,0.531860,0.732672,0,0
2005,-182.173337,-9.741454,8.557853,0.079652,0.856140,0.021266,0,0
2006,-181.926135,-12.012692,8.786615,0.192274,0.423813,0.090379,0,0
2007,-183.659660,-11.094074,12.058117,0.081019,0.464630,0.089403,0,0
2008,-181.824409,-10.302766,8.404697,0.081019,0.309520,0.124870,0,0
2009,-179.309588,-10.703605,20.820748,0.081019,0.663176,0.021877,0,0
2010,-182.905137,-10.974737,10.572552,0.415007,1.868921,0.021877,0,0
2011,-159.661476,-8.577618,16.823081,0.081830,2.834808,0.178034,0,0
2012,-178.728858,-12.663571,12.856435,0.287092,1.556920,0.091466,0,0
2013,-178.007657,-10.730755,19.327016,0.267669,0.276931,0.498857,0,0
2014,-181.542208,-11.500354,14.951624,0.082842,0.206975,0.637993,0,0
2015,-181.119158,-14.443932,12.376169,0.082842,1.133370,0.131122,0,0
2016,-179.297060,-10.839251,16.141739,0.082842,0.363729,0.544615,0,0
2017,-174.910541,-13.671447,17.184022,0.082842,0.774790,0.158571,0,0
2019,-175.105069,-12.925284,20.945897,0.169074,0.146724,0.952264,0,0
2020,-175.272371,-14.484328,18.891379,0.100222,0.740314,0.392362,0,0
2021,-172.751075,-14.633270,19.125946,0.175411,0.276894,0.734714,0,0
2022,-154.373831,-17.721649,8.386860,0.102485,0.357479,2.504582,0,0
