"YYYYMM","Coal (MtCO2)","Oil (MtCO2)","Gas (MtCO2)","Cement (MtCO2)"
200801,,,,
200802,,,,
200803,,,,
200804,,,,
200805,,,,
200806,,,,
200807,,,,
200808,,,,
200809,,,,
200810,,,,
200811,,,,
200812,,,,
200901,,,,
200902,,,,
200903,,,,
200904,,,,
200905,,,,
200906,,,,
200907,,,,
200908,,,,
200909,,,,
200910,,,,
200911,,,,
200912,,,,
201001,,,,
201002,,,,
201003,,,,
201004,,,,
201005,,,,
201006,,,,
201007,,,,
201008,,,,
201009,,,,
201010,,,,
201011,,,,
201012,,,,
201101,,,,
201102,,,,
201103,,,,
201104,,,,
201105,,,,
201106,,,,
201107,,,,
201108,,,,
201109,,,,
201110,,,,
201111,,,,
201112,,,,
201201,,,,
201202,,,,
201203,,,,
201204,,,,
201205,,,,
201206,,,,
201207,,,,
201208,,,,
201209,,,,
201210,,,,
201211,,,,
201212,,,,
201301,,,0.060689,
201302,,,0.063567,
201303,,,0.023023,
201304,,,0.011562,
201305,,,0.004443,
201306,,,0.004645,
201307,,,0.004191,
201308,,,0.004948,
201309,,,0.004696,
201310,,,0.008028,
201311,,,0.040796,
201312,,,0.070282,
201401,0.471896,0.178261,0.054277,
201402,0.439965,0.184386,0.028072,
201403,0.540511,0.221459,0.023377,
201404,0.522033,0.237260,0.013582,
201405,0.458715,0.212441,0.006463,
201406,0.284520,0.184358,0.005655,
201407,0.444446,0.252989,0.006412,
201408,0.213592,0.249890,0.005705,
201409,0.349334,0.215355,0.006311,
201410,0.377596,0.237503,0.013834,
201411,0.360477,0.234188,0.044482,
201412,0.360886,0.237474,0.048319,
201501,0.344873,0.228369,0.057104,
201502,0.343891,0.215829,0.038423,
201503,0.428426,0.212403,0.027568,
201504,0.377277,0.240128,0.015753,
201505,0.309180,0.221349,0.005907,
201506,0.307364,0.240664,0.005907,
201507,0.307531,0.265785,0.004090,
201508,0.317075,0.290643,0.003484,
201509,0.328249,0.224748,0.003484,
201510,0.315092,0.266458,0.018328,
