"Year","Total","Energy","Industrial Processes","Agriculture","Waste","LULUCF"
1990,11.574819,0.624076,,10.918323,0.032420,
1991,11.267174,0.446663,,10.784331,0.036181,
1992,11.163540,0.346933,,10.780612,0.035995,
1993,11.410611,0.409435,,10.966594,0.034583,
1994,11.706025,0.249333,,11.420708,0.035984,
1995,12.690877,0.277626,,12.374941,0.038310,
1996,13.096103,0.297173,,12.759582,0.039348,
1997,10.429341,0.267877,,10.120745,0.040720,
1998,11.025751,0.308156,,10.679250,0.038345,
1999,14.884468,0.328123,,14.512610,0.043735,
2000,17.020135,0.350143,,16.617510,0.052483,
2001,10.979845,0.361602,,10.570054,0.048188,
2002,8.347800,0.386813,,7.903120,0.057867,
2003,8.574281,0.408730,,8.105012,0.060538,
2004,11.501007,0.454160,,10.985982,0.060865,
2005,12.310157,0.456252,,11.787307,0.066598,
2006,13.888955,0.513286,,13.307403,0.068265,
2007,15.941160,0.606553,,15.265224,0.069384,
2008,14.757565,0.646101,,14.035358,0.076106,
2009,14.977158,0.629789,,14.270702,0.076666,
2010,13.316494,0.699071,,12.537523,0.079900,
2011,14.804760,0.841153,,13.880455,0.083153,
2012,16.559986,0.940010,,15.535761,0.084214,
2013,18.341005,1.076323,,17.190213,0.074469,
2014,20.862492,0.965200,,19.803945,0.093347,
2015,19.658215,0.935966,,18.628280,0.093968,
2016,24.411865,0.830603,,23.490749,0.090514,
2017,23.163155,1.086552,,21.971489,0.105115,
2018,26.600398,1.153795,,25.337667,0.108935,
2019,28.627345,1.397528,,27.122381,0.107436,
2020,27.356036,1.356813,,25.882892,0.116332,
2021,27.688056,1.372845,,26.201333,0.113878,
2022,29.514789,1.455069,,27.941882,0.117837,
