"Year","Sawnwood","Wood panels","Paper & paper products","Roundwood"
1961,0.002400,,,0.064000
1962,0.004000,,,0.074000
1963,0.005000,,,0.097000
1964,0.005000,,,0.112000
1965,0.004000,,,0.075000
1966,0.006000,,,0.023000
1967,0.006000,,,0.035000
1968,0.006000,,,0.036000
1969,0.006000,,,0.036000
1970,0.006000,,,0.037000
1971,0.005000,,,0.037000
1972,0.005000,,,0.039000
1973,0.004500,,,0.039000
1974,0.001500,,,0.033000
1975,0.005600,,,0.042300
1976,0.007000,,,0.045000
1977,0.004000,,,0.039000
1978,0.006500,,,0.045700
1979,0.004500,,,0.047600
1980,0.004100,,,0.041800
1981,0.002800,,,0.037000
1982,0.003800,,,0.033000
1983,0.003100,,,0.029800
1984,0.000400,,,0.014500
1985,0.001050,,,0.016700
1986,0.001400,,,0.024300
1987,0.003750,,,0.032140
1988,0.003850,,,0.034140
1989,0.004800,,,0.031000
1990,0.003600,,,0.027100
1991,0.005130,,,0.017300
1992,0.004190,,,0.015650
1993,0.004630,,,0.024150
1994,0.004070,,,0.018300
1995,0.002400,0,,0.012390
1996,0.003400,0,,0.014760
1997,0.003400,0,,0.014760
1998,0.005000,0,,0.022000
1999,0.005000,0,,0.025000
2000,0.003000,0,,0.018000
2001,0.003000,0,,0.017000
2002,0.003000,0,,0.015100
2003,0.003000,0,,0.014000
2004,0.003000,0,,0.014000
2005,0.003000,0,,0.012500
2006,0.004000,0,,0.016700
2007,0.003000,0,,0.015400
2008,0.003000,0,,0.015400
2009,0.002050,0,0,0.015000
2010,0.002090,0,0,0.014000
2011,0.001920,0,0,0.011000
2012,0.002000,0,0,0.007200
2013,0.001000,0,0,0.003500
2014,0.000800,0,0,0.002540
2015,0.000600,0,0,0.002000
2016,0.000960,0,0,0.006520
2017,0.000960,0,0,0.006520
2018,0.000960,0,0,0.006520
2019,0.001000,0,0,0.006563
2020,0.001000,0,0,0.004997
2021,0.000960,0,0,0.004997
2022,0.000960,0,0,0.004997
2023,0.000960,0,0,0.005542
