"Year","CRF Production","CRF Import","CRF Export","FAO Production","FAO Import","FAO Export"
1961,,,,0.002400,0.016800,
1962,,,,0.004000,0.012900,
1963,,,,0.005000,0.011000,
1964,,,,0.005000,0.012800,
1965,,,,0.004000,0.010000,
1966,,,,0.006000,0.009100,
1967,,,,0.006000,0.011000,
1968,,,,0.006000,0.007400,
1969,,,,0.006000,0.005700,
1970,,,,0.006000,0.005700,
1971,,,,0.005000,0.008000,
1972,,,,0.005000,0.006700,
1973,,,,0.004500,0.005900,
1974,,,,0.001500,0.010100,
1975,,,,0.005600,0.007200,
1976,,,,0.007000,0.010500,
1977,,,,0.004000,0.012300,
1978,,,,0.006500,0.010600,
1979,,,,0.004500,0.016400,
1980,,,,0.004100,0.008600,
1981,,,,0.002800,0.008600,
1982,,,,0.003800,0.005700,
1983,,,,0.003100,0.007800,
1984,,,,0.000400,0.007200,
1985,,,,0.001050,0.012200,
1986,,,,0.001400,0.007900,
1987,,,,0.003750,0.011400,
1988,,,,0.003850,0.013600,
1989,,,,0.004800,0.070900,
1990,,,,0.003600,0.049000,
1991,,,,0.005130,0.030300,
1992,,,,0.004190,0.030197,0.000162
1993,,,,0.004630,0.042500,0.001052
1994,,,,0.004070,0.028200,0.000300
1995,,,,0.002400,0.029700,0.000300
1996,,,,0.003400,0.028200,0.000300
1997,,,,0.003400,0.008211,0.000673
1998,,,,0.005000,0.042400,0.000154
1999,,,,0.005000,0.039600,0
2000,0.003000,0.037000,,0.003000,0.037000,0
2001,0.003000,0.045300,,0.003000,0.045300,0
2002,0.003000,0.042600,,0.003000,0.042600,0
2003,0.003000,0.038115,,0.003000,0.038115,0
2004,0.003000,0.064871,0.000960,0.003000,0.064871,0.000960
2005,0.003000,0.064871,0.000960,0.003000,0.064871,0.000960
2006,0.004000,0.051700,0.000960,0.004000,0.051700,0.000960
2007,0.003000,0.077084,0.000960,0.003000,0.077084,0.000960
2008,0.003000,0.025297,0.000273,0.003000,0.025297,0.000273
2009,0.002050,0.016946,0.000203,0.002050,0.016946,0.000203
2010,0.002090,0.022953,0.000310,0.002090,0.050330,0.003922
2011,0.001920,0.058394,0.002343,0.001920,0.032820,0.000854
2012,0.002000,0.037122,0.001401,0.002000,0.040879,0.001401
2013,0.001000,0.041188,0.000573,0.001000,0.022212,0.000573
2014,0.000800,0.038904,0.000451,0.000800,0.029164,0.000451
2015,0.000600,0.022750,0.000314,0.000600,0.022750,0.000314
2016,0.000960,0.020690,0.002516,0.000960,0.045523,0.002585
2017,0.000960,0.033026,0.000510,0.000960,0.033026,0.000510
2018,0.000960,0.052368,0.000103,0.000960,0.052368,0.000103
2019,,,,0.001000,0.104126,0.001351
2020,,,,0.001000,0.075966,0.000240
2021,,,,0.000960,0.045958,0.000060
2022,,,,0.000960,0.070610,0
2023,,,,0.000960,0.068297,0.010848
