"Year","CRF Production","CRF Import","CRF Export","FAO Production","FAO Import","FAO Export"
1961,,,,,,
1962,,,,,,
1963,,,,,,
1964,,,,,,
1965,,,,,,
1966,,,,,,
1967,,,,,,
1968,,,,,,
1969,,,,,,
1970,,,,,,
1971,,,,,,
1972,,,,,,
1973,,,,,,
1974,,,,,,
1975,,,,,,
1976,,,,,,
1977,,,,,,
1978,,,,,,
1979,,,,,,
1980,,,,,,
1981,,,,,,
1982,,,,,,
1983,,,,,,
1984,,,,,,
1985,,,,,,
1986,,,,,,
1987,,,,,,
1988,,,,,,
1989,,,,,,
1990,,,,,,
1991,,,,,,
1992,,,,,,
1993,,,,,,
1994,,,,,,
1995,,,,,,
1996,,,,,,
1997,,,,,,
1998,,0.032031,0.004257,,,
1999,,0.030077,0.001957,,,
2000,,0.029458,0.003391,,0.016584,0.000214
2001,,0.036559,0.002534,,0.028098,0.000218
2002,,0.020753,0.004418,,0.010454,0.000176
2003,,0.041336,0.010089,,0.009098,0.000359
2004,,0.031344,0.011437,,0.021340,0.001300
2005,,0.042628,0.009039,,0.025478,0.000850
2006,,0.035278,0.007878,,0.024153,0.001050
2007,,0.037474,0.008854,,0.016320,0.002279
2008,,0.037280,0.012394,,0.023439,0.004121
2009,,0.083510,0.014596,,0.029442,0.006161
2010,,0.045610,0.008517,,0.034495,0.002962
2011,,0.045038,0.006488,,0.031006,0.001396
2012,,0.053831,0.007481,,0.034698,0.001970
2013,,0.052549,0.008265,,0.028703,0.002099
2014,,0.060639,0.009608,,0.048515,0.002098
2015,,0.057906,0.012868,0.001000,0.037077,0.002710
2016,,0.052799,0.007287,0.001000,0.044979,0.000702
2017,,0.056423,0.004359,0.001000,0.022551,0.001315
2018,,0.043401,0.005537,0.001000,0.024690,0.001874
2019,,0.047204,0.006491,0.001000,0.032492,0.001025
2020,,0.046951,0.008027,0.001000,0.033610,0.000134
2021,,0.059354,0.014943,0.001000,0.041833,0.001668
2022,,0.062182,0.011600,0.000702,0.039967,0.007494
2023,,,,0.000702,0.038769,0.005000
