"Year","Total","Energy","Industrial Processes","Agriculture","Waste","LULUCF"
2000,3.273955,1.523820,,1.078857,0.671278,
2001,3.423891,1.621792,,1.101814,0.700285,
2002,3.438070,1.588251,,1.121187,0.728633,
2003,3.629805,1.725947,,1.147983,0.755875,
2004,3.796085,1.836271,,1.176495,0.783319,
2005,3.899722,1.883693,,1.205855,0.810174,
2006,4.046333,1.941114,,1.267277,0.837942,
2007,4.215338,2.066690,,1.282235,0.866413,
2008,4.269081,2.057896,,1.315843,0.895341,
2009,4.162660,1.932977,,1.305912,0.923771,
2010,4.556298,2.192722,,1.410044,0.953531,
2011,4.655442,2.256855,,1.414210,0.984377,
2012,4.875279,2.368576,,1.489555,1.017148,
2013,4.846009,2.280892,,1.516107,1.049010,
2014,5.035534,2.403441,,1.550853,1.081240,
2015,5.219452,2.529774,,1.575679,1.113999,
2016,5.287221,2.452238,,1.688865,1.146118,
2017,5.430202,2.515599,,1.743322,1.171281,
2018,5.542563,2.607067,,1.730340,1.205156,
2019,5.647624,2.649659,,1.759227,1.238738,
2020,5.678229,2.617486,,1.788200,1.272543,
2021,5.689632,2.560116,,1.823426,1.306091,
2022,5.727412,2.520483,,1.866428,1.340500,
