"Year","Total","Fossil CO¿","CH¡","N¿O","F-gas","LULUCF"
1990,138.963632,162.638504,-50.786695,15.966099,7.306864,3.838861
1991,147.531725,171.077181,-49.658532,16.134774,6.163265,3.815038
1992,146.605589,170.871895,-51.530288,16.385856,7.012439,3.865687
1993,151.391622,170.807139,-47.374081,16.630027,7.628735,3.699802
1994,142.542776,171.546751,-58.436188,16.234601,9.143829,4.053783
1995,151.852764,173.090004,-49.711338,16.102473,8.658230,3.713395
1996,166.860712,182.196247,-45.664017,16.155837,10.629295,3.543350
1997,170.190232,175.120788,-35.342043,15.905580,11.395457,3.110451
1998,158.886776,176.063010,-48.096703,15.403192,11.978628,3.538649
1999,153.061294,170.658689,-42.611222,14.800119,6.919298,3.294411
2000,147.677847,171.824528,-47.782303,14.217936,5.980129,3.437558
2001,127.209572,176.941426,-70.915512,13.415759,3.526968,4.240932
2002,117.294514,176.308873,-80.140363,12.628653,3.968944,4.528407
2003,137.327125,179.781557,-61.010391,12.492690,2.245097,3.818172
2004,138.351700,181.681704,-61.962155,12.825384,1.968536,3.838231
2005,139.282907,177.785469,-56.667442,12.800547,1.771654,3.592680
2006,139.314534,172.983118,-51.886143,12.889794,1.921912,3.405853
2007,128.626050,172.787867,-61.504126,11.514323,2.074611,3.753375
2008,123.923774,175.811749,-66.060755,8.190464,2.054808,3.927509
2009,119.995787,170.522220,-64.568018,8.044763,2.129249,3.867573
2010,127.404206,182.584343,-69.399655,7.805025,2.376473,4.038020
2011,107.827046,169.459610,-75.624630,7.624835,2.127238,4.239993
2012,113.558843,165.896225,-65.733913,7.473743,2.050735,3.872053
2013,120.726486,165.251066,-57.936162,7.646374,2.180482,3.584726
2014,90.179805,157.838506,-81.579655,7.777402,1.738673,4.404879
2015,93.123248,163.917311,-85.235016,7.981703,1.921139,4.538111
2016,102.657034,164.722845,-75.781032,7.709782,1.806930,4.198508
2017,117.894718,162.237071,-57.550916,7.906865,1.772328,3.529369
2018,118.641575,158.205547,-52.112756,7.726181,1.516085,3.306518
2019,119.112374,152.688244,-45.763533,7.584638,1.531965,3.071060
2020,110.750154,136.917698,-37.546588,7.413889,1.201692,2.763462
2021,103.567435,139.862322,-47.950640,7.108245,1.422345,3.125162
2022,95.543028,126.622438,-41.751773,6.618929,1.171656,2.881779
2023,74.387976,116.772905,-53.230828,6.508428,1.049185,3.288286
2024,61.173163,115.124886,-65.139215,6.476277,1.009768,3.701446
