"Year","Total","Energy","Industrial Processes","Agriculture","Waste","LULUCF"
1990,165.757206,150.495227,11.958610,0.184667,,3.118703
1991,174.172277,156.690464,14.235918,0.150799,,3.095096
1992,174.017488,154.665459,16.061845,0.144591,,3.145593
1993,173.786344,159.126673,11.542374,0.138092,,2.979205
1994,174.879081,159.219268,12.227234,0.100249,,3.332330
1995,176.080732,162.888626,10.100410,0.100967,,2.990728
1996,185.015325,171.954888,10.127841,0.113518,,2.819078
1997,177.505012,164.607102,10.401091,0.112594,,2.384224
1998,178.873190,165.227101,10.730078,0.105831,,2.810180
1999,173.222018,159.636505,10.936085,0.086100,,2.563329
2000,174.528048,160.912401,10.812223,0.099904,,2.703520
2001,180.445032,165.951280,10.905686,0.084460,,3.503607
2002,180.096352,164.769086,11.451688,0.088099,,3.787479
2003,182.854873,167.614953,12.068124,0.098480,,3.073316
2004,184.773067,169.184231,12.408271,0.089202,,3.091363
2005,180.629179,165.558044,12.144403,0.083022,,2.843711
2006,175.637581,159.902732,12.987103,0.093283,,2.654463
2007,175.787073,159.022533,13.671319,0.094016,,2.999206
2008,178.981952,162.112655,13.617900,0.081193,,3.170203
2009,173.631284,157.781224,12.656225,0.084770,,3.109064
2010,185.862897,168.391107,14.101202,0.092035,,3.278554
2011,172.938562,155.770535,13.580341,0.108734,,3.478952
2012,169.005044,152.568461,13.185701,0.142062,,3.108819
2013,168.080606,152.357762,12.762435,0.130870,,2.829540
2014,161.495299,144.685992,13.022862,0.129652,,3.656793
2015,167.713988,151.610687,12.171975,0.134649,,3.796676
2016,168.186123,151.497843,13.139116,0.085887,,3.463277
2017,165.036037,148.629895,13.508451,0.098725,,2.798966
2018,160.786023,144.054777,14.067646,0.083123,,2.580477
2019,155.037152,139.697972,12.905110,0.085162,,2.348908
2020,138.962484,123.513890,13.322492,0.081317,,2.044786
2021,142.268448,126.895315,12.879087,0.087920,,2.406125
2022,128.784319,114.872735,11.656873,0.092830,,2.161881
2023,119.340012,105.374187,11.303410,0.095308,,2.567107
2024,118.103192,103.401749,11.641226,0.081910,,2.978306
