"Year","Norway","World"
1950,2.569677,2.372741
1951,2.874687,2.509281
1952,2.909801,2.496828
1953,2.910451,2.519009
1954,2.910949,2.522133
1955,3.328517,2.710743
1956,3.452739,2.829705
1957,3.252096,2.864250
1958,3.174617,2.886446
1959,3.323190,2.981084
1960,3.653981,3.109071
1961,3.694045,3.068418
1962,3.863665,3.117449
1963,4.081292,3.212604
1964,4.376658,3.313059
1965,4.401740,3.389338
1966,5.206413,3.482441
1967,5.101082,3.521091
1968,5.532505,3.638560
1969,5.768329,3.800910
1970,7.219304,4.031813
1971,6.960460,4.112250
1972,7.473863,4.219880
1973,7.698579,4.358162
1974,6.947949,4.257539
1975,7.636269,4.190445
1976,8.278578,4.342568
1977,8.238071,4.387958
1978,8.037983,4.445411
1979,8.501871,4.491730
1980,7.777472,4.385349
1981,7.757511,4.204303
1982,7.512180,4.095304
1983,7.738089,4.047822
1984,8.166263,4.114002
1985,7.774722,4.177916
1986,8.346894,4.164586
1987,7.930909,4.215461
1988,8.454772,4.303169
1989,8.078366,4.285587
1990,8.252240,4.275440
1991,7.850515,4.288762
1992,8.023689,4.101485
1993,8.334153,4.079975
1994,8.728448,4.061836
1995,8.821992,4.097368
1996,9.477098,4.164388
1997,9.448775,4.131378
1998,9.436159,4.059213
1999,9.544967,4.096031
2000,9.376109,4.148800
2001,9.636207,4.125716
2002,9.376133,4.162733
2003,9.616297,4.327484
2004,9.632694,4.421495
2005,9.356814,4.515645
2006,9.405960,4.611727
2007,9.679850,4.688505
2008,9.368472,4.708763
2009,8.920941,4.572416
2010,9.329942,4.774950
2011,9.033299,4.878259
2012,8.812016,4.887112
2013,8.761840,4.868795
2014,8.750228,4.830362
2015,8.765102,4.767311
2016,8.531888,4.713752
2017,8.368717,4.735624
2018,8.358871,4.780249
2019,8.001265,4.778430
2020,7.663984,4.479880
2021,7.593530,4.676995
2022,7.509313,4.676281
2023,7.106036,4.697341
