"Year","Living biomass (gains)","Living biomass (losses)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-37.647415,16.529898,-2.448559,-1.410772,1.461424,0.006295
1991,-38.927190,16.932937,-2.466652,-1.403563,1.493622,0.006400
1992,-40.305960,19.682290,-3.137918,-1.347389,1.587370,0.006740
1993,-41.393455,20.323641,-3.097652,-1.248140,1.696076,0.007156
1994,-42.611272,22.282741,-3.335945,-1.088747,1.867789,0.007818
1995,-43.299798,25.083862,-4.137755,-0.887734,1.919745,0.008316
1996,-44.617638,26.748654,-4.165942,-0.673969,1.987589,0.008880
1997,-46.080472,27.104373,-3.812357,-0.549697,2.017806,0.009311
1998,-48.094904,26.311533,-3.070205,-0.554551,2.024175,0.009658
1999,-49.938407,27.725452,-3.402537,-0.833992,2.010115,0.009930
2000,-51.385829,28.286785,-3.614308,-1.298893,1.982624,0.010140
2001,-52.580872,31.233153,-4.509896,-1.657844,1.945505,0.010328
2002,-53.065704,36.414415,-6.275698,-1.918868,1.887081,0.010461
2003,-53.476473,32.255447,-4.461009,-2.074681,1.819149,0.010552
2004,-54.030733,27.212090,-2.325305,-1.996579,1.738525,0.010547
2005,-55.015073,22.365692,-0.311721,-1.760633,1.660143,0.010444
2006,-56.387352,22.512075,-0.006897,-1.418431,1.582678,0.010288
2007,-57.774214,18.638287,1.691381,-1.133195,1.506866,0.010054
2008,-58.826746,30.952371,-3.043907,-0.907671,1.448789,0.010025
2009,-59.916765,31.099116,-2.608029,-0.690589,1.402073,0.009979
2010,-60.403187,31.156188,-2.220327,-0.517432,1.397029,0.009929
2011,-60.662246,33.005395,-2.572883,-0.318680,1.413806,0.009918
2012,-60.632726,34.839674,-2.823516,-0.082842,1.363858,0.009883
2013,-60.497704,32.716170,-1.805088,0.115580,1.266686,0.009837
2014,-60.552502,33.763914,-1.848690,0.280638,1.094815,0.009637
2015,-60.812185,34.551027,-1.808324,0.346017,0.968674,0.009551
2016,-60.950239,36.015952,-2.059845,0.311042,0.820911,0.009451
2017,-60.876211,40.037658,-3.251191,0.201768,0.724808,0.009333
2018,-60.527489,43.627042,-4.265765,0.068411,0.651616,0.009276
2019,-60.332133,46.306475,-4.775729,-0.021872,0.634650,0.009266
2020,-60.331548,40.147568,-2.067985,-0.082798,0.669391,0.009207
2021,-60.113006,46.334408,-4.158545,-0.065448,0.736089,0.009224
2022,-60.616295,45.494243,-3.247975,-0.021725,0.894430,0.009251
2023,-61.123613,43.830135,-2.219675,-0.020018,1.049031,0.009277
