"Year","Fossil CO2 (Gt)","Energy (EJ)","GDP-PPP ($m)","Population (people)"
1990,0.011285,0.167832,47995.498514,1763954
1991,0.011658,0.219016,50910.782543,1851473
1992,0.011956,0.217170,55194.356813,1938238
1993,0.013291,0.209468,58529.729907,2021675
1994,0.017466,0.196306,60798.210049,2081834.000000
1995,0.018816,0.229924,63836.186953,2120528
1996,0.018197,0.235862,65780.599040,2156926
1997,0.018145,0.242967,69749.479648,2190720
1998,0.018543,0.249248,71592.496493,2222489
1999,0.022076,0.283228,71829.822781,2252909
2000,0.023984,0.399455,76535.442346,2282131
2001,0.022512,0.443492,79966.374920,2310217
2002,0.026979,0.472180,79086.021218,2337140
2003,0.034563,0.490063,76975.538464,2363796
2004,0.029247,0.509225,77970.220614,2404821
2005,0.031835,0.562042,79911.851644,2459802
2006,0.040450,0.614113,84204.627576,2514795
2007,0.045308,0.619397,87953.993337,2570174
2008,0.047436,0.723620,95166.289556,2626529
2009,0.044504,0.717919,100983.229520,2684659
2010,0.051429,0.853498,102714.067200,2757446
2011,0.057305,0.935511,105687.238590,3076763
2012,0.063105,1.020422,115054.427750,3547106
2013,0.065587,1.143431,121069.132760,3833913
2014,0.066190,1.137486,122633.651410,4002439
2015,0.067883,1.214728,128786.252830,4184895.000000
2016,0.066240,1.219120,135285.353130,4390877
2017,0.066344,1.266897,135696.698480,4537396
2018,0.070678,1.353626,137443.256000,4597877
2019,0.072035,1.344273,135891.237880,4591241
2020,0.071845,1.301592,131541.446340,4522497
2021,0.075041,1.434035,134178.657120,4500424
2022,0.077994,1.528419,141682.038000,4730226
2023,0.079811,1.567298,145473.615080,5049269
2024,0.082662,1.608749,149180.726330,5281538
