"Year","Total","Energy","Industrial Processes","Agriculture","Waste","LULUCF"
1988,2.784119,1.202918,0.002807,0.888850,0.687576,0.001968
1990,2.541662,0.993941,0.002512,0.870303,0.672936,0.001969
1991,2.363296,0.906970,0.001928,0.795905,0.657609,0.000884
1992,2.303815,0.914403,0.001861,0.731342,0.645672,0.010538
1993,2.224130,0.916515,0.001776,0.675300,0.628451,0.002087
1994,2.198698,0.911390,0.001734,0.669949,0.613422,0.002203
1995,2.138469,0.901593,0.001985,0.637030,0.596334,0.001527
1996,2.103782,0.904373,0.002046,0.618006,0.576176,0.003182
1997,2.092357,0.895820,0.002160,0.634520,0.558259,0.001597
1998,2.000688,0.831070,0.002014,0.624763,0.541881,0.000958
1999,1.947522,0.819182,0.001809,0.599314,0.525295,0.001921
2000,1.859392,0.795720,0.002086,0.557947,0.502099,0.001540
2001,1.852143,0.827688,0.001912,0.540906,0.480845,0.000793
2002,1.830013,0.834313,0.002137,0.530944,0.461397,0.001222
2003,1.831086,0.855238,0.002094,0.532979,0.436123,0.004653
2004,1.805287,0.865427,0.002229,0.519976,0.416728,0.000927
2005,1.815899,0.882563,0.001887,0.534263,0.395853,0.001334
2006,1.815971,0.894445,0.002797,0.546612,0.370616,0.001501
2007,1.769279,0.868847,0.002915,0.551827,0.344919,0.000771
2008,1.737135,0.877213,0.002578,0.545588,0.310964,0.000791
2009,1.671552,0.847340,0.002412,0.534590,0.286260,0.000950
2010,1.644569,0.851204,0.002496,0.532842,0.257519,0.000508
2011,1.592861,0.832205,0.002753,0.529179,0.228068,0.000655
2012,1.581845,0.835187,0.002407,0.526909,0.215703,0.001639
2013,1.572272,0.836398,0.002546,0.530794,0.202145,0.000388
2014,1.557646,0.827583,0.002516,0.536448,0.190385,0.000715
2015,1.587764,0.864901,0.002621,0.543226,0.175667,0.001349
2016,1.566453,0.870798,0.002038,0.534733,0.158387,0.000496
2017,1.571662,0.861173,0.002579,0.553391,0.154236,0.000283
2018,1.591718,0.873672,0.002475,0.562957,0.151893,0.000722
2019,1.485816,0.773992,0.002569,0.566027,0.142231,0.000996
2020,1.477406,0.765882,0.002317,0.578649,0.128452,0.002106
2021,1.458483,0.751369,0.002034,0.581670,0.123135,0.000275
2022,1.400772,0.711872,0.002200,0.571123,0.114600,0.000978
2023,1.368000,0.670368,0.001699,0.579364,0.116194,0.000375
2024,1.347384,0.641896,0.001792,0.592784,0.110511,0.000402
