"Year","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
1988,,,,-32.934720,-32.934720,-32.934720,-32.934720,-20.700708,-12.869709,-13.915745,-7.796457,-15.516065,-14.497168,-16.048090,-17.021251,-16.141487,-19.969378,-20.448946,-21.187965,-21.385810,-19.351960,-19.129476,-24.326091
1989,,,,-35.492096,-35.492096,-35.492096,-35.492096,-21.950753,-16.099609,-17.891227,-11.727055,-22.209700,-19.743859,-20.996326,-21.377487,-20.987873,-24.693886,-25.136035,-25.771992,-25.809836,-23.808208,,
1990,,,,-32.725494,-32.725494,-25.187141,-25.187141,-25.267250,-22.344407,-25.685605,-18.542240,-28.031768,-26.961686,-25.787937,-25.957472,-27.830773,-31.849944,-32.992489,-32.263311,-32.170642,-30.167741,-30.281292,-35.179773
1991,,,,-32.534239,-32.534239,-31.420479,-31.420479,-31.491096,-23.332578,-27.107896,-19.999921,-21.955321,-20.026144,-17.540758,-18.224270,-20.318105,-24.278108,-25.766958,-25.113031,-25.042139,-23.004800,-23.276412,-27.992914
1992,,,,-36.150880,-36.150880,-30.414736,-30.414736,-30.488823,-16.574041,-17.890885,-10.629312,4.065605,4.037753,4.266878,3.845838,0.937509,-2.924827,-3.826002,-4.256289,-4.218253,-2.150950,-2.586884,-7.129591
1993,,,,-35.346243,-35.346243,-23.874372,-23.874372,-23.972842,-15.482261,-18.203477,-11.351952,-5.691604,-3.889474,-3.076082,-2.453910,-4.875420,-8.854939,-8.972990,-11.505969,-11.635070,-9.471632,-10.060306,-14.423344
1994,,,,-34.566200,-34.566200,-23.720178,-23.720178,-23.830736,-13.528998,-15.933143,-8.919533,-5.030227,-4.392261,-3.909309,-3.883617,-5.564228,-9.713049,-10.015171,-11.022251,-11.069750,-8.973949,-9.731778,-13.915653
1995,,,,-32.784193,-32.784193,-22.926369,-22.926369,-23.041401,-12.106810,-15.062823,-7.854994,-16.820208,-15.452867,-15.406929,-15.006780,-16.240125,-20.289939,-20.433961,-21.221395,-21.181105,-19.141223,-20.088388,-24.094535
1996,,,,-33.893692,-33.893692,-24.332156,-24.332156,-24.457502,-14.592142,-16.482305,-9.027565,-36.203478,-33.423423,-34.645097,-33.587808,-34.608743,-38.688701,-38.346901,-38.845446,-38.594923,-36.581851,-37.721041,-41.594252
1997,,,,-31.509809,-31.509809,-25.887297,-25.887297,-26.026534,-13.291402,-16.825699,-8.708770,-35.610664,-33.244368,-35.497117,-33.616043,-34.422494,-38.482334,-38.095270,-38.520196,-38.425455,-36.349958,-37.681155,-41.376992
1998,,,,-29.737337,-29.737337,-25.817573,-25.817573,-25.959708,-13.378504,-18.980577,-9.491191,-41.952747,-39.209195,-41.741258,-40.199601,-40.492703,-44.511520,-44.061317,-44.290093,-43.957650,-41.992998,-43.488791,-47.047657
1999,,,,-29.845710,-29.845710,-26.660299,-26.660299,-26.840998,-15.495887,-20.289289,-10.741920,-49.635688,-46.149982,-47.944095,-46.902625,-36.841956,-40.839109,-40.410982,-41.272809,-41.475198,-39.210062,-40.868055,-44.226869
