"Year","Romania","World"
1950,1.429637,2.372741
1951,1.716044,2.509281
1952,2.115113,2.496828
1953,2.496499,2.519009
1954,2.445084,2.522133
1955,2.611443,2.710743
1956,2.715855,2.829705
1957,2.824037,2.864250
1958,2.938160,2.886446
1959,3.031580,2.981084
1960,3.104335,3.109071
1961,3.190865,3.068418
1962,3.444052,3.117449
1963,3.638381,3.212604
1964,3.797864,3.313059
1965,4.115753,3.389338
1966,4.321260,3.482441
1967,4.599922,3.521091
1968,4.779971,3.638560
1969,4.924065,3.800910
1970,5.118698,4.031813
1971,5.272167,4.112250
1972,5.410649,4.219880
1973,5.568855,4.358162
1974,5.711372,4.257539
1975,5.872658,4.190445
1976,5.993196,4.342568
1977,6.131614,4.387958
1978,6.080489,4.445411
1979,5.867913,4.491730
1980,5.951851,4.385349
1981,6.193719,4.204303
1982,6.265729,4.095304
1983,6.469380,4.047822
1984,6.383665,4.114002
1985,6.203809,4.177916
1986,6.223507,4.164586
1987,6.137214,4.215461
1988,6.256776,4.303169
1989,5.960427,4.285587
1990,4.720541,4.275440
1991,4.082584,4.288762
1992,3.874782,4.101485
1993,3.862296,4.079975
1994,3.712748,4.061836
1995,3.706198,4.097368
1996,3.673500,4.164388
1997,3.235061,4.131378
1998,2.895065,4.059213
1999,2.804422,4.096031
2000,2.954077,4.148800
2001,2.961809,4.125716
2002,3.012194,4.162733
2003,3.074105,4.327484
2004,3.027807,4.421495
2005,2.853458,4.515645
2006,2.930694,4.611727
2007,2.954801,4.688505
2008,2.965257,4.708763
2009,2.872129,4.572416
2010,2.698637,4.774950
2011,2.856322,4.878259
2012,2.775330,4.887112
2013,2.469065,4.868795
2014,2.445342,4.830362
2015,2.503072,4.767311
2016,2.278129,4.713752
2017,2.407826,4.735624
2018,2.316170,4.780249
2019,2.272646,4.778430
2020,1.894628,4.479880
2021,1.973700,4.676995
2022,1.878907,4.676281
2023,1.746309,4.697341
