"Year","Total","Fossil CO¿","CH¡","N¿O","F-gas","LULUCF"
1990,2.427221,2.536284,0.457717,0.108362,0.045170,-0.720311
1991,2.062909,2.407642,0.440290,0.099980,0.044608,-0.929611
1992,1.516495,1.963458,0.421437,0.090595,0.037482,-0.996478
1993,1.239955,1.866525,0.405651,0.081099,0.028665,-1.141985
1994,0.789909,1.646876,0.379193,0.068908,0.025888,-1.330957
1995,0.646883,1.618286,0.361957,0.062280,0.025743,-1.421383
1996,0.845089,1.586633,0.349973,0.058168,0.023384,-1.173069
1997,0.466914,1.481963,0.335836,0.055820,0.025603,-1.432309
1998,0.744073,1.465859,0.324304,0.049369,0.028299,-1.123758
1999,0.395953,1.494088,0.326451,0.048543,0.028603,-1.501733
2000,0.504776,1.480576,0.327896,0.050166,0.032133,-1.385995
2001,0.429234,1.518081,0.322761,0.049919,0.030390,-1.491918
2002,0.473446,1.508330,0.316910,0.050457,0.024010,-1.426261
2003,0.634361,1.539006,0.322159,0.048881,0.019658,-1.295343
2004,0.232387,1.545353,0.319644,0.048457,0.023009,-1.704075
2005,0.311904,1.563980,0.315391,0.048251,0.024073,-1.639791
2006,0.341198,1.623428,0.314781,0.048477,0.021965,-1.667453
2007,0.287722,1.624315,0.309506,0.050054,0.020596,-1.716750
2008,0.399497,1.652731,0.305566,0.052838,0.020931,-1.632570
2009,0.203452,1.545236,0.282861,0.052856,0.015077,-1.692578
2010,0.310358,1.633147,0.288706,0.049620,0.016136,-1.677251
2011,0.726610,1.684989,0.285769,0.053078,0.014083,-1.311310
2012,1.155465,1.700104,0.281141,0.050793,0.024715,-0.901288
2013,0.606098,1.637547,0.273021,0.052291,0.027998,-1.384759
2014,0.774204,1.637311,0.263187,0.052996,0.026132,-1.205422
2015,0.809911,1.635244,0.253919,0.054365,0.024574,-1.158190
2016,0.937447,1.629328,0.249752,0.056984,0.025791,-1.024409
2017,0.853410,1.661012,0.251586,0.057740,0.029200,-1.146128
2018,1.026304,1.709910,0.258633,0.057343,0.035360,-1.034941
2019,1.131320,1.704459,0.255600,0.059480,0.030519,-0.918737
2020,0.878751,1.631902,0.249239,0.061556,0.033270,-1.097216
2021,1.279264,1.674524,0.258385,0.062815,0.033559,-0.750019
2022,0.843728,1.675461,0.248833,0.065296,0.035476,-1.181338
2023,0.911126,1.733135,0.245754,0.065802,0.038193,-1.171758
