"Year","Sawnwood","Wood panels","Paper & paper products","Roundwood"
1961,0.001500,,,0.156232
1962,0.021200,,,0.146624
1963,0.011100,,,0.137607
1964,0.414400,0.013500,,0.092545
1965,0.465800,0.031800,,0.095903
1966,0.568000,0.045300,,0.084949
1967,0.600000,0.075900,,0.017954
1968,0.689000,0.110000,,0.041289
1969,0.662000,0.193000,0.003400,0.052527
1970,0.812000,0.215000,0.003600,0.037045
1971,0.743000,0.250000,0.010000,0.035304
1972,0.828000,0.327000,0.010000,0.040084
1973,0.830000,0.350000,0.011000,0.045930
1974,0.860000,0.350000,0.011000,0.052086
1975,0.407000,0.334000,0.011000,0.040292
1976,0.461000,0.558000,0.011000,0.030253
1977,0.339000,0.515000,0.011000,0.010123
1978,0.397000,0.675000,0.011000,0.019343
1979,0.398000,0.778000,0.011000,0.013855
1980,0.336000,0.579000,0.086000,0.025078
1981,0.242000,0.527000,0.100000,0.021357
1982,0.229000,0.460000,0.100000,0.020873
1983,0.232000,0.482000,0.020000,0.021109
1984,0.211000,0.411000,0.020000,0.040393
1985,0.191000,0.437000,0.020000,0.045458
1986,0.175000,0.399000,0.020000,0.046668
1987,0.152000,0.399000,0.020000,0.045494
1988,0.120000,0.399000,0.020000,0.044198
1989,0.090000,0.360000,0.020000,0.043321
1990,0.055000,0.343000,0.160000,0.042649
1991,0.030000,0.310000,0.170000,0.037808
1992,0.025000,0.290000,0.170000,0.044528
1993,0.025000,0.290000,0.192000,0.042161
1994,0.025000,0.290000,0.194000,0.042161
1995,0.025000,0.290000,0.174000,0.039102
1996,0.025000,0.290000,0.174000,0.036560
1997,0.025000,0.290000,0.174000,0.038218
1998,0.025000,0.290000,0.174000,0.039090
1999,0.025000,0.290000,0.174000,0.038240
2000,0.025000,0.290000,0.174000,0.037815
2001,0.025000,0.290000,0.174000,0.037297
2002,0.025000,0.290000,0.174000,0.036801
2003,0.025000,0.290000,0.174000,0.036325
2004,0.025000,0.290000,0.174000,0.035867
2005,0.025000,0.290000,0.174000,0.035425
2006,0.025000,0.290000,0.174000,0.034867
2007,0.025000,0.290000,0.174000,0.034326
2008,0.025000,0.290000,0.174000,0.033803
2009,0.025000,0.290000,0.174000,0.033294
2010,0.025000,0.290000,0.174000,0.032799
2011,0.025000,0.290000,0.174000,0.032245
2012,0.025000,0.290000,0.174000,0.031705
2013,0.025000,0.290000,0.174000,0.031179
2014,0.025000,0.290000,0.174000,0.030665
2015,0.001000,0.016000,0.174000,0.030164
2016,0.001000,0.016000,0.174000,0.029675
2017,0.001000,0.016000,0.174000,0.029197
2018,0.001000,0.012000,0.174000,0.028729
2019,0.001000,0.002000,0.174000,0.028271
2020,0.001000,0.002000,0.174000,0.027822
2021,0.001000,0.002000,0.174000,0.027381
2022,0.001000,0.002000,0.174000,0.026950
2023,0.001000,0.002000,0.174000,0.026526
