"Year","Coal","Oil","Gas","Cement"
1950,0.757694,1.156238,0,0
1951,0.863772,1.962005,0,0
1952,0.819408,2.621898,0,0
1953,0.659866,2.821847,0,0
1954,0.524623,3.246672,0,0
1955,0.508446,3.544349,0,0
1956,0.477030,3.618866,0,0
1957,0.127969,1.601439,0,0
1958,0.051296,2.246032,0,0
1959,0.036640,1.762384,0,0
1960,0.010963,1.381357,0,0
1961,0.007328,2.084816,0,0
1962,0.029354,2.484062,0,0
1963,0.021960,3.279406,0,0
1964,0.021984,3.579728,0,0
1965,0.010992,2.414576,0,0
1966,0.014736,0.464187,0,0
1967,0.007328,2.813952,0,0
1968,0.021969,5.111486,0,0
1969,0.007328,6.880992,0,0
1970,0.010992,17.821696,0,0
1971,0.014659,16.260762,0,0
1972,0.010992,21.709200,0,0
1973,0.014656,20.675952,0,0
1974,0.018320,21.408752,0,0
1975,0.003664,23.859968,0,0
1976,0.010992,29.326656,0,0
1977,0.014656,27.597248,0,0
1978,0.014656,32.448384,0,0
1979,0.003664,35.416155,0,0
1980,0.010992,30.422192,0,0
1981,0.018320,25.688304,0,0
1982,0.007327,28.374183,0,0
1983,0.010992,33.386368,0,0
1984,0.021982,31.946573,0,0
1985,0.043968,32.353120,0,0
1986,0.025648,34.075200,0,0
1987,0.040304,31.770544,0,0
1988,0.047632,35.233024,0,0
1989,0.043968,40.959856,0,0
1990,0.076950,43.458625,0,0
1991,0.043968,44.191504,0,0
1992,0.065952,46.459520,0.916000,0
1993,0.073280,46.862560,2.726016,0
1994,0.087936,56.748032,3.249968,0
1995,0.040304,37.123648,3.381872,0
1996,0,44.997246,3.015695,0
1997,0,53.761872,2.975168,0
1998,0,44.154864,3.257296,0
1999,0,46.547456,2.652736,0
2000,0,34.661024,2.707696,0
2001,0,34.436499,4.088721,0
2002,0,33.572896,6.635504,0
2003,0.029314,29.241105,10.263624,0
2004,0.040304,28.861168,12.098528,0
2005,0.040304,28.084048,11.475648,0
2006,0.032976,28.193696,12.373328,0
2007,0.054953,27.793936,13.251111,0
2008,0.032976,26.602896,13.564128,0
2009,0.025648,27.063664,13.710688,0
2010,0.051300,29.489915,14.858785,0
2011,0.029312,31.962944,15.007744,0
2012,0.095257,29.730431,16.274312,0
2013,1.000272,27.676064,18.323664,0
2014,1.473032,26.911596,19.215372,0
2015,1.538971,28.305100,19.555929,0
2016,1.615824,27.438432,20.045744,0
2017,3.403661,26.541833,20.154507,0
2018,1.809920,27.906820,20.583260,0
2019,1.736736,26.374800,20.888464,0
2020,1.641472,23.942896,21.115632,0
2021,1.758800,26.788575,21.552625,0
2022,1.571589,26.281815,21.080479,0
2023,1.274705,29.887523,19.905389,0
2024,1.142514,31.821722,20.955225,0
