"Year","Sawnwood","Wood panels","Paper & paper products","Roundwood"
1961,,,,
1962,,,,
1963,,,,
1964,,,,
1965,,,,
1966,,,,
1967,,,,
1968,,,,
1969,,,,
1970,,,,
1971,,,,
1972,,,,
1973,,,,
1974,,,,
1975,,,,
1976,,,,
1977,,,,
1978,,,,
1979,,,,
1980,,,,
1981,,,,
1982,,,,
1983,,,,
1984,,,,
1985,,,,
1986,,,,
1987,,,,
1988,,,,
1989,,,,
1990,,,,
1991,,,,
1992,,,,
1993,0.550000,0.253000,0.606000,5.249000
1994,0.700000,0.307000,0.598000,5.318000
1995,0.646000,0.324000,0.654000,5.323000
1996,0.629000,0.293000,0.934000,5.460000
1997,0.767000,0.317000,1.051000,4.945000
1998,1.265000,0.319000,1.194800,5.519000
1999,1.265000,0.308000,1.606000,5.795000
2000,1.265000,0.327000,1.850000,6.163000
2001,1.265000,0.364000,1.976000,5.787900
2002,1.265000,0.432000,1.420000,5.782000
2003,1.651000,0.422000,1.348000,6.355000
2004,1.837000,0.490000,1.596000,7.240000
2005,2.621000,0.602000,1.716000,9.302000
2006,2.440000,0.824000,1.776000,7.868509
2007,2.781000,0.841000,1.830000,8.131486
2008,2.841520,0.948720,1.842890,9.268556
2009,2.253965,0.863400,1.841954,9.086991
2010,2.575740,0.669500,1.560712,9.599068
2011,2.204000,0.667000,1.496722,9.212907
2012,1.560000,0.656000,1.472000,8.201674
2013,1.430000,0.644500,1.446000,8.062587
2014,1.750000,0.686000,1.586000,9.167980
2015,1.600000,0.945179,1.624428,8.994604
2016,1.580000,1.014800,1.717800,9.266868
2017,1.737500,1.115427,1.664784,9.361492
2018,1.730000,1.101596,1.678528,9.602854
2019,1.653000,1.104295,1.611698,8.956874
2020,1.522000,1.015256,1.865474,7.447859
2021,1.652000,1.024928,2.037016,7.664756
2022,1.815000,0.829522,1.933098,7.435403
2023,1.368012,0.841765,1.767340,7.101058
