"Year","Total","Energy","Industrial Processes","Agriculture","Waste","LULUCF"
1986,11.675600,15.422222,1.289977,0.057010,0.001995,-5.095604
1990,10.409506,13.910501,1.128563,0.056213,0.001995,-4.687767
1991,8.984323,13.026782,0.892963,0.054752,0.001995,-4.992169
1992,8.750377,12.924428,0.897719,0.061740,0.001995,-5.135506
1993,9.137584,13.490925,0.701964,0.059307,0.001995,-5.116608
1994,9.377101,13.702481,0.875839,0.059570,0.001192,-5.261980
1995,10.005379,14.433547,0.877799,0.044939,0.000656,-5.351561
1996,10.153682,15.082813,0.881097,0.037704,0.000952,-5.848885
1997,10.471331,15.569126,0.912192,0.030840,0.000301,-6.041128
1998,9.883240,15.123598,0.886503,0.033491,0.000937,-6.161291
1999,9.202121,14.478435,0.902921,0.034693,0.002573,-6.216501
2000,8.738999,14.100569,0.922634,0.033375,0.003150,-6.320729
2001,9.942585,15.304710,0.968344,0.033036,0.003074,-6.366578
2002,9.106674,15.580746,0.955581,0.032001,0.002568,-7.464222
2003,9.170183,15.240062,1.000810,0.033507,0.003689,-7.107885
2004,9.452778,15.652988,1.025886,0.028401,0.003424,-7.257921
2005,9.657673,15.838254,1.071333,0.029067,0.003309,-7.284291
2006,9.964310,16.049982,1.101434,0.028712,0.004019,-7.219836
2007,9.735914,16.197536,1.119227,0.027372,0.004957,-7.613178
2008,10.935045,17.199428,1.057146,0.022887,0.005207,-7.349622
2009,8.938866,15.461975,0.710845,0.030239,0.006440,-7.270633
2010,9.273091,15.734220,0.696256,0.027835,0.007328,-7.192549
2011,9.274185,15.657034,0.675212,0.024780,0.007382,-7.090223
2012,8.769483,15.059404,0.671342,0.026999,0.007663,-6.995925
2013,9.702128,14.353926,0.739688,0.026380,0.017152,-5.435018
2014,13.926954,12.749450,0.773699,0.025302,0.020317,0.358186
2015,14.119300,12.876534,0.731078,0.024265,0.027316,0.460108
2016,15.096654,13.702501,0.718184,0.025352,0.023592,0.627025
2017,15.383910,13.788885,0.798428,0.025104,0.027464,0.744030
2018,15.397650,13.681849,0.835147,0.027782,0.020674,0.832199
2019,9.389332,13.167901,0.837055,0.029010,0.020561,-4.665195
2020,8.397735,12.035917,0.787389,0.030715,0.019607,-4.475893
2021,8.616861,12.243986,0.789896,0.028997,0.013956,-4.459974
2022,8.398894,11.942461,0.739251,0.027677,0.013973,-4.324469
2023,7.556610,11.311475,0.640037,0.028765,0.016843,-4.440510
2024,8.211559,11.997622,0.658610,0.029228,0.016227,-4.490128
