"Year","Electricity generation","Manufacturing industries and construction: Other","Cars","Residential: Stationary combustion","All others"
1986,0.017720,0.564299,0,1.748765,0.432471
1990,0.017720,0.391192,0,1.748765,0.423657
1991,0.023078,0.325767,0,1.792062,0.309289
1992,0.018006,0.342123,0,1.835359,0.298919
1993,0.014191,0.332582,0,1.878657,0.231593
1994,0.034203,0.340760,0,1.921954,0.243118
1995,0.030013,0.317588,0,1.965251,0.252238
1996,0.010930,0.381651,0,2.008548,0.214562
1997,0.010707,0.332582,0,2.051846,0.318124
1998,0.011644,0.365976,0,2.095143,0.302013
1999,0.015021,0.087696,0,2.138440,0.284126
2000,0.020773,0.100800,0,2.186658,0.267360
2001,0.019686,0.077392,0,2.622140,0.474415
2002,0.021783,0.088928,0,2.060001,0.509167
2003,0.028583,0.234304,0,2.209083,0.469777
2004,0.029815,0.214821,0,2.131386,0.345670
2005,0.088079,0.242478,0,2.604475,0.379721
2006,0.098850,0.286100,0.005038,2.300990,0.230151
2007,0.108050,0.320708,0.018883,2.664068,0.116409
2008,0.323760,0.286914,0.036940,2.585788,0.187520
2009,0.193424,0.248399,0.045239,2.512914,0.183201
2010,0.195676,0.286606,0.073006,2.560799,0.191923
2011,0.235726,0.208794,0.060269,2.584291,0.192143
2012,0.240307,0.158242,0.088293,2.516365,0.217709
2013,0.234518,0.187218,0.101222,2.598049,0.247379
2014,0.213016,0.279269,0.076057,2.141903,0.242105
2015,0.254030,0.243441,0.054695,2.425469,0.229332
2016,0.261650,0.225854,0.034024,2.487666,0.217677
2017,0.290517,0.225796,0.042910,2.374064,0.231397
2018,0.292492,0.232742,0.123286,2.126629,0.263605
2019,0.321769,0.224715,0.155083,2.000465,0.299002
2020,0.331009,0.269847,0.146534,1.926558,0.284391
2021,0.349104,0.269940,0.170022,2.165565,0.306586
2022,0.354779,0.278142,0.137263,1.743304,0.334694
2023,0.368203,0.265211,0.170504,1.613635,0.371705
2024,0.388747,0.249674,0.161561,1.573325,0.332587
