"YYYYMM","Coal (MtCO2)","Oil (MtCO2)","Gas (MtCO2)","Cement (MtCO2)"
200801,0.535634,2.848791,0.240719,
200802,0.701294,3.013198,0.211514,
200803,0.504177,2.786478,0.216382,
200804,0.633567,3.093648,0.142337,
200805,0.458755,3.060907,0.094498,
200806,1.383614,2.900324,0.097595,
200807,0.516350,2.825322,0.081420,
200808,0.939258,2.954249,0.101135,
200809,0.978309,3.085366,0.111755,
200810,1.555257,3.089246,0.152318,
200811,1.232060,2.847497,0.201435,
200812,0.905792,3.169622,0.237081,
200901,0.627690,2.915854,0.295034,
200902,0.786428,2.719572,0.268759,
200903,0.573667,2.960848,0.250505,
200904,0.485382,2.741415,0.143290,
200905,0.408965,2.736875,0.128975,
200906,0.876532,2.937532,0.120953,
200907,0.356872,2.699725,0.121722,
200908,0.321863,3.206446,0.113604,
200909,0.264472,3.122062,0.153762,
200910,0.569337,3.049837,0.242051,
200911,1.190775,2.655684,0.257086,
200912,0.909749,2.961276,0.387598,
201001,0.793087,2.714138,0.444826,
201002,0.624648,2.841681,0.387845,
201003,0.888547,3.070658,0.356915,
201004,0.674534,2.540297,0.271296,
201005,0.480284,4.814712,0.189971,
201006,0.965095,2.815035,0.169822,
201007,1.004793,2.679660,0.165676,
201008,1.126726,2.828974,0.088643,
201009,0.936366,2.927575,0.185775,
201010,1.301707,2.919360,0.299104,
201011,0.907604,2.874599,0.366623,
201012,0.614090,3.494713,0.504588,
201101,0.438744,3.085909,0.398232,
201102,0.975766,2.846149,0.381487,
201103,0.423237,3.005920,0.373368,
201104,0.477724,2.926803,0.222610,
201105,0.363450,2.859819,0.204139,
201106,1.117566,2.771844,0.110468,
201107,0.852588,2.639079,0.089308,
201108,1.010884,2.864168,0.116354,
201109,0.812973,2.799683,0.137717,
201110,1.253340,2.894613,0.152077,
201111,0.897930,2.721552,0.257217,
201112,0.847350,2.711736,0.275383,
201201,0.694850,2.574885,0.339581,
201202,0.564439,2.840161,0.348746,
201203,0.574991,2.654229,0.222744,
201204,0.674311,2.586685,0.153750,
201205,0.372526,2.821788,0.113361,
201206,0.936236,2.608004,0.107117,
201207,0.699371,2.700813,0.093016,
201208,0.963443,2.994316,0.099663,
201209,0.694133,2.693998,0.115728,
201210,0.866742,2.843846,0.162765,
201211,0.769541,2.659030,0.197866,
201212,0.832654,2.751989,0.401580,
201301,0.740578,2.548960,0.382719,
201302,0.603982,2.436218,0.339023,
201303,0.567061,2.446705,0.356448,
201304,0.537271,2.505385,0.186434,
201305,0.631717,3.374202,0.099573,
201306,0.797280,2.741716,0.097454,
201307,0.751092,2.734280,0.081724,
201308,0.745582,2.800004,0.093323,
201309,0.744421,2.437572,0.140249,
201310,0.695255,2.662005,0.142421,
201311,0.829377,2.386868,0.207196,
201312,1.100345,2.265078,0.231400,
201401,0.652444,2.401340,0.339340,
201402,0.507486,2.237337,0.254199,
201403,0.693088,2.472877,0.170726,
201404,0.575314,2.593813,0.142643,
201405,0.691943,2.609145,0.113947,
201406,1.010032,2.643419,0.110833,
201407,0.806423,2.559912,0.104716,
201408,0.445568,2.685297,0.108776,
201409,0.541707,2.668780,0.112390,
201410,1.005027,2.633836,0.158270,
201411,0.736714,2.359059,0.186131,
201412,0.625389,2.516384,0.252253,
201501,0.522343,2.396674,0.300283,
201502,0.618877,2.220282,0.279765,
201503,0.748997,2.600995,0.189043,
201504,0.653186,2.587775,0.127782,
201505,0.729809,2.475242,0.119014,
201506,0.696018,2.774667,0.099958,
201507,0.675015,2.578885,0.084818,
201508,0.864863,2.755520,0.089845,
201509,0.739776,2.476733,0.092242,
201510,0.501459,2.552094,0.143565,
201511,0.557165,2.390862,0.197461,
201512,0.714636,2.680324,0.242822,
201601,0.448130,2.324754,0.385434,
201602,0.518951,2.387145,0.289001,
201603,0.490988,2.599554,0.234780,
201604,0.410506,2.360393,0.132878,
201605,0.442228,2.551894,0.107372,
201606,0.626148,2.554642,0.095244,
201607,1.088874,2.395414,0.088050,
201608,0.845210,2.768663,0.106480,
201609,0.449349,2.648909,0.128240,
