"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1990,-4.154424,,,,
1991,-4.154424,,,,
1992,-4.154424,,,,
1993,-4.154424,,,,
1994,-4.154424,,,,
1995,-4.154424,,,,
1996,-4.154424,,,,
1997,-4.154424,,,,
1998,-4.154424,,,,
1999,-4.154424,,,,
2000,-4.143880,,,,
2001,-4.143880,,,,
2002,-4.143880,,,,
2003,-4.143880,,,,
2004,-4.143531,,,,
2005,-4.147324,,,-0.001225,
2006,-4.151817,,,-0.002261,
2007,-4.152165,,,-0.002261,
2008,-4.150767,,,-0.002261,
2009,-4.146624,,,-0.002261,
2010,-4.150417,,,-0.003482,
2011,-4.150417,,,-0.003482,
2012,-4.155607,,,-0.006110,
2013,-4.156304,,,-0.007330,
2014,-4.156653,,,-0.008367,
2015,-4.156653,,,-0.008367,
2016,-4.161144,,,-0.010096,
2017,-4.162191,,,-0.011500,
2018,-4.170144,,,-0.013762,
2019,-4.174286,,,-0.015802,
2020,-4.178079,,,-0.016839,
2021,-4.178428,,,-0.017875,
2022,-4.182570,,,-0.018912,
