"Year","Coal","Oil","Gas","Cement"
1950,7.774346,1.517482,0,0.196327
1951,8.094528,1.893607,0,0.196181
1952,7.903248,2.344960,0,0.225326
1953,10.013712,2.689376,0,0.261668
1954,10.247338,2.836710,0,0.348986
1955,9.884467,3.327807,0,0.407149
1956,10.566007,3.316766,0,0.479726
1957,11.614880,3.729952,0,0.625097
1958,11.936374,3.349661,0,0.748834
1959,11.257074,5.077222,0,0.857508
1960,11.321760,4.470080,0,1.006697
1961,10.621936,5.715840,0,1.003062
1962,11.897008,8.559104,0,1.148434
1963,12.959568,8.346592,0,1.333782
1964,14.361215,10.491493,0,1.453714
1965,14.181445,11.525401,0,1.646110
1966,15.872448,13.721680,0,1.911633
1967,15.031748,16.346980,0,2.100386
1968,15.335955,18.592922,0,2.336609
1969,16.164041,19.725112,0,2.863545
1970,17.480944,21.947360,0,3.150924
1971,17.700784,26.234240,0,3.709306
1972,18.901289,30.713221,0,4.121116
1973,19.243328,35.734992,0,4.353643
1974,19.944348,36.693497,0,4.323432
1975,21.002048,39.314720,0,5.146294
1976,23.625472,43.883728,0,5.910799
1977,23.936912,50.676784,0,6.586232
1978,20.419472,49.086608,0.040304,7.267929
1979,25.025120,43.619920,0.003664,6.490600
1980,24.193392,45.048880,0.043968,6.031363
1981,27.241840,45.041552,0.029312,7.008673
1982,31.141649,47.835537,0.073283,7.310813
1983,34.646784,49.031648,0.014656,6.263413
1984,38.834736,48.976688,0.073280,7.208573
1985,46.798216,50.946007,0.124580,8.009001
1986,52.219328,53.747216,0.846384,9.059420
1987,55.487616,61.983888,1.377664,9.898371
1988,53.726792,58.878525,2.304723,10.154740
1989,58.717718,63.147378,5.473872,10.593827
1990,70.393289,61.205519,8.902442,10.845445
1991,75.122202,59.922155,10.390552,12.482179
1992,75.199506,64.450534,11.234118,13.774623
1993,70.693467,74.233803,12.483139,13.549496
1994,68.714605,71.560752,12.768144,14.011109
1995,71.238758,79.153806,15.956747,14.675166
1996,82.833764,83.309761,18.351597,15.224521
1997,90.689131,83.011654,22.320202,15.684319
1998,94.198687,78.610650,23.215905,15.879245
1999,84.440907,79.990696,28.197005,15.149788
2000,98.746487,83.478072,31.520125,15.766542
2001,84.737813,79.198308,34.079544,15.666022
2002,87.459957,81.248230,36.118265,16.108751
2003,92.222036,82.781519,44.579620,16.636756
2004,93.600498,86.729449,45.740996,17.867659
2005,102.317027,85.263878,55.996013,19.850790
2006,111.845777,84.056269,63.272039,21.640472
2007,126.307443,88.685605,72.949788,23.653920
2008,123.110391,87.255337,72.055748,25.803673
2009,130.556944,84.007575,72.087303,28.077545
2010,129.887222,81.341723,72.076410,31.127682
2011,135.545451,84.965595,86.094634,32.661426
2012,141.930728,90.715180,87.321243,32.575780
2013,125.758213,95.671529,87.209736,35.214774
2014,130.661632,100.357277,93.897827,35.822568
2015,139.511222,109.354231,97.265033,35.553558
2016,152.352853,116.645643,91.832802,38.267891
2017,158.754243,119.629689,104.500467,40.573548
2018,163.516663,116.760522,95.750879,40.815292
2019,166.010321,115.727790,84.188902,34.256278
2020,159.424343,115.651707,92.305278,42.497082
2021,166.275828,122.541039,115.660506,46.305559
2022,166.445242,128.858990,100.050326,42.022098
2023,194.936773,133.637437,110.090497,42.511356
2024,209.284184,136.297491,119.503754,42.180670
