"Year","Türkiye","World"
1950,0.452297,2.372741
1951,0.473257,2.509281
1952,0.474033,2.496828
1953,0.571372,2.519009
1954,0.577319,2.522133
1955,0.571732,2.710743
1956,0.586711,2.829705
1957,0.632754,2.864250
1958,0.616543,2.886446
1959,0.642248,2.981084
1960,0.610612,3.109071
1961,0.613726,3.068418
1962,0.744121,3.117449
1963,0.759020,3.212604
1964,0.859214,3.313059
1965,0.871820,3.389338
1966,0.979267,3.482441
1967,1.013705,3.521091
1968,1.070281,3.638560
1969,1.116085,3.800910
1970,1.198032,4.031813
1971,1.310182,4.112250
1972,1.444600,4.219880
1973,1.559631,4.358162
1974,1.567763,4.257539
1975,1.648939,4.190445
1976,1.811299,4.342568
1977,1.960117,4.387958
1978,1.813901,4.445411
1979,1.737491,4.491730
1980,1.705916,4.385349
1981,1.760398,4.204303
1982,1.876171,4.095304
1983,1.909824,4.047822
1984,1.972821,4.114002
1985,2.148671,4.177916
1986,2.302050,4.164586
1987,2.506182,4.215461
1988,2.385947,4.303169
1989,2.580796,4.285587
1990,2.790932,4.275440
1991,2.858333,4.288762
1992,2.914013,4.101485
1993,2.986925,4.079975
1994,2.873691,4.061836
1995,3.057984,4.097368
1996,3.311232,4.164388
1997,3.461441,4.131378
1998,3.408219,4.059213
1999,3.290748,4.096031
2000,3.586397,4.148800
2001,3.282228,4.125716
2002,3.352480,4.162733
2003,3.540827,4.327484
2004,3.610951,4.421495
2005,3.855203,4.515645
2006,4.056938,4.611727
2007,4.451517,4.688505
2008,4.355286,4.708763
2009,4.380886,4.572416
2010,4.319852,4.774950
2011,4.611562,4.878259
2012,4.730597,4.887112
2013,4.535772,4.868795
2014,4.660333,4.830362
2015,4.832996,4.767311
2016,5.010531,4.713752
2017,5.249139,4.735624
2018,5.096754,4.780249
2019,4.823720,4.778430
2020,4.907883,4.479880
2021,5.340025,4.676995
2022,5.124197,4.676281
2023,5.034916,4.697341
