"Year","Total","Fossil CO¿","CH¡","N¿O","F-gas","LULUCF"
1990,5.441146,5.131761,0.818710,0.403070,0.125365,-1.037760
1991,5.371233,5.076413,0.827525,0.394003,0.118188,-1.044895
1992,5.453675,5.178769,0.826287,0.393918,0.122858,-1.068157
1993,5.553241,5.279520,0.813538,0.414612,0.123576,-1.078005
1994,5.658269,5.361864,0.820300,0.414302,0.128204,-1.066400
1995,5.764473,5.425837,0.815751,0.419967,0.146317,-1.043400
1996,5.917035,5.601094,0.809399,0.430973,0.158389,-1.082820
1997,6.003800,5.673144,0.797407,0.416136,0.169175,-1.052061
1998,6.041164,5.736360,0.784162,0.419747,0.184904,-1.084009
1999,6.140795,5.800281,0.763845,0.414189,0.185200,-1.022720
2000,6.309386,6.023157,0.760185,0.405511,0.171526,-1.050992
2001,6.194876,5.903562,0.756113,0.420331,0.156681,-1.041811
2002,6.279062,5.947819,0.743197,0.418242,0.159757,-0.989953
2003,6.305779,6.006440,0.746899,0.421534,0.158134,-1.027228
2004,6.491819,6.111545,0.732709,0.419500,0.158059,-0.929993
2005,6.463617,6.126903,0.736242,0.413914,0.155493,-0.968936
2006,6.369932,6.045327,0.752369,0.418191,0.159143,-1.005097
2007,6.511523,6.121542,0.753119,0.427086,0.169510,-0.959734
2008,6.299641,5.919221,0.768506,0.413934,0.173162,-0.975182
2009,5.897328,5.486104,0.750519,0.404826,0.169955,-0.914076
2010,6.076603,5.669250,0.756093,0.416146,0.177218,-0.942104
2011,5.860947,5.538973,0.722956,0.414769,0.179516,-0.995268
2012,5.613469,5.331467,0.707581,0.388049,0.177424,-0.991052
2013,5.844422,5.473437,0.709427,0.429186,0.177909,-0.945537
2014,5.879633,5.531385,0.709200,0.437059,0.180608,-0.978620
2015,5.746536,5.368497,0.698910,0.416749,0.183241,-0.920861
2016,5.559886,5.245361,0.691103,0.410865,0.182610,-0.970054
2017,5.509322,5.195418,0.699472,0.412198,0.184039,-0.981805
2018,5.724066,5.361236,0.714651,0.434457,0.186787,-0.973065
2019,5.613697,5.235913,0.696421,0.409215,0.191434,-0.919286
2020,4.970218,4.689953,0.661867,0.377644,0.192169,-0.951416
2021,5.288872,5.020111,0.647788,0.385377,0.198579,-0.962983
2022,5.369065,5.055403,0.637153,0.378514,0.203276,-0.905280
2023,5.195954,4.918406,0.631977,0.381135,0.204464,-0.940028
