"Year","USA","World"
1950,17.139592,2.372741
1951,17.388702,2.509281
1952,16.680990,2.496828
1953,16.808948,2.519009
1954,15.735586,2.522133
1955,16.932928,2.710743
1956,17.432252,2.829705
1957,16.985847,2.864250
1958,16.145486,2.886446
1959,16.338840,2.981084
1960,16.444399,3.109071
1961,16.119921,3.068418
1962,16.457443,3.117449
1963,16.931977,3.212604
1964,17.430369,3.313059
1965,17.920337,3.389338
1966,18.617542,3.482441
1967,19.121758,3.521091
1968,19.622215,3.638560
1969,20.394011,3.800910
1970,21.662866,4.031813
1971,21.514514,4.112250
1972,22.281481,4.219880
1973,23.082939,4.358162
1974,22.082682,4.257539
1975,21.197836,4.190445
1976,22.263379,4.342568
1977,22.697792,4.387958
1978,22.680724,4.445411
1979,22.720153,4.491730
1980,21.550941,4.385349
1981,20.769599,4.204303
1982,19.506905,4.095304
1983,19.227014,4.047822
1984,20.030773,4.114002
1985,19.787427,4.177916
1986,19.635624,4.164586
1987,20.120696,4.215461
1988,20.846523,4.303169
1989,20.953082,4.285587
1990,20.642052,4.275440
1991,20.126224,4.288762
1992,20.277146,4.101485
1993,20.375824,4.079975
1994,20.452991,4.061836
1995,20.421773,4.097368
1996,20.867321,4.164388
1997,20.881930,4.131378
1998,20.785180,4.059213
1999,20.789043,4.096031
2000,21.282460,4.148800
2001,20.694748,4.125716
2002,20.621824,4.162733
2003,20.645629,4.327484
2004,20.795028,4.421495
2005,20.658025,4.515645
2006,20.192239,4.611727
2007,20.248576,4.688505
2008,19.349745,4.708763
2009,17.765031,4.572416
2010,18.252019,4.774950
2011,17.669734,4.878259
2012,16.876879,4.887112
2013,17.158994,4.868795
2014,17.168006,4.830362
2015,16.562983,4.767311
2016,16.053693,4.713752
2017,15.804430,4.735624
2018,16.191355,4.780249
2019,15.739861,4.778430
2020,14.034053,4.479880
2021,14.932488,4.676995
2022,15.013372,4.676281
2023,14.445414,4.697341
