"Year","Electricity generation","Pulp, paper and print","Manufacturing industries and construction: Other","Road transportation","Residential: Stationary combustion","All others"
1990,13.252141,35.143917,96.482243,4.058972,59.807663,29.201367
1991,12.971560,34.378226,94.380157,4.662172,62.901163,26.083189
1992,14.459121,35.621692,97.793902,5.380098,65.994663,28.636113
1993,15.450176,36.200633,99.383296,6.280015,56.714164,28.069871
1994,15.708277,38.530232,105.778853,7.042014,53.620664,28.599171
1995,12.932067,40.312265,110.671151,7.491851,53.620664,29.006195
1996,14.215663,41.048866,112.693378,5.394617,55.682997,29.398248
1997,14.126158,42.203738,115.863900,6.839899,44.340164,28.142601
1998,14.096769,39.112065,107.376186,7.561041,39.184331,25.432811
1999,14.232780,39.485044,108.400142,7.959715,40.215498,24.992361
2000,13.850733,39.903817,109.549820,9.036730,43.308998,26.592181
2001,13.034152,35.223061,96.699521,9.552471,38.153165,25.559954
2002,15.487298,34.124647,93.683995,11.363280,39.184331,25.533472
2003,17.250077,33.359570,91.583592,15.385540,41.246664,25.825408
2004,17.033738,36.170295,99.300008,19.341077,42.277831,26.067376
2005,19.073798,35.660886,97.901503,22.472091,44.340164,25.972755
2006,18.748156,36.378559,99.871764,31.182695,39.184331,26.900302
2007,19.175162,35.025289,96.156570,39.426123,43.308998,26.893096
2008,18.287534,33.413009,91.730301,53.910422,48.464831,27.115448
2009,18.565742,29.500430,80.988913,61.538308,51.970797,26.565586
2010,20.169310,37.948052,94.315006,71.150510,55.737236,26.368217
2011,18.783628,37.506017,96.518833,77.835861,54.060353,28.038550
2012,19.611861,36.168623,99.818935,78.080488,45.174894,26.990988
2013,21.389077,36.240576,102.700391,83.983582,58.947155,28.394115
2014,25.908370,36.267148,101.839708,87.355445,59.656598,28.078877
2015,25.145720,33.474911,102.779151,88.264613,52.871624,30.936014
2016,23.140101,30.417018,105.263453,96.550949,45.849998,31.450422
2017,23.647125,29.999352,103.392431,96.375337,44.296752,31.175823
2018,22.795278,29.905103,101.670835,96.539482,54.121708,30.939055
2019,20.677365,28.190161,101.530023,95.819082,56.251067,30.589047
2020,19.115148,26.277321,98.834108,85.762787,35.584632,30.121161
2021,20.287791,26.336329,99.395992,91.528517,35.484402,29.981443
2022,20.385236,23.592899,97.295481,90.575115,43.565139,30.002848
