"Year","Total","Energy","Industrial Processes","Agriculture","Waste","LULUCF"
1990,8.920975,0,,8.243838,0.677137,
1991,10.649066,1.579812,,8.291680,0.777574,
1992,10.457651,1.593819,,8.057096,0.806736,
1993,10.090794,1.628802,,7.625592,0.836400,
1994,10.276930,1.691481,,7.647678,0.937771,
1995,10.586506,1.784478,,7.929117,0.872910,
1996,10.829469,1.781495,,8.206400,0.841574,
1997,10.552463,1.809382,,7.890488,0.852594,
1998,9.948113,1.826171,,7.213856,0.908087,
1999,9.445122,1.819119,,6.654601,0.971403,
2000,11.395443,1.956649,,8.184277,1.046509,0.208008
2001,13.913531,2.252955,,8.436286,1.241384,1.982906
2002,13.249116,2.346262,,8.663364,0.998400,1.241090
2003,15.597290,2.142882,,8.389704,1.580575,3.484129
2004,14.431008,2.245753,,8.759076,1.568693,1.857486
2005,15.613024,2.503124,,9.356532,1.438762,2.314606
2006,14.691013,2.585666,,8.622785,1.563468,1.919095
2007,16.531097,2.686923,,9.731952,1.661399,2.450823
2008,18.678265,2.880802,,12.174394,1.701965,1.921104
2009,18.333564,2.999167,,11.511430,1.773989,2.048978
2010,18.632657,3.006931,,11.821348,1.775930,2.028448
2011,17.876721,3.235203,,11.752317,1.844721,1.044480
2012,18.318709,3.519409,,11.637428,1.958147,1.203724
2013,17.883624,3.012281,,11.007101,1.785686,2.078555
2014,18.526765,3.754876,,11.006775,1.569641,2.195474
2015,17.575914,3.216809,,11.226487,1.286669,1.845949
2016,17.091462,2.923612,,10.770150,1.127705,2.269995
2017,15.525744,2.528083,,10.515228,0.966005,1.516428
2018,13.876928,2.063122,,8.632366,0.623895,2.557546
2019,13.509514,1.850273,,8.063907,0.601796,2.993538
2020,15.321305,1.188312,,9.152646,0.743143,4.237205
2021,11.262503,1.056613,,8.466034,0.559505,1.180351
2022,13.921889,1.263507,,8.722704,0.553380,3.382298
