"Year","South Africa","World"
1950,4.678921,2.372741
1951,4.888660,2.509281
1952,5.203211,2.496828
1953,5.095444,2.519009
1954,5.183674,2.522133
1955,5.682846,2.710743
1956,5.837393,2.829705
1957,5.851874,2.864250
1958,6.130440,2.886446
1959,5.869172,2.981084
1960,5.922573,3.109071
1961,6.010775,3.068418
1962,6.037205,3.117449
1963,6.081579,3.212604
1964,6.426135,3.313059
1965,6.678415,3.389338
1966,6.479857,3.482441
1967,6.553438,3.521091
1968,6.553454,3.638560
1969,6.595164,3.800910
1970,6.688847,4.031813
1971,7.311895,4.112250
1972,7.239004,4.219880
1973,7.109694,4.358162
1974,7.040083,4.257539
1975,7.176720,4.190445
1976,7.284851,4.342568
1977,7.343227,4.387958
1978,7.224445,4.445411
1979,7.619858,4.491730
1980,7.745088,4.385349
1981,8.503257,4.204303
1982,9.039699,4.095304
1983,9.160535,4.047822
1984,9.631073,4.114002
1985,9.595049,4.177916
1986,9.475849,4.164586
1987,9.099413,4.215461
1988,9.163396,4.303169
1989,8.811033,4.285587
1990,7.847274,4.275440
1991,7.969178,4.288762
1992,7.215516,4.101485
1993,7.533028,4.079975
1994,7.827903,4.061836
1995,8.222910,4.097368
1996,8.144184,4.164388
1997,8.506621,4.131378
1998,8.227800,4.059213
1999,8.085702,4.096031
2000,8.081189,4.148800
2001,7.868436,4.125716
2002,7.480315,4.162733
2003,8.406978,4.327484
2004,9.253363,4.421495
2005,8.490931,4.515645
2006,9.027161,4.611727
2007,9.301619,4.688505
2008,9.783253,4.708763
2009,9.273324,4.572416
2010,8.940820,4.774950
2011,8.884025,4.878259
2012,8.636089,4.887112
2013,8.513380,4.868795
2014,8.623585,4.830362
2015,7.988139,4.767311
2016,8.101234,4.713752
2017,7.768119,4.735624
2018,7.579073,4.780249
2019,7.989971,4.778430
2020,7.381842,4.479880
2021,7.171270,4.676995
2022,6.767164,4.676281
2023,6.652263,4.697341
