"Year","Total","Energy industries","Manufacturing","Transport","Other sectors","Other","Fugitive: Solid fuels","Fugitive: Oil & Gas"
1990,3.208696,0.152902,1.279518,0.455660,1.310289,0.010326,,
1991,2.570411,0.176358,0.628426,0.465813,1.289482,0.010332,,
1992,3.263025,0.163445,1.357716,0.439392,1.292138,0.010335,,
1993,3.232311,0.201145,1.230133,0.451285,1.339404,0.010344,,
1994,3.127163,0.151663,1.117030,0.503586,1.344535,0.010347,,
1995,3.094890,0.112480,1.020685,0.524288,1.427087,0.010350,,
1996,3.190751,0.131698,1.146331,0.501226,1.401136,0.010359,,
1997,3.328434,0.117397,1.141762,0.593023,1.465908,0.010344,,
1998,2.913075,0.154729,0.725915,0.494469,1.527596,0.010365,,
1999,3.242443,0.066358,1.114798,0.478142,1.572770,0.010375,,
2000,3.204337,0.045507,1.116447,0.500655,1.531360,0.010368,,
2001,3.286765,0.106697,0.974611,0.566811,1.628256,0.010390,,
2002,3.285081,0.129235,0.959088,0.581224,1.605145,0.010390,,
2003,3.463088,0.157451,0.965336,0.675841,1.654067,0.010393,,
2004,3.872824,0.173403,1.074938,0.855725,1.758358,0.010399,,
2005,4.160274,0.159783,1.095689,1.128380,1.766016,0.010405,,
2006,5.055781,0.168056,1.349191,1.712815,1.815308,0.010411,,
2007,4.620647,0.170877,0.726603,1.884579,1.828175,0.010414,,
2008,4.532200,0.158216,0.577744,1.927300,1.858522,0.010417,,
2009,4.589163,0.179319,0.547691,1.978929,1.872798,0.010427,,
2010,4.840528,0.193536,0.600610,2.028289,2.007663,0.010430,,
2011,5.371110,0.197080,1.038995,2.077213,2.047389,0.010433,,
2012,5.217501,0.206013,2.015016,2.124112,0.861919,0.010442,,
2013,6.083361,0.407688,1.691142,2.171371,1.802714,0.010445,,
2014,6.546036,0.456289,1.841513,2.216968,2.020816,0.010451,,
2015,6.366742,0.449046,1.598287,2.262812,2.046140,0.010457,,
2016,7.663124,1.459389,1.799731,2.322249,2.071295,0.010460,,
2017,8.344659,1.776612,2.072509,2.370062,2.115010,0.010466,,
2018,9.974771,3.079048,2.278390,2.415586,2.187537,0.014210,,
2019,10.691199,3.323113,2.581571,2.479768,2.292164,0.014584,,
2020,10.863805,2.828745,3.052803,2.652494,2.309603,0.020161,,
2021,10.924082,3.468412,2.884470,3.033090,1.514974,0.023135,,
2022,11.997429,3.578528,3.559302,3.222937,1.610959,0.025703,,
