"Year","Electricity generation","Manufacturing industries and construction: Other","Residential: Stationary combustion","All others"
1990,0,1.558322,12.200535,0.736620
1991,0,1.562147,12.572640,0.735571
1992,0,1.555805,12.907049,0.737493
1993,0,1.559804,12.907049,0.737843
1994,0,1.574079,13.603747,0.738192
1995,0,1.580001,13.969378,0.738541
1996,0,1.573517,14.346251,0.738891
1997,0,1.598799,14.679543,0.740114
1998,0,1.572747,15.018213,0.739590
1999,0,1.568676,15.403597,0.739939
2000,0.653196,1.576345,15.764064,0.740463
2001,0.653196,1.594148,16.130141,0.740813
2002,0.653196,1.598463,16.521720,0.741162
2003,0.653196,1.623954,16.907705,0.741512
2004,0.653196,1.670726,17.303636,0.741861
2005,0.659112,1.744189,17.504658,0.742211
2006,0.653196,1.900762,17.710471,0.742560
2007,0.647280,2.254933,17.921305,0.742909
2008,0.565848,2.528264,18.137331,0.743259
2009,0.908976,1.708165,18.358765,0.743259
2010,1.079844,2.053759,20.056649,0.744132
2011,1.057572,2.277000,20.378734,0.744482
2012,1.129608,2.349961,4.748950,0.744831
2013,1.097592,1.801014,17.472185,0.745181
2014,1.189116,1.770787,19.999889,0.745530
2015,0.831604,2.203980,20.470980,0.745880
2016,0.474208,1.375493,20.942070,0.746229
2017,0.459604,2.258334,21.413164,0.746753
2018,0.444698,2.319548,22.271704,0.770865
2019,0.458594,2.475166,23.469877,0.811400
2020,1.100724,2.455204,23.280344,0.782221
2021,1.104053,1.296521,12.293950,0.797422
2022,1.190705,1.372077,13.010072,0.797772
