"Year","Total","Energy","Industrial Processes","Agriculture","Waste","LULUCF"
1990,37.421076,9.135417,0.802758,12.539863,0.968628,13.974411
1991,44.112142,9.411702,0.943084,12.348697,1.020209,20.388450
1992,43.852728,9.070953,0.898434,11.851079,1.043228,20.989033
1993,69.926012,9.922244,1.279713,10.699291,1.120525,46.904238
1994,55.667910,10.272299,1.723865,10.733841,1.225623,31.712282
1995,58.078793,10.587827,2.216718,10.799851,1.248690,33.225707
1996,67.486086,10.587315,2.523524,10.980052,1.300880,42.094315
1997,70.784955,10.530746,2.762438,11.473208,1.368447,44.650116
1998,70.810383,11.116334,2.956360,11.852510,1.419616,43.465563
1999,72.355515,11.224174,3.219166,12.557442,1.467394,43.887339
2000,64.715252,8.912448,4.185045,12.371602,1.537750,37.708406
2001,63.355748,10.466518,4.213874,12.673703,1.613278,34.388376
2002,62.727027,10.700913,4.224379,11.534398,1.623188,34.644149
2003,61.394701,8.264254,4.307839,11.403554,1.706769,35.712285
2004,60.602509,9.162423,4.275910,11.339224,1.725659,34.099294
2005,59.535616,9.693825,4.354963,11.248058,1.750169,32.488601
2006,60.699784,9.793487,4.897523,11.243509,1.735655,33.029609
2007,63.590457,10.838518,4.741418,11.204026,1.759115,35.047380
2008,61.541076,9.870265,5.558951,11.109945,1.795546,33.206370
2009,58.659010,9.157472,5.009554,11.201806,1.779193,31.510985
2010,62.413085,9.478774,5.404196,11.237357,1.884490,34.408268
2011,62.428766,11.370171,5.080906,12.413908,1.974774,31.589006
2012,58.503951,10.001894,4.746895,12.588281,2.054706,29.112175
2013,60.108424,12.988310,4.548488,10.052531,2.110881,30.408215
2014,69.384947,12.878470,4.486550,10.458600,2.219672,39.341656
2015,72.376499,12.546336,4.348768,10.878102,2.224754,42.378538
2016,66.187657,11.592268,3.991170,11.457185,2.373413,36.773621
2017,66.341443,11.416623,4.487012,12.034179,2.493936,35.909693
2018,69.606880,12.657930,4.606128,11.152578,2.584481,38.605762
2019,69.840939,11.915945,4.183481,10.287912,2.644511,40.809090
2020,61.861551,10.302339,4.085688,10.827958,2.767846,33.877721
2021,67.296168,11.489953,4.117455,10.858609,2.906542,37.923609
2022,83.723417,12.777885,4.152176,11.543063,3.020669,52.229625
