"Year","Total","Fossil CO¿","CH¡","N¿O","F-gas","LULUCF"
1996,58.059007,52.225116,4.198699,1.824907,0,-0.189715
2000,67.604764,61.067818,4.628965,2.121291,0,-0.213310
2003,69.893369,62.534542,5.851818,1.793287,0,-0.286277
2004,70.232335,62.459544,6.179733,1.863307,0,-0.270249
2005,70.782104,62.734167,6.563447,1.860080,0,-0.375591
2006,72.193837,63.760604,6.917847,1.911377,0,-0.395992
2007,75.418769,66.585271,7.171775,2.046516,0,-0.384793
2008,77.056453,66.068730,7.451010,1.920394,1.962857,-0.346538
2009,73.324837,63.244641,7.600312,1.838827,1.008229,-0.367172
2010,76.121839,65.110026,8.013031,1.806740,1.603117,-0.411076
2011,78.633132,67.164842,8.057893,1.636167,2.188570,-0.414340
2012,84.416127,72.431718,8.306954,1.682717,2.319655,-0.324916
2013,78.876390,66.369174,8.339166,1.654338,2.805000,-0.291289
2014,76.791367,64.426216,8.494464,1.711879,2.322233,-0.163426
2015,79.882685,66.242667,8.518716,1.732907,3.529577,-0.141182
2016,79.776803,65.278150,8.699542,1.715514,4.289786,-0.206189
2017,79.066288,64.986374,8.737857,1.663765,3.853875,-0.175582
2018,79.221533,64.640616,8.814718,1.696564,4.324426,-0.254792
2019,80.249728,65.882710,8.745975,1.669657,4.234725,-0.283340
2020,78.604448,62.782087,8.792912,1.610447,5.679164,-0.260162
2021,77.458025,62.328758,9.054588,1.586225,4.782878,-0.294424
2022,80.117362,64.505589,9.328367,1.568605,5.000633,-0.285831
