"YYYYMM","COL.CO2","OIL.CO2","GAS.CO2","CEM.CO2"
199801,,,,
199802,,,,
199803,,,,
199804,,20.790093,,
199805,,21.906927,,
199806,,21.572929,,
199807,,21.348526,,
199808,,20.608941,,
199809,,20.933485,,
199810,,22.013689,,
199811,,22.783536,,
199812,,22.839389,,
199901,,22.809710,,
199902,,22.516735,,
199903,,24.507128,,
199904,,23.455369,,3.926029
199905,,23.622597,,3.937738
199906,,23.621603,,3.958542
199907,,23.726073,,3.566017
199908,,22.903511,,3.352405
199909,,22.918465,,3.280257
199910,,22.718691,,3.343964
199911,,24.030624,,3.660414
199912,,25.398750,,3.886127
200001,,23.329733,,4.111847
200002,,24.020817,,3.920566
200003,,25.141329,,4.549596
200004,,23.241679,,3.660599
200005,,24.955072,,4.099001
200006,,23.759114,,4.233601
200007,,23.100642,,3.792125
200008,,23.263439,,3.279264
200009,,24.877163,,3.359046
200010,,21.943662,,3.779290
200011,,24.009138,,3.731754
200012,,23.957337,,3.440325
200101,,24.464292,,3.602441
200102,,22.817683,,3.523080
200103,,24.916161,,4.386374
200104,,23.295573,,4.005004
200105,,24.757524,,4.222318
200106,,23.858269,,4.192267
200107,,22.797525,,3.529263
200108,,22.835660,,3.525102
200109,,23.823917,,3.930043
200110,,23.284240,,3.955939
200111,,23.696556,,3.959562
200112,,24.649469,,3.908265
200201,,24.059088,,3.921591
200202,,21.985306,,3.971701
200203,,24.425850,,4.627202
200204,,23.764863,,4.209697
200205,,25.104279,,4.406789
200206,,23.273184,,4.158526
200207,,24.237697,,4.080033
200208,,22.778765,,3.693241
200209,,22.548142,,3.702250
200210,,23.944396,,4.139021
200211,,23.841487,,3.929657
200212,,25.409333,,4.271529
200301,,24.226663,,4.254565
200302,,22.747252,,4.143543
200303,,23.467270,,4.832572
200304,,21.764070,,4.018791
200305,,23.749193,,4.694955
200306,,24.680711,,4.500533
200307,,24.100193,,4.146757
200308,,23.029689,,3.840230
200309,,22.823385,,3.905314
200310,,24.310828,,4.118786
200311,,25.011619,,4.004615
200312,,26.284915,,4.419418
200401,,25.044210,,4.484983
200402,,24.425769,,4.521434
200403,,26.125536,,4.929238
200404,,25.313057,,4.858345
200405,,26.081895,,4.765511
200406,,24.797559,,4.472821
200407,,25.380839,,4.665344
200408,,22.181569,,4.043448
200409,,24.031752,,4.458044
200410,,25.549257,,4.839123
200411,,23.686985,,4.616463
200412,,26.430947,,4.889914
200501,,25.567072,,5.015664
200502,,23.920361,,4.665846
200503,,26.509635,,5.311504
200504,,28.222402,,5.175827
200505,,30.078742,,5.325646
200506,,29.372303,,5.050127
200507,,28.787200,,4.679938
200508,,29.841376,,4.667540
200509,,27.618304,,4.524143
200510,,29.167953,,5.084251
200511,,28.032792,,4.815103
200512,,31.465278,,5.370980
200601,,30.339669,6.880836,5.608196
200602,,29.100682,6.437717,5.260443
200603,,31.088234,6.508082,6.028378
200604,,30.728991,6.795007,5.638245
200605,,33.879322,7.424101,5.528588
200606,,30.918129,7.113193,5.484987
200607,,29.666959,7.447033,5.192692
200608,,29.296376,5.021079,4.677558
200609,,29.818935,6.972426,5.136479
200610,,30.651295,7.686019,5.427408
200611,,31.984495,7.014817,5.255517
200612,,32.883403,7.279317,5.666909
200701,,33.327005,7.015398,5.875235
200702,,30.720951,6.918138,5.442218
200703,,33.866930,7.777452,6.218442
200704,,32.666615,6.837738,5.835461
200705,,34.136354,7.317127,5.948063
200706,,33.194461,7.546994,5.700645
200707,,31.470863,7.156626,5.571055
200708,,30.430477,7.105026,5.362859
200709,,30.947677,7.242058,5.324129
200710,,34.049921,7.755633,5.746482
200711,,33.499096,7.242586,5.458111
200712,,34.262277,8.041357,5.850565
200801,,35.359768,7.392669,6.144031
