"YYYYMM","Coal","Natural gas","Hydro","Wind","Solar","Other renewables","Nuclear"
200601,,,,,,,
200602,,,,,,,
200603,,,,,,,
200604,,,,,,,
200605,,,,,,,
200606,,,,,,,
200607,,,,,,,
200608,,,,,,,
200609,,,,,,,
200610,,,,,,,
200611,,,,,,,
200612,,,,,,,
200701,,,,,,,
200702,,,,,,,
200703,,,,,,,
200704,,,,,,,
200705,,,,,,,
200706,,,,,,,
200707,,,,,,,
200708,,,,,,,
200709,,,,,,,
200710,,,,,,,
200711,,,,,,,
200712,,,,,,,
200801,,,,,,,
200802,,,,,,,
200803,,,,,,,
200804,,,,,,,
200805,,,,,,,
200806,,,,,,,
200807,,,,,,,
200808,,,,,,,
200809,,,,,,,
200810,,,,,,,
200811,,,,,,,
200812,,,,,,,
200901,,,,,,,
200902,,,,,,,
200903,,,,,,,
200904,,,,,,,
200905,,,,,,,
200906,,,,,,,
200907,,,,,,,
200908,,,,,,,
200909,,,,,,,
200910,,,,,,,
200911,,,,,,,
200912,,,,,,,
201001,,,,,,,
201002,,,,,,,
201003,,,,,,,
201004,,,,,,,
201005,,,,,,,
201006,,,,,,,
201007,,,,,,,
201008,,,,,,,
201009,,,,,,,
201010,,,,,,,
201011,,,,,,,
201012,,,,,,,
201101,,,,,,,
201102,,,,,,,
201103,,,,,,,
201104,,,,,,,
201105,,,,,,,
201106,,,,,,,
201107,,,,,,,
201108,,,,,,,
201109,,,,,,,
201110,,,,,,,
201111,,,,,,,
201112,,,,,,,
201201,,,,,,,
201202,,,,,,,
201203,,,,,,,
201204,,,,,,,
201205,,,,,,,
201206,,,,,,,
201207,,,,,,,
201208,,,,,,,
201209,,,,,,,
201210,,,,,,,
201211,,,,,,,
201212,,,,,,,
201301,,,,,,,
201302,,,,,,,
201303,,,,,,,
201304,,,,,,,
201305,,,,,,,
201306,,,,,,,
201307,,,,,,,
201308,,,,,,,
201309,,,,,,,
201310,,,,,,,
201311,,,,,,,
201312,,,,,,,
201401,,,,,,,
201402,,,,,,,
201403,,,,,,,
201404,0.777299,0.043036,0.107741,0.015961,0.003645,0.021250,0.031067
201405,0.763808,0.039029,0.125204,0.022537,0.004137,0.015866,0.029420
201406,0.730880,0.040250,0.131568,0.052467,0.003838,0.013027,0.027969
201407,0.713520,0.033400,0.140183,0.064681,0.003172,0.014823,0.030222
201408,0.679397,0.037570,0.178516,0.052075,0.003439,0.018992,0.030012
201409,0.693372,0.035509,0.177992,0.039776,0.003872,0.019074,0.030405
201410,0.765547,0.038651,0.117248,0.028650,0.004098,0.015856,0.029950
201411,0.798881,0.040727,0.086289,0.020492,0.004056,0.017971,0.031584
201412,0.801920,0.036222,0.077340,0.016460,0.004310,0.029572,0.034177
201501,0.803674,0.034567,0.077380,0.014603,0.004471,0.029958,0.035346
201502,0.794207,0.031976,0.079605,0.017730,0.005643,0.030008,0.040831
201503,0.777092,0.034727,0.095079,0.016102,0.005448,0.029480,0.042073
201504,0.772291,0.035665,0.103507,0.020131,0.005628,0.024258,0.038520
201505,0.753339,0.032384,0.128387,0.026704,0.005602,0.019058,0.034527
201506,0.728944,0.039816,0.131195,0.041390,0.005402,0.017078,0.036175
201507,0.696700,0.036242,0.149365,0.065229,0.004624,0.017934,0.029906
201508,0.685253,0.037913,0.174893,0.050301,0.005142,0.018619,0.027880
201509,0.751183,0.043579,0.122588,0.032104,0.006110,0.016460,0.027975
201510,0.800701,0.040586,0.088120,0.019753,0.007216,0.015542,0.028082
201511,0.801053,0.044965,0.075948,0.017040,0.006555,0.022505,0.031935
201512,0.803925,0.045113,0.067088,0.015852,0.007006,0.029796,0.031220
201601,0.818117,0.040925,0.063873,0.010955,0.005656,0.028776,0.031698
201602,0.808206,0.041963,0.064776,0.017549,0.008026,0.027567,0.031912
201603,0.799062,0.045212,0.068666,0.018611,0.009507,0.023673,0.035268
201604,0.804855,0.040018,0.074921,0.021401,0.009510,0.017793,0.031504
201605,0.767176,0.040607,0.100751,0.038831,0.009630,0.015300,0.027706
201606,0.739223,0.038803,0.117236,0.055726,0.008768,0.012909,0.027334
201607,0.691263,0.039093,0.146385,0.067724,0.008240,0.015674,0.031622
201608,0.660549,0.042780,0.170242,0.065711,0.008918,0.017595,0.034205
201609,0.714947,0.043492,0.133634,0.053097,0.009632,0.015826,0.029371
201610,0.768467,0.040239,0.101629,0.034306,0.011496,0.013862,0.030000
201611,0.807390,0.040585,0.067880,0.018976,0.012195,0.020038,0.032937
201612,0.816293,0.038679,0.062243,0.017704,0.011506,0.025126,0.028448
201701,0.816316,0.032762,0.063617,0.022767,0.011700,0.022828,0.030010
201702,0.800151,0.038319,0.070898,0.026169,0.014236,0.020166,0.030061
201703,0.798073,0.038602,0.073290,0.021819,0.015478,0.017740,0.034998
201704,0.780028,0.035154,0.092695,0.032673,0.015951,0.014329,0.029170
201705,0.759132,0.037206,0.107749,0.043236,0.016758,0.011555,0.024364
201706,0.709502,0.039326,0.127420,0.067399,0.016752,0.011200,0.028401
201707,0.675695,0.038515,0.140529,0.089607,0.015126,0.012864,0.027663
201708,0.709283,0.035702,0.138242,0.066747,0.014807,0.014892,0.020327
201709,0.734902,0.042625,0.129193,0.035704,0.018269,0.014832,0.024475
201710,0.760855,0.047276,0.102728,0.026398,0.020176,0.013876,0.028690
201711,0.781553,0.043574,0.072073,0.023840,0.020676,0.022956,0.035328
201712,0.783769,0.039874,0.068575,0.030815,0.022130,0.027795,0.027042
201801,0.793119,0.036383,0.062414,0.018949,0.023955,0.026939,0.038239
201802,0.792210,0.035465,0.059035,0.023579,0.027659,0.026948,0.035102
201803,0.793407,0.036568,0.063114,0.026210,0.029859,0.022313,0.028529
201804,0.779247,0.043067,0.069547,0.030580,0.029256,0.017874,0.030430
201805,0.759708,0.041150,0.092323,0.038953,0.027694,0.012813,0.027359
201806,0.702272,0.035610,0.117843,0.073652,0.026612,0.013051,0.030960
201807,0.657935,0.035257,0.138053,0.099437,0.022337,0.015476,0.031506
201808,0.650085,0.031249,0.157118,0.099427,0.022263,0.016617,0.023241
201809,0.697448,0.036230,0.150567,0.052648,0.027735,0.012459,0.022912
201810,0.755205,0.047305,0.104832,0.023845,0.029165,0.013007,0.026641
201811,0.779883,0.037239,0.077714,0.020804,0.029960,0.023598,0.030802
201812,0.777431,0.037365,0.072658,0.026050,0.028749,0.029053,0.028693
201901,0.777550,0.037200,0.069000,0.026712,0.031778,0.028535,0.029225
201902,0.769082,0.032736,0.072954,0.031707,0.037199,0.026825,0.029499
201903,0.773749,0.032960,0.076706,0.026188,0.038038,0.022727,0.029632
201904,0.754053,0.036533,0.096158,0.031196,0.036202,0.017310,0.028548
201905,0.724524,0.035537,0.112401,0.051238,0.034185,0.011924,0.030192
201906,0.704772,0.035289,0.116945,0.068816,0.031197,0.009945,0.033036
201907,0.675740,0.033780,0.128123,0.088711,0.026798,0.011261,0.035587
201908,0.640696,0.032918,0.166176,0.080918,0.029817,0.013600,0.035876
201909,0.650119,0.038144,0.181178,0.047737,0.030734,0.015311,0.036777
201910,0.687712,0.039044,0.134450,0.050321,0.032750,0.016109,0.039614
201911,0.742901,0.037352,0.098309,0.026722,0.038630,0.018881,0.037205
201912,0.755406,0.032412,0.081465,0.035983,0.035888,0.025294,0.033552
202001,0.769427,0.029864,0.076274,0.029224,0.040603,0.024350,0.030258
202002,0.763529,0.032698,0.075216,0.031375,0.045374,0.023516,0.028290
202003,0.731986,0.040106,0.084749,0.031687,0.052277,0.021394,0.037800
202004,0.677609,0.053139,0.110712,0.037726,0.058399,0.020192,0.042223
202005,0.664888,0.047829,0.128337,0.057076,0.051302,0.015821,0.034747
202006,0.646889,0.044985,0.150649,0.069905,0.041666,0.012574,0.033331
202007,0.671722,0.040515,0.149390,0.058072,0.038763,0.013543,0.027995
202008,0.636595,0.036948,0.161496,0.082201,0.036359,0.015800,0.030601
202009,0.679197,0.036572,0.157245,0.040389,0.037880,0.016402,0.032314
202010,0.722172,0.040498,0.111805,0.033941,0.041479,0.016340,0.033764
202011,0.746731,0.036038,0.079824,0.031347,0.043554,0.026173,0.036333
202012,0.763148,0.030316,0.070821,0.033121,0.041218,0.027569,0.033808
202101,0.785581,0.025160,0.066428,0.029715,0.040586,0.025715,0.026814
202102,0.784627,0.027857,0.065108,0.025566,0.048374,0.024398,0.024071
202103,0.784692,0.030351,0.063731,0.026877,0.051398,0.018895,0.024056
202104,0.787319,0.029352,0.065096,0.029410,0.048215,0.014116,0.026491
202105,0.713683,0.029319,0.099785,0.060145,0.050899,0.012205,0.033965
202106,0.669887,0.027971,0.130756,0.079438,0.049059,0.011097,0.031791
