"YYYYMM","Diesel","Petrol","LPG","All others"
199804,3.193434,0.447685,0.394469,3.144030
199805,3.273822,0.489861,0.392534,3.512032
199806,3.192915,0.461987,0.381081,3.250541
199807,2.920609,0.451383,0.438122,3.471368
199808,2.625254,0.449519,0.415308,3.377225
199809,2.713029,0.451669,0.439555,3.516478
199810,3.073418,0.460164,0.447197,3.496688
199811,3.250090,0.439763,0.463633,3.640271
199812,3.245109,0.465218,0.483130,3.539709
199901,3.190706,0.448365,0.502033,3.710520
199902,3.115203,0.452041,0.489498,3.810248
199903,3.423331,0.489837,0.505530,4.015911
199904,3.538465,0.467384,0.444513,3.543295
199905,3.470049,0.491253,0.458187,3.674918
199906,3.445055,0.483658,0.461454,3.660400
199907,3.264736,0.485934,0.499706,3.739078
199908,2.935730,0.476928,0.496380,3.705664
199909,2.991190,0.474008,0.509299,3.791582
199910,2.955505,0.485151,0.538635,3.852370
199911,3.420036,0.494195,0.534614,3.863964
199912,3.547281,0.527339,0.589951,3.996967
200001,3.156609,0.477905,0.594671,3.771181
200002,3.181909,0.512436,0.653760,3.862357
200003,3.388299,0.532563,0.640497,3.998455
200004,3.305480,0.522342,0.507602,3.887539
200005,3.560885,0.553737,0.538704,4.195306
200006,3.285622,0.545677,0.534145,3.815989
200007,3.066240,0.538464,0.554259,3.978785
200008,2.895586,0.558045,0.596235,4.254133
200009,3.303359,0.577525,0.613467,4.203208
200010,2.696455,0.511494,0.551147,3.893514
200011,3.316399,0.548450,0.575337,3.931491
200012,3.173951,0.559671,0.645410,4.059412
200101,3.102467,0.554823,0.660764,4.215795
200102,2.972603,0.540440,0.594622,3.720126
200103,3.278775,0.602692,0.644417,4.332733
200104,3.186000,0.553300,0.551200,3.980900
200105,3.384000,0.622600,0.597200,4.214600
200106,3.208900,0.585700,0.599500,4.127100
200107,2.817600,0.562200,0.621700,3.861600
200108,2.703800,0.583900,0.639300,4.158600
200109,2.932200,0.565700,0.647900,4.200900
200110,3.019300,0.582200,0.651800,3.949300
200111,3.126100,0.587900,0.656200,4.069400
