"Quarter","GDP growth"
201106,
201109,
201112,
201203,
201206,4.867680
201209,7.493169
201212,5.376392
201303,4.296010
201306,6.447099
201309,7.337749
201312,6.534983
201403,5.342980
201406,8.023963
201409,8.704109
201412,5.922736
201503,7.112080
201506,7.592545
201509,8.033806
201512,7.197432
201603,9.088683
201606,8.679803
201609,9.669809
201612,8.575494
201703,6.289328
201706,6.112753
201709,5.317940
201712,6.668678
201803,8.932909
201806,7.499661
201809,6.457181
201812,6.233478
201903,5.720943
201906,5.095368
201909,4.298371
201912,3.255643
202003,2.944913
202006,-23.134129
202009,-5.839218
202012,1.775082
202103,3.289793
202106,22.633773
202109,9.865858
202112,5.529075
202203,4.452846
202206,13.490760
202209,5.958238
202212,4.844051
202303,6.896954
202306,9.659944
202309,9.342885
202312,9.514555
202403,8.354641
202406,6.511800
202409,5.612025
202412,6.366486
202503,7.384530
