"YYYYMM","Natural gas","Oil","Others"
197106,,0.000152,
197107,,0.026720,
197108,,0.040657,
197109,,0.050870,
197110,,0.068362,
197111,,0.045727,
197112,,0.050062,
197201,,0.037100,
197202,,0.115204,
197203,,0.136907,
197204,,0.154708,
197205,,0.157777,
197206,,0.148925,
197207,,0.160725,
197208,,0.162031,
197209,,0.136694,
197210,,0.137244,
197211,,0.080163,
197212,,0.098720,
197301,,0.146617,
197302,,0.094349,
197303,,0.163638,
197304,,0.107324,
197305,,0.150349,
197306,,0.150863,
197307,,0.135556,
197308,,0.142851,
197309,,0.153391,
197310,,0.149348,
197311,,0.072801,
197312,,0.013573,
197401,,0.007357,
197402,,0.089067,
197403,,0.065609,
197404,,0.055253,
197405,,0.098123,
197406,,0.141884,
197407,,0.195192,
197408,,0.178624,
197409,,0.187568,
197410,,0.173183,
197411,,0.221860,
197412,,0.179889,
197501,,0.092622,
197502,,0.270914,
197503,,0.477924,
197504,,0.567753,
197505,,0.651690,
197506,,0.826863,
197507,,0.993204,
197508,,0.849832,
197509,,1.094084,
197510,,1.021665,
197511,,0.867685,
197512,,0.985269,
197601,,1.088050,
197602,,1.076546,
197603,,1.106677,
197604,,0.783660,
197605,,0.695927,
197606,,1.121135,
197607,,1.314195,
197608,,1.340774,
197609,,1.237576,
197610,,1.441047,
197611,,0.958102,
197612,,1.435979,
197701,,1.369986,
197702,,1.204294,
197703,,1.266150,
197704,,0.908968,
197705,,0.625685,
197706,,0.803750,
197707,,1.020779,
197708,,1.117346,
197709,,1.039693,
197710,,1.246939,0
197711,,1.276102,0.000582
197712,,1.534196,0.001413
197801,,1.575312,0.001227
197802,,1.373814,0.001106
197803,,1.418754,0.002000
197804,,1.412631,0.000997
197805,,1.349179,0.001054
197806,,1.055217,0.000935
197807,,1.447318,0.000623
197808,,1.519307,0.000637
197809,,1.421246,0.001243
197810,,1.391605,0.002516
197811,,1.399283,0.002733
197812,,1.396583,0.002140
197901,,1.439377,0.002966
197902,,1.309876,0.003234
197903,,1.391466,0.003652
197904,,1.494335,0.002942
197905,,1.427850,0.002776
197906,,1.318709,0.002654
197907,,1.382720,0.001328
197908,,1.520714,0.002438
197909,,1.696476,0.002170
197910,,1.341091,0.004071
197911,,1.805398,0.004100
197912,,2.050124,0.004170
198001,,2.146786,0.004205
198002,,2.149923,0.004734
198003,,2.090805,0.004609
198004,,1.941164,0.003877
198005,,2.063687,0.002720
198006,,1.966905,0.002587
198007,,0.985693,0.002968
198008,,1.961893,0.002533
198009,,1.781897,0.002806
198010,,1.947918,0.002941
198011,,1.877487,0.002525
198012,,2.019112,0.003465
198101,,1.955942,0.004225
198102,,1.794185,0.004288
198103,,1.919505,0.003998
198104,,1.792599,0.003573
198105,,2.095982,0.002419
198106,,2.061981,0.002371
198107,,2.078053,0.002674
198108,,1.304144,0.002695
198109,,1.854446,0.002818
198110,,1.609968,0.003494
198111,,1.939011,0.003031
198112,,1.974691,0.004614
198201,,2.078032,0.004594
198202,,1.830179,0.004347
198203,,2.027693,0.004068
198204,,2.085667,0.003022
198205,,1.898472,0.002418
198206,,1.730569,0.002484
198207,,1.953713,0.001623
198208,,1.971864,0.001314
198209,,1.706452,0.001316
198210,,1.576737,0.002396
198211,,2.162544,0.003712
198212,,2.281579,0.004569
198301,,2.111764,0.003322
198302,,2.288058,0.003936
198303,,2.462228,0.003338
198304,,2.417954,0.002704
198305,,2.431022,0.003037
198306,,2.456730,0.001823
198307,,2.665976,0.000564
198308,,2.268148,0.002005
198309,,2.306582,0.001879
198310,,2.579901,0.002384
198311,,2.560073,0.004607
198312,,2.700224,0.004704
198401,,2.785901,0.004095
198402,,2.609809,0.003900
198403,,2.632632,0.004682
198404,,2.631226,0.003813
198405,,2.884957,0.004329
198406,,2.678411,0.004070
198407,,2.663504,0.000855
198408,,2.811376,0.001848
198409,,2.864928,0.008099
198410,,3.090930,0.005992
198411,,2.986380,0.005349
198412,,3.150040,0.005882
198501,,2.894756,0.006778
198502,,2.602580,0.007015
198503,,3.000406,0.007433
198504,,2.935705,0.006891
198505,,2.965736,0.006317
198506,,2.518673,0.004338
198507,,3.290095,0.002772
198508,,3.173354,0.002157
198509,,3.209508,0.003641
198510,,3.482102,0.005334
198511,,3.440901,0.004577
198512,,3.458943,0.005481
198601,,3.446639,0.005047
198602,,3.167271,0.005919
198603,,3.463208,0.007668
198604,,1.206365,0.002014
198605,,3.173521,0.004158
198606,,3.409716,0.003371
198607,,3.701165,0
198608,,3.696935,0.002714
198609,,3.309986,0.004667
198610,,3.798317,0.006235
198611,,3.912094,0.004737
198612,,4.163121,0.005074
198701,,4.313957,0.005998
198702,,3.648038,0.004007
198703,,3.964676,0.004131
198704,,4.064515,0.005296
198705,,4.174715,0.004498
198706,,3.319729,0.003595
198707,,4.132342,0.000291
198708,,3.168397,0.001735
198709,,4.126496,0.003461
198710,,4.433341,0.003894
198711,,4.138084,0.003787
198712,,4.002349,0.004825
198801,,4.532140,0.004792
198802,,4.222295,0.003289
198803,,4.681944,0.004352
198804,,4.597540,0.004554
198805,,4.438007,0.004217
198806,,3.439603,0.003161
198807,,4.675457,0.000793
198808,,4.233452,0.001925
198809,,4.673151,0.002499
198810,,4.930210,0.002914
198811,,4.790447,0.003341
198812,,4.954438,0.003651
198901,,5.852773,0.004154
198902,,4.885391,0.004058
198903,,6.222021,0.003613
198904,,6.292584,0.003162
198905,,6.247714,0.004577
198906,,5.546717,0.003896
198907,,6.440601,0.000142
198908,,6.442024,0.002510
198909,,5.710132,0.003263
198910,,6.433210,0.002856
198911,,6.416085,0.004559
198912,,5.901137,0.006705
199001,,6.525108,0.004539
199002,,5.897473,0.003236
199003,,6.681622,0.003518
199004,,6.582179,0.002463
199005,,6.893430,0.001841
199006,,6.392679,0.002280
199007,,5.935111,0.002625
199008,,5.856146,0.002899
199009,,6.417081,0.002487
199010,,7.575435,0.004023
199011,,7.457304,0.003740
199012,,7.307156,0.003508
199101,,7.713844,0.002695
199102,,6.990133,0.004463
199103,,7.688860,0.003318
199104,,7.456554,0.003938
199105,,8.070599,0.002654
199106,,7.148801,0.002471
199107,,7.469279,0.002072
199108,,5.934778,0.004549
199109,,8.554314,0.000765
199110,,7.968814,0.002954
199111,,7.770843,0.003644
199112,,8.485129,0.004076
199201,,9.058716,0.004646
199202,,7.889397,0.002533
199203,,8.863069,0.004272
199204,,8.805734,0.002165
199205,,8.031072,0.002809
199206,,8.432655,0.001682
199207,,8.858739,0.002421
199208,,8.455003,0.003881
199209,,8.293424,0.000944
199210,,9.171560,0.002960
199211,,9.005028,0.003883
199212,,9.500356,0.002533
199301,,8.369443,0.002798
199302,,8.007803,0.001848
199303,,9.702196,0.001749
199304,,9.461459,0.003582
199305,,9.459244,0.001438
199306,,8.015516,0.000508
199307,,9.815658,0.002252
199308,,9.320628,0.001585
199309,,8.711024,0.022991
199310,,10.129535,0.081055
199311,,9.943756,0.103637
199312,,10.050765,0.123896
199401,,10.153660,0.131753
199402,,9.399317,0.112142
199403,,10.283357,0.106266
199404,,9.729504,0.099495
199405,,10.464188,0.138989
199406,,10.504544,0.154802
199407,,10.592946,0.120762
199408,,8.348695,0.082621
199409,,10.016681,0.186063
199410,,11.242043,0.224058
199411,,10.835191,0.214406
199412,,11.300732,0.206419
199501,,10.776189,0.192704
199502,,9.609090,0.185447
199503,,10.777585,0.215392
199504,,10.804470,0.196280
199505,,10.987152,0.201963
199506,,9.717672,0.201837
199507,,11.286123,0.204680
199508,,10.357806,0.104417
199509,,10.813557,0.203734
199510,,12.260677,0.226577
199511,,11.872060,0.183603
199512,,12.483316,0.224210
199601,,12.496318,0.228110
199602,,12.038731,0.207195
199603,,12.025057,0.219767
199604,,12.488466,0.211383
199605,,12.062047,0.208813
199606,,12.516428,0.113236
199607,,12.992620,0.221236
199608,,12.295940,0.216352
199609,,12.139453,0.240416
199610,,11.984996,0.300840
199611,,12.429242,0.301689
199612,,12.873332,0.319409
199701,,12.874166,0.338045
199702,,11.673935,0.308301
199703,,12.311071,0.340086
199704,0,13.063340,0.331111
199705,0.000699,12.949148,0.365587
199706,0.021637,11.630316,0.358463
199707,0.033200,12.870792,0.364135
199708,0.045273,11.807421,0.193384
199709,0.039405,11.181449,0.356829
199710,0.045314,12.873260,0.350482
199711,0.048352,12.448406,0.358999
199712,0.050192,12.962214,0.352501
199801,0.048166,13.223715,0.352704
199802,0.039433,11.717666,0.315268
199803,0.049968,12.531484,0.351395
199804,0.045284,12.423567,0.334240
199805,0.047027,11.745969,0.359874
199806,0.027797,11.750498,0.344699
199807,0.049349,12.360944,0.331119
199808,0.042321,9.831472,0.106370
199809,0.003769,11.008602,0.347084
199810,0.049136,11.804422,0.231577
199811,0.049592,11.688108,0.337127
199812,0.040007,12.098281,0.360684
199901,0.039264,12.027158,0.340530
199902,0.034439,10.729892,0.313277
199903,0.050071,11.902955,0.362118
199904,0.041691,11.335469,0.333326
199905,0.051207,11.576443,0.353685
199906,0.049586,10.697563,0.250170
199907,0.047834,12.420476,0.336961
199908,0.049404,11.345382,0.341415
199909,0.043020,11.119499,0.339126
199910,1.111785,12.292405,0.356293
199911,1.384309,12.805724,0.374419
199912,1.447311,13.753718,0.379847
200001,3.870735,12.939570,0.391705
200002,3.571541,12.602087,0.324850
200003,3.893555,13.204096,0.371343
200004,3.165880,11.890586,0.351950
200005,2.643143,12.586654,0.343978
200006,2.340020,11.735478,0.341045
200007,2.468789,13.784157,0.353835
200008,2.176046,12.476518,0.163713
200009,2.531883,12.043018,0.195146
200010,3.046834,13.111305,0.367209
200011,3.776156,13.012954,0.382264
200012,3.922071,13.643845,0.362778
200101,3.789764,13.426943,0.409434
200102,2.713774,11.492206,0.343282
200103,3.032237,13.009103,0.393656
200104,2.720000,12.878871,0.265095
200105,2.921628,11.737440,0.352653
200106,2.881915,11.807683,0.360984
200107,3.346947,13.553721,0.421116
200108,3.060750,11.964832,0.382760
200109,3.002030,12.688305,0.302234
200110,3.099451,13.552456,0.322050
200111,3.867590,12.596365,0.327624
200112,4.213878,13.539737,0.326166
200201,4.553766,12.908546,0.387330
200202,3.936250,11.871096,0.345490
200203,3.672268,11.494005,0.415676
200204,4.314358,11.957298,0.428693
200205,3.983053,12.077996,0.507326
200206,3.556662,11.326052,0.397595
200207,3.890122,12.262333,0.498663
200208,3.061208,10.567467,0.515095
200209,2.863810,10.387417,0.190965
200210,4.378425,11.161795,0.561570
200211,4.633862,10.884969,0.556140
200212,4.977091,11.484643,0.604800
200301,4.807639,11.450392,0.597649
200302,4.430488,10.661879,0.562310
200303,5.086956,12.374396,0.752331
200304,4.159606,11.564038,0.657994
200305,3.690974,11.816741,0.616138
200306,2.892130,10.422585,0.513778
200307,4.038072,11.849648,0.672736
200308,3.339578,11.250131,0.641493
200309,3.801747,10.853768,0.465473
200310,4.801525,11.175114,0.697498
200311,5.003895,11.335641,0.708174
200312,5.219345,12.266535,0.709188
200401,5.286769,12.374964,0.651662
200402,4.703490,11.527554,0.585404
200403,5.085548,12.036163,0.662628
200404,4.240510,11.643606,0.603792
200405,3.126291,11.913770,0.573409
200406,2.498892,11.698713,0.559212
200407,2.548041,11.992054,0.548024
200408,2.175656,10.643334,0.250743
200409,2.603407,10.557566,0.396010
200410,3.601249,11.719521,0.606816
200411,3.903944,11.321375,0.633361
200412,4.152359,10.695190,0.647830
200501,4.085836,10.727514,0.634781
200502,3.766801,10.060106,0.582859
200503,4.253024,11.379250,0.639281
200504,3.970334,11.107246,0.652252
200505,3.692515,10.993770,0.613898
200506,2.813298,9.101754,0.538597
200507,3.106657,10.821984,0.565714
200508,3.089738,10.549210,0.551379
200509,3.616774,9.973412,0.520125
200510,3.728977,10.384356,0.499723
200511,4.266613,10.107414,0.658037
200512,4.467752,10.556086,0.746681
200601,4.310384,10.480828,0.580904
200602,3.922984,9.252111,0.544129
200603,4.413687,10.251376,0.569510
200604,3.953665,8.441885,0.553639
200605,4.096927,9.481057,0.614975
200606,3.708760,9.031635,0.407730
200607,3.753482,9.770884,0.597767
200608,3.898319,9.395129,0.556041
200609,3.284635,9.052370,0.418804
200610,3.869133,9.460986,0.303985
200611,4.731321,9.519731,0.299422
200612,4.849645,10.225202,0.343366
200701,4.737354,9.663236,0.309810
200702,4.308010,8.785073,0.275381
200703,4.526755,9.510248,0.302640
200704,4.924790,9.608344,0.292700
200705,3.928693,8.488002,0.255103
200706,3.304215,7.140991,0.244328
200707,3.721727,9.508618,0.227226
200708,3.581007,8.603562,0.249949
200709,3.720978,8.645331,0.249158
200710,4.869591,9.110390,0.336549
200711,4.959152,8.851812,0.324735
200712,5.084550,8.980218,0.303773
200801,5.415515,9.011205,0.334090
200802,5.096129,8.027546,0.383509
200803,5.509868,8.901464,0.379681
200804,4.693276,8.148464,0.383314
200805,4.147402,8.740324,0.349973
200806,4.006603,7.591225,0.286518
200807,4.165899,8.950458,0.362803
200808,3.398464,7.926946,0.253461
200809,3.336418,7.744797,0.220633
200810,5.058258,8.685031,0.268670
200811,5.326580,8.386303,0.359320
200812,5.689655,8.667471,0.372949
200901,5.797857,8.393086,0.381065
200902,5.583233,7.711425,0.409196
200903,5.543028,8.489228,0.433012
200904,5.065949,7.153995,0.391367
200905,4.371416,7.199511,0.364284
200906,4.011768,6.580456,0.322291
200907,4.653564,8.133296,0.395667
200908,4.420578,7.530592,0.401837
200909,4.362489,7.541544,0.317771
200910,4.982244,8.367384,0.360010
200911,5.458104,8.248633,0.373694
200912,5.996345,8.318363,0.420502
201001,6.259488,8.265372,0.412627
201002,5.995750,7.336357,0.410611
201003,6.399243,7.951742,0.425011
201004,4.912336,7.593202,0.405190
201005,5.524212,7.715495,0.369373
201006,5.030530,6.175537,0.410589
201007,4.425455,7.526214,0.355791
201008,3.682031,6.728544,0.266209
201009,3.322856,6.419454,0.206320
201010,5.404734,7.793489,0.365684
201011,5.836861,7.241120,0.363931
201012,6.460233,7.469617,0.375200
201101,6.294240,7.571240,0.353563
201102,5.730188,6.857523,0.352510
201103,6.147380,7.203378,0.392596
201104,4.074301,7.083810,0.365432
201105,3.747565,6.406301,0.281856
201106,3.729429,6.493350,0.292735
201107,4.200050,7.075273,0.383886
201108,4.369523,6.720568,0.425781
201109,4.308282,6.158622,0.397503
201110,4.952210,6.842267,0.416448
201111,5.814120,6.707493,0.474880
201112,5.971023,6.847297,0.441881
201201,6.445058,6.929866,0.485298
201202,6.064360,6.413112,0.463908
201203,6.290475,6.692627,0.477351
201204,5.407436,6.572085,0.457308
201205,5.293708,6.736994,0.416594
201206,5.065439,5.959943,0.427350
201207,5.472749,6.212052,0.398151
