"YYYYMM","Diesel","Natural gas","Flaring"
201001,0,276.353654,0.651632
201002,9.396878,242.256971,191.572205
201003,0,304.452990,39.884376
201004,3.648200,309.410110,130.675863
201005,0,311.652687,2.566643
201006,11.829011,288.529214,35.942975
201007,0,298.188483,28.100502
201008,6.817343,315.926866,20.949350
201009,0,268.513480,80.490999
201010,10.870898,286.767222,1.092990
201011,0,291.082528,30.864940
201012,0,306.984022,10.600261
201101,2.137329,293.946076,37.693062
201102,3.685050,253.772767,19.664695
201103,11.460506,282.542661,106.544638
201104,3.574499,296.629373,1.544546
201105,0,286.064241,0.172668
201106,7.185848,244.329533,111.798546
201107,9.949635,267.925919,27.996069
201108,2.063628,271.051342,4.212230
201109,60.109062,30.084046,280.236612
201110,53.875431,124.112301,336.352469
201111,0,282.508419,0.029450
201112,0,289.994813,0.281611
201201,9.986486,278.393314,30.999327
201202,30.991271,163.762869,189.079379
201203,47.352893,196.362166,209.626746
201204,0,315.207718,12.048665
201205,0,320.645067,5.411170
201206,17.209183,277.983320,40.265349
201207,0,313.159456,0.931927
201208,0,317.934206,0.023150
201209,22.110300,249.385588,157.152903
201210,5.159070,305.146250,54.210857
201211,0,304.087860,0.747536
201212,0,298.895274,50.444484
201301,0,315.974291,0.376039
201302,11.092001,245.446186,113.386387
201303,2.505834,318.012247,0.419955
201304,0,300.638329,19.243842
201305,0,328.707719,1.176156
201306,9.581130,287.569811,23.563926
201307,0,300.542982,0.546495
201308,8.475615,291.177308,90.725907
201309,0,307.872517,0.118881
201310,0,323.008626,0.233521
201311,0.036851,310.905323,2.162948
201312,8.291363,311.543748,37.402372
201401,0.147402,329.586136,0.073672
201402,7.517502,292.344573,106.755299
201403,40.904055,320.707235,28.269815
201404,40.314447,303.000971,0.332780
201405,84.682449,71.836407,3.008773
201406,47.279192,273.612773,306.757651
201407,38.656174,321.822779,47.992224
201408,13.855788,347.231311,21.174827
201409,0.147402,303.115186,22.085841
201410,0.147402,355.099054,13.252643
201411,3.390246,333.685019,0.219190
201412,5.527575,316.765044,68.413734
201501,0,328.982890,62.526838
201502,0,316.345223,1.362086
201503,0,333.091788,0.073033
201504,0,329.686671,9.185598
201505,0,333.092126,9.593981
201506,8.659868,309.622164,88.801132
201507,0,341.518607,0.076852
201508,9.433728,344.381497,0.590019
201509,0,331.101752,0.515952
201510,0,319.588540,238.520639
201511,0,325.829305,25.536000
201512,0,341.474421,0
201601,0.147402,325.757291,110.815341
201602,9.396878,310.990726,0.934236
201603,0.147402,347.733862,0.089526
201604,0.147402,340.628715,0.064141
201605,0.147402,339.470371,46.818808
201606,6.927894,331.030096,41.669132
201607,16.877529,322.597926,73.853879
201608,0,355.449253,0
201609,0,331.511873,24.820311
201610,0,348.491208,19.847282
201611,18.425250,337.432266,5.766368
201612,0,349.468532,1.200806
201701,0,296.549036,199.923698
201702,0,321.233352,4.565098
201703,0,348.761067,0.010702
201704,0,332.358829,9.554522
201705,0,350.767297,14.905346
201706,7.333249,293.508007,123.820456
201707,0,348.342102,0.734721
201708,0,347.120729,9.195502
201709,0,326.457719,6.877323
201710,0,348.479230,9.106178
201711,0,333.377978,31.035187
201712,8.998892,332.862316,21.827070
201801,0,343.156549,34.872198
201802,11.313104,305.430932,45.169265
201803,0,340.541198,54.412205
201804,0,334.875389,36.808404
201805,41.198859,115.462444,125.467035
201806,11.239403,313.921714,0
201807,0,334.450794,108.050135
201808,0,339.241609,0.055649
201809,0,326.357091,0.557620
201810,0,333.537077,22.346693
201811,2.137329,321.658960,6.399950
201812,0,332.054223,32.335553
201901,0,278.024369,120.899023
201902,0,294.308660,2.019581
201903,0,333.646137,0
201904,0,369.398341,0.596961
201905,0,368.117677,33.266625
201906,3.758751,291.873918,19.837774
201907,0,326.249283,13.674476
201908,0,323.484832,4.220251
201909,0,321.166289,6.742840
201910,0,314.837127,20.588542
201911,0,304.920418,7.237689
201912,5.708142,326.152664,11.604537
202001,8.659868,237.768622,62.086750
202002,0,277.608467,9.297235
202003,0,320.431588,0.050281
202004,0,297.326881,3.202320
202005,0,319.402556,0.567860
202006,0,275.673679,5.533361
202007,0,314.849364,3.434063
202008,0,316.925287,0.201557
202009,0,307.183434,0.113816
202010,3.021741,306.638623,0.112569
202011,0,317.429007,0.048086
202012,0,314.406290,0.142232
202101,0,284.233903,2.504359
202102,0,295.510115,1.011658
202103,0,311.086726,2.633445
202104,0,316.145365,0
202105,0,322.856775,0.654680
202106,10.870898,293.473659,1.324767
202107,0,304.805703,0
202108,0,295.693576,1.715144
202109,0,295.227463,0.367790
202110,0,314.008485,2.796849
202111,0,303.523120,0.177232
202112,3.998648,292.544693,1.209203
202201,0,300.461869,3.776894
202202,0,267.013481,0.335367
202203,0,292.239953,3.270673
202204,0,319.012948,0.266001
202205,0,0.412260,4.425117
202206,151.415019,45.209499,14.973772
202207,20.820533,274.737490,4.645967
202208,27.121968,293.297954,0.021787
202209,23.584320,276.999683,1.322844
202210,24.877773,289.289389,0.910855
202211,34.539974,306.655240,0.825624
202212,40.596501,266.803049,11.824000
202301,27.636401,296.000374,1.551674
202302,27.383975,262.397729,3.857693
202303,27.311380,298.209677,1.876757
202304,24.888459,290.923551,0.025075
202305,11.055150,278.627671,3.514032
202306,5.527575,231.634499,6.601521
202307,0,296.904601,0.277016
202308,0,296.376861,0
202309,11.055150,285.721027,1.065250
202310,0,302.759928,0.042656
202311,0,273.336821,7.490312
202312,4.532059,205.563765,3.439720
202401,0,296.308893,0
202402,0,262.402392,1.245278
202403,0,303.412820,1.033738
202404,0,287.257454,0.772913
202405,0,301.771507,0
202406,0,241.878489,1.675176
202407,0,282.380974,1.534512
202408,0,233.474111,1.685544
202409,0,267.324007,2.172498
202410,5.527575,278.913654,5.109516
202411,13.302293,271.515126,1.369800
202412,0,257.369901,2.519433
202501,0,289.796364,1.233170
202502,0,270.940416,0
202503,0,303.343675,0.484867
202504,0,294.042473,0.065033
202505,0,302.157350,0.280886
202506,9.212625,204.811857,2.029430
202507,9.212625,297.289173,0
202508,0,296.050392,0.510008
