"YYYYMM","Diesel","Natural gas","Flaring"
201001,5.223619,79.299820,12.760962
201002,3.176525,75.410593,4.488412
201003,0,101.670553,7.967064
201004,0,85.921882,6.432158
201005,5.047146,87.021327,2.523231
201006,0,86.643804,1.676019
201007,5.505977,89.193889,39.765589
201008,0,90.666840,3.915357
201009,20.400350,35.067861,4.880730
201010,3.388294,98.287835,1.078935
201011,0,101.653655,0.124866
201012,0,110.985209,0.140880
201101,0,116.300649,0.833232
201102,10.235470,106.919318,3.298602
201103,0,118.305122,14.389231
201104,0,80.091566,7.364798
201105,17.047352,36.732215,2.630243
201106,5.294209,64.865966,0.992853
201107,0,72.039548,2.489934
201108,0,72.331759,0.400332
201109,2.470631,65.177019,2.442917
201110,3.176525,74.964060,0.544842
201111,0,74.725654,0.926899
201112,0,76.461469,3.973899
201201,0,91.021604,0.021692
201202,0,89.766163,1.762559
201203,0,99.590037,0.166063
201204,4.588314,77.505264,5.143091
201205,2.541220,83.226881,6.015027
201206,0,76.973095,0.574096
201207,2.117683,89.095257,0.222660
201208,0,69.310263,0.111983
201209,16.376752,25.657734,3.479555
201210,2.047094,65.512086,0.229300
201211,6.317756,64.832070,0.559322
201212,3.176525,66.475970,10.068445
201301,0,70.994725,0.577582
201302,2.364747,62.258135,2.381993
201303,4.658904,69.774919,2.115351
201304,0,86.678291,1.430176
201305,27.706358,75.884348,9.355400
201306,22.976865,67.129430,1.100007
201307,33.529988,70.085135,2.418145
201308,33.459398,8.144177,2.708001
201309,102.672352,0.000040,9.159969
201310,107.154782,0,1.760915
201311,56.542148,53.008359,36.281109
201312,43.430158,86.774266,20.318845
201401,42.706616,87.661382,0.168500
201402,3.423588,81.250572,3.753937
201403,0.952958,89.660214,0.867311
201404,1.694147,88.723307,1.809865
201405,2.117683,82.646850,19.529945
201406,5.717745,74.273492,4.331894
201407,4.800082,82.390305,0.587582
201408,4.729493,93.506983,1.960936
201409,3.529472,120.152819,2.123856
201410,2.823578,206.447299,1.664380
201411,3.176525,226.592112,0.465734
201412,0,270.816462,1.246032
201501,9.247218,270.540541,0.980696
201502,0,251.391988,7.530618
201503,0,295.280928,0.910548
201504,17.294415,127.826720,7.314374
201505,0,271.048300,5.728816
201506,5.294209,273.912580,4.017541
201507,0,265.607458,3.396538
201508,2.717694,285.512331,4.845023
201509,2.364747,289.363767,2.126801
201510,0.882368,259.911400,1.188828
201511,2.117683,241.490601,7.153347
201512,1.976505,286.679531,0
201601,0,291.585200,0
201602,0,263.573577,2.144246
201603,2.047094,276.954134,0.154330
201604,3.529472,276.963722,3.311051
201605,1.376494,244.131978,1.392469
201606,27.635769,157.409666,5.038005
201607,0,306.733390,1.031698
201608,0,312.828257,0
201609,1.976505,273.715165,0.342324
201610,0,294.359264,0
201611,0,293.727819,1.545942
201612,3.953009,304.352196,1.690143
201701,3.035346,312.606702,0.955540
201702,0,253.322877,5.436028
201703,3.529472,320.773718,0.072834
201704,0,248.996291,3.163260
201705,6.705998,335.717322,1.254957
201706,4.094188,292.704293,0.900258
201707,0,321.936232,0
201708,2.117683,292.537849,1.805786
201709,0,307.287614,0.390098
201710,1.058842,288.856281,4.241094
201711,12.882574,218.723663,3.337414
201712,7.007415,319.093842,1.604748
201801,14.894374,306.413760,0.702133
201802,1.341200,275.968103,0.524113
201803,0,297.126545,0.772512
201804,0,252.127623,0.748907
201805,3.529472,242.458231,2.821042
201806,0,285.518307,0
201807,0,293.477738,2.642864
201808,2.188273,292.625049,0
201809,3.529472,265.214734,9.008160
201810,7.023650,281.095701,0.831033
201811,0,263.753656,0.934037
201812,1.902033,266.443209,2.493286
201901,3.529472,286.238258,0.310548
201902,0,242.317299,1.929866
201903,0,283.584972,0.975515
201904,5.505977,283.582468,0.466929
201905,5.929514,291.065743,1.138403
201906,0,277.712502,0.541977
201907,0,284.735610,0
201908,21.176834,196.374341,3.914595
201909,23.435697,209.230258,13.215553
201910,13.553174,207.721977,34.385655
201911,6.735998,270.722991,3.630671
201912,0,316.344167,0.860831
202001,0,314.121804,2.527925
202002,0,289.019611,0.338751
202003,6.458934,308.373608,2.775671
202004,0,310.260378,0.074891
202005,10.235470,304.224441,3.757640
202006,2.611810,295.186832,2.105096
202007,0,299.344272,0.019909
202008,0,256.504775,1.695354
202009,0,281.930813,0.430008
202010,16.094394,184.474294,4.288102
202011,1.605910,236.313231,0.212488
202012,1.217668,257.855563,0.840159
202101,0,264.143504,0.691231
202102,1.764736,214.003467,4.753977
202103,5.491859,242.072150,0.810871
202104,8.654266,186.590948,2.566018
202105,5.117735,254.027727,0
202106,6.741292,223.450562,2.740059
202107,0,242.061199,0.396400
202108,1.200021,238.426442,0.134466
202109,0,220.447473,0
202110,0,232.121043,0.267110
202111,0,246.114631,0.019710
202112,1.921833,247.180559,0.231926
202201,0,227.667539,4.997813
202202,4.235367,209.663875,0.375005
202203,3.176525,224.768292,1.029361
202204,18.106193,160.207161,1.031883
202205,0,223.943046,1.640705
202206,4.941261,223.056658,0.592459
202207,6.353050,204.254123,1.343425
202208,11.541375,179.618279,6.573802
202209,1.747089,210.714340,5.707193
202210,6.988355,204.384194,4.202565
202211,0,225.714165,0.501438
202212,1.708618,237.313931,0.137100
202301,1.870620,237.406955,0.458867
202302,0,205.774680,0.970699
202303,1.411789,234.768730,2.739471
202304,0,235.421138,6.310875
202305,1.411789,242.814397,0.161928
202306,2.047094,231.460593,0.926254
202307,0,266.583868,0.288084
202308,7.835429,201.615335,0.901039
202309,38.146538,33.759230,4.492541
202310,9.688402,227.192962,4.125425
202311,1.553144,263.510007,1.376704
202312,0,288.525529,0.928536
202401,1.905915,274.381563,0.567543
202402,0,244.756047,0.493940
202403,0,262.107160,0.190302
202404,0,278.230812,0.929762
202405,1.517673,244.872816,1.362545
202406,3.811830,241.215256,0
202407,0,253.211371,0.025453
202408,0,268.719685,0
