"YYYYMM","Diesel","Flaring"
201501,19.228566,2.609816
201502,33.424104,2.247635
201503,14.117890,1.129883
201504,21.176834,2.037610
201505,22.941571,1.302046
201506,22.412150,1.114132
201507,24.706307,1.075175
201508,24.176886,0.974552
201509,20.470940,0.734774
201510,24.706307,1.589601
201511,24.000412,0.273292
201512,21.176834,0.209003
201601,21.670961,0.804992
201602,25.447496,0.317350
201603,20.647414,0.634990
201604,25.765149,2.755005
201605,27.071053,1.038379
201606,23.223928,1.230724
201607,26.471043,0.808109
201608,14.117890,0.146856
201609,26.823990,1.764168
201610,24.706307,0.579348
201611,29.118147,2.996458
201612,25.249846,1.068853
201701,28.242838,1.082912
201702,7.058945,0.942048
201703,35.824145,0.988546
201704,19.764163,1.475660
201705,24.706307,0.684808
201706,15.000258,1.538022
201707,23.647465,1.005153
201708,21.176834,2.494408
201709,19.987402,1.481476
201710,30.021692,0.828640
201711,0,3.060788
201712,25.218080,0.823802
201801,12.353153,1.292754
201802,10.411944,1.112249
201803,0,1.509292
201804,0,1.513844
201805,0,1.955447
201806,1.235315,0
201807,0,0.678944
201808,0,0.805336
201809,0,0.160681
201810,1.058842,1.819180
201811,0,0.694019
201812,4.951144,2.320313
201901,0,0.221635
201902,0,0.735125
201903,0.917663,0.138274
201904,0,0.022013
201905,0,0.363643
201906,0,0.156289
201907,1.058842,0.363914
201908,0,1.349479
201909,0,0.490341
201910,0,2.111130
201911,0,0.466372
201912,0.037765,0.137532
202001,0,0.288620
202002,0,0.359700
202003,0,0.234003
202004,0,0.163623
202005,0,0.156260
202006,0,0.067035
202007,0,0.347145
202008,0,0.241891
202009,1.466178,0.130328
202010,0,1.222559
202011,0,0.080222
202012,0,0.198569
202101,0,0.110503
202102,0.882368,0.782083
202103,0,0.017899
202104,0,1.042533
202105,1.058842,0.508401
202106,0,1.235464
202107,0,1.619719
202108,0,0.059710
202109,0,0.623972
202110,21.600371,0.718863
202111,21.847434,0.186141
202112,28.764918,0.106845
202201,29.435800,0.146471
202202,23.506286,0.436538
202203,24.776896,0.354031
202204,30.847589,0.449402
202205,24.106296,0.053581
202206,20.082698,0.495024
202207,24.106296,0.506568
202208,25.729854,0.392988
202209,23.294518,0.034936
202210,22.588623,0.424693
202211,21.882729,0.139146
202212,25.394695,0.080284
202301,31.800546,0.116465
202302,29.400505,0.075700
202303,35.824145,0.357784
202304,26.647517,0.171172
202305,21.282719,0.372284
202306,0.882368,0.076161
202307,0,0.565456
202308,3.176525,0.590098
202309,0,0.396566
202310,0.779908,0.427036
202311,0,0.279448
202312,0.022942,0.293118
202401,0,0.324108
202402,0,0.355343
202403,0,0.202555
202404,0,0.268850
202405,0,0.323667
202406,0,0.149925
202407,1.058842,0.028085
202408,0,0.086544
202409,0,0.366600
202410,0,0.073601
202411,0,0.516967
202412,0.387960,0.654710
202501,0,0.365806
202502,0,0.050310
