"YYYYMM","Natural gas","Oil","Others"
201412,,302.220000,
201501,,266.364000,
201502,,0,
201503,,1403.604000,
201504,,220.248000,
201505,,959.868000,
201506,,613.980000,
201507,,1208.520000,
201508,,935.316000,
201509,,1252.764000,
201510,,239.832000,
201511,,1175.724000,
201512,,907.668000,
201601,,794.592000,
201602,,650.268000,
201603,,204.012000,
201604,,330.768000,
201605,,654.300000,
201606,,58.464000,
201607,,680.436000,
201608,,626.112000,
201609,,314.388000,
201610,,258.048000,
201611,,671.076000,
201612,,511.020000,
201701,,390.240000,
201702,,394.488000,
201703,,300.564000,
201704,,457.524000,
201705,,176.724000,
201706,,530.244000,
201707,,240.228000,
201708,,0,
201709,,0,
201710,,0,
201711,,11.664000,
201712,,0,
201801,,56.052000,
201802,,0,
201803,,0,
201804,,0,
201805,,0,
201806,,,
201807,,,
201808,,,
201809,,,
201810,,,
201811,,,
201812,,,
201901,,,
201902,,,
201903,,,
201904,,,
201905,,,
201906,,,
201907,,,
201908,,,
201909,,,
201910,,,
201911,,,
201912,,,
202001,,,
202002,,,
202003,,,
202004,,,
202005,,,
202006,,,
202007,,,
202008,,,
202009,,,
202010,,,
202011,,,
202012,,,
202101,,,
202102,,,
202103,,,
202104,,,
202105,,,
202106,,,
202107,,,
202108,,,
202109,,,
202110,,,
202111,,,
202112,,,
202201,,,
202202,,,
202203,,,
202204,,,
202205,,,
202206,,,
202207,,,
202208,,,
202209,,,
202210,,,
202211,,,
202212,,,
202301,,,
202302,,,
202303,,,
202304,,,
202305,,,
202306,,,
202307,,,
202308,,,
202309,,,
202310,,,
202311,,,
202312,,,
202401,,,
202402,,,
202403,,,
202404,,,
202405,,,
202406,,,
202407,,,
202408,,,
202409,,,
202410,,,
202411,,,
202412,,,
202501,,,
202502,,,
202503,,,
202504,,,
202505,,,
