"YYYYMM","Natural gas","Oil","Others"
201303,137.941885,1048.680000,
201304,724.262597,1796.724000,
201305,1528.215929,2095.740000,
201306,87.002942,681.804000,
201307,259.710900,2276.892000,
201308,178.642799,2366.748000,
201309,9.809622,313.380000,
201310,99.030907,1330.560000,
201311,404.979494,2998.872000,
201312,572.861107,3659.760000,
201401,437.936793,3093.336000,
201402,257.020351,2877.660000,
201403,345.682481,3213.072000,
201404,377.101807,3732.372000,
201405,479.568188,3789.756000,
201406,410.456860,3555.432000,
201407,373.772998,3514.860000,
201408,450.143759,3609.252000,
201409,268.994660,2625.588000,
201410,242.495963,3238.704000,
201411,371.120797,3983.256000,
201412,395.674534,4324.716000,
201501,323.242540,3721.320000,
201502,211.445986,2643.624000,
201503,255.162947,2841.516000,
201504,333.527656,3032.208000,
201505,221.829747,2699.604000,
201506,90.370113,2766.312000,
201507,46.121081,1878.660000,
201508,107.938283,2742.696000,
201509,148.518424,2954.664000,
201510,147.488240,2695.104000,
201511,146.884285,2818.008000,
201512,282.887387,2616.804000,
201601,214.886736,2622.312000,
201602,207.999684,2383.272000,
201603,203.141729,2695.896000,
201604,110.907803,1891.728000,
201605,101.476304,1742.904000,
201606,79.649753,1673.136000,
201607,130.315795,1964.988000,
201608,133.596057,1417.032000,
201609,0,0,
201610,114.950612,1590.804000,
201611,131.755384,1858.680000,
201612,65.636394,1376.100000,
201701,46.931728,1941.300000,
201702,24.333405,1502.640000,
201703,64.878872,1813.716000,
201704,74.352617,1617.192000,
201705,69.484139,1351.548000,
201706,51.582251,1411.560000,
201707,42.403742,1501.308000,
201708,25.119958,1369.584000,
201709,29.830752,1281.816000,
201710,0,1479.888000,
201711,0,1485.180000,
201712,0,1442.592000,
201801,0,1366.308000,
201802,0,1094.508000,
201803,0,1278.324000,
201804,0,1271.016000,
201805,0,1339.596000,
201806,0,1218.204000,
201807,0,1271.376000,
201808,0,1316.628000,
201809,0,1029.780000,
201810,0,1001.736000,
201811,0,933.336000,
201812,0,915.408000,
201901,0,1730.592000,
201902,0,1578.348000,
201903,0,1657.908000,
201904,0,1546.884000,
201905,0,1621.044000,
201906,0,1323.504000,
201907,0,1594.764000,
201908,0,1693.764000,
201909,0,1489.140000,
201910,0,1026.828000,
201911,0,659.664000,
201912,0,1086.372000,
202001,0,525.564000,
202002,0,499.032000,
202003,0,511.020000,
202004,0,494.064000,
202005,0,529.740000,
202006,0,497.016000,
202007,0,487.512000,
202008,0,512.172000,
202009,0,416.304000,
202010,0,567.792000,
202011,0,566.676000,
202012,0,546.768000,
202101,0,569.016000,
202102,0,464.184000,
202103,0,531.756000,
202104,0,562.752000,
202105,0,215.280000,
202106,0,13.752000,
202107,0,476.388000,
202108,0,410.256000,
202109,0,439.056000,
202110,0,405.288000,
202111,0,300.780000,
202112,0,318.636000,
202201,0,480.780000,
202202,0,455.976000,
202203,0,565.812000,
202204,0,484.416000,
202205,0,353.016000,
202206,0,369,
202207,0,213.552000,
202208,0,277.956000,
202209,0,276.660000,
202210,0,494.388000,
202211,0,424.188000,
202212,0,349.812000,
202301,0,226.224000,
202302,0,124.920000,
202303,0,131.472000,
202304,0,292.356000,
202305,0,8.316000,
202306,0,0,
202307,0,0,
202308,0,0,
202309,0,0,
202310,0,0,
202311,0,0,
202312,0,0,
202401,0,0,
202402,0,0,
202403,0,0,
202404,0,0,
202405,0,0,
202406,0,0,
202407,0,0,
202408,0,0,
202409,0,0,
202410,0,0,
202411,0,0,
202412,0,0,
202501,0,0,
202502,0,50.832000,
202503,0,0,
202504,0,0,
202505,0,0,
202506,0,0,
202507,0,0,
202508,0,0,
