"YYYYMM","Diesel","Natural gas","Flaring"
201511,0,0,1.181973
201512,8.125264,0,14.123206
201601,11.705646,0.077924,3.055425
201602,5.316267,3.791259,2.151553
201603,3.489376,4.612717,2.320137
201604,6.607414,3.847436,1.879743
201605,3.514294,5.024336,1.661717
201606,1.524892,6.337753,1.227471
201607,2.067678,7.035632,0.967859
201608,3.597987,6.415672,13.432236
201609,1.422240,7.906317,0.866744
201610,5.496383,6.313248,3.392512
201611,5.615557,6.826712,17.730290
201612,4.861779,10.054277,11.126364
201701,5.749358,11.665239,7.252418
201702,3.109913,11.761262,2.282394
201703,4.424083,12.183894,0.358744
201704,2.433598,11.868089,0.227039
201705,6.090901,9.954593,3.313338
201706,1.842059,17.331243,0.917321
201707,2.234793,18.217733,1.916495
201708,1.882145,18.238530,1.458085
201709,2.145412,13.188842,4.103059
201710,1.659234,18.216905,2.026581
201711,2.518103,18.060966,5.778272
201712,1.895146,19.464760,0.222264
201801,1.591522,21.175335,0.073054
201802,1.812265,19.194896,1.204550
201803,3.894027,15.478392,18.116510
201804,2.029759,18.128703,0.468407
201805,3.668137,17.150494,0.949224
201806,1.695799,18.536568,0.301943
201807,0.807949,19.544047,1.020917
201808,0.134071,20.402243,0.060686
201809,0.218577,18.186854,0.466019
201810,0.216410,20.352410,0.251210
201811,0.833680,14.299967,0.431557
201812,0.885954,16.229827,1.395215
201901,0.153031,20.360717,0.151010
201902,0.199346,16.820574,0.068277
201903,0.239432,19.161727,1.017042
201904,0.426861,18.432152,0.905246
201905,1.180099,16.228932,2.709163
201906,1.197704,15.934454,10.522340
201907,0.171720,18.905585,0.088180
201908,0.405193,16.754899,0.068241
201909,1.191745,13.602040,1.167058
201910,0.344523,18.379027,0.510701
201911,0.430112,19.244459,0.388685
201912,0.359420,18.461656,2.385250
202001,0.066900,19.650447,1.210335
202002,0.150593,18.049261,0.643447
202003,0.887579,17.026394,1.827075
202004,0.061483,19.317097,0.632595
202005,0.437154,19.293752,0.386495
202006,0.364566,18.230066,0.224278
202007,2.168705,17.971488,2.146059
202008,1.060924,16.610801,0.222457
202009,1.249436,15.484216,0.586937
202010,0.259205,19.343959,0.909357
202011,0.203680,18.251183,0.008608
202012,0.025460,20.276004,0.208684
202101,1.725322,20.692075,1.016187
202102,1.926294,16.171277,0.859614
202103,1.621315,21.409318,0.123113
202104,1.415739,20.302674,0.007865
202105,1.872936,18.729420,0.175884
202106,2.349905,18.582692,1.488212
202107,1.426844,20.691191,1.843281
202108,1.667631,18.415108,0.210171
202109,1.847476,14.032539,0.885188
202110,0.216139,14.137577,2.802655
202111,0.530327,14.705523,0.947663
202112,0.403568,20.462147,0.330486
202201,0.009209,20.978580,0.008125
202202,0.063108,18.523360,0.369224
202203,3.950635,14.082082,4.341960
202204,8.018820,4.072030,1.567685
202205,2.495894,12.626132,0.921343
202206,0.059587,19.038823,0.755253
202207,0.034669,20.066869,0.098259
202208,0.112674,19.797097,0.015693
202209,0.113216,18.606421,0.700546
202210,0.030335,19.767327,0.192969
202211,0.027356,19.364550,0.159303
202212,0.294144,5.768640,0.497795
202301,0.491324,3.884369,1.882468
202302,0.465051,0.175707,0.591256
202303,0.144364,0.013495,1.132344
202304,1.489140,2.448014,0.511430
202305,1.823912,0.000206,0.188903
202306,1.622940,0.000163,0.036182
202307,1.883499,1.326400,0.122099
202308,1.474785,11.400371,0.649043
202309,0.013813,2.609785,0.149324
202310,0.028169,0.000162,0.373488
202311,0.303082,1.523802,0.068252
202312,0.139759,0.000036,0.426295
202401,0.016522,0.000163,0.606204
202402,0.041169,0.000968,0.312388
202403,0.027898,0.000175,0.253279
202404,0.036836,0.000037,0.670602
202405,0.018960,0,0.166144
202406,0.040899,0.012495,0.414668
202407,0.039815,0.008243,0.004157
202408,0.077734,0.008183,0.113788
202409,0.107257,0.062522,0.018387
202410,0.230223,0.403488,0.383533
202411,0.160615,0.756533,0.292704
202412,0.039273,0.000030,0.042268
202501,0.049837,0,0.000205
202502,0.408714,0.222633,0.900653
202503,0.017334,0.042302,0.274507
202504,0.326917,0.566117,0.665811
202505,0.104278,0.042110,0.026126
202506,0.328542,0.015385,0.002658
202507,0.307416,0.000007,0.214994
202508,0.025731,0.016763,0.053168
202509,0.173616,0.000079,2.350663
