"YYYYMM","Natural gas","Oil","Others"
200511,228.182956,2106,
200512,205.681031,4774.356000,
200601,240.350013,5837.040000,
200602,397.473484,7416.648000,
200603,354.095214,7053.768000,
200604,212.371938,5556.204000,
200605,318.955084,6371.352000,
200606,263.033378,5025.924000,
200607,342.324608,7613.892000,
200608,304.955984,7366.824000,
200609,28.834751,6814.980000,
200610,59.614063,6098.220000,
200611,127.367083,4640.148000,
200612,1.184307,3813.444000,
200701,0,32.904000,
200702,51.435186,1343.844000,
200703,175.712699,4526.100000,
200704,130.418224,4366.260000,
200705,141.461285,3888.216000,
200706,110.384059,3260.448000,
200707,99.708406,2831.040000,
200708,97.749777,3012.048000,
200709,74.599866,2547.972000,
200710,0,1495.980000,
200711,203.982445,1304.460000,
200712,128.635628,1849.932000,
200801,99.288874,2073.384000,
200802,83.486255,1765.584000,
200803,51.099239,1867.248000,
200804,104.193540,1284.984000,
200805,150.738388,1294.884000,
200806,95.828337,1562.832000,
200807,50.739875,710.136000,
200808,7.132472,267.696000,
200809,34.682133,1670.724000,
200810,34.265965,1903.284000,
200811,47.695165,2096.136000,
200812,34.836853,1879.344000,
200901,15.176956,1672.920000,
200902,17.449417,1503.612000,
200903,8.052288,839.268000,
200904,0,0,
200905,0,0,
200906,0,0,
200907,0,0,
200908,78.736590,2128.608000,
200909,46.135828,1734.480000,
200910,30.413631,1939.644000,
200911,28.261522,1670.328000,
200912,25.723309,1590.588000,
201001,19.443310,1348.956000,
201002,23.579832,1440.684000,
201003,30.271838,1573.776000,
201004,2.694618,1462.428000,
201005,18.249608,1330.272000,
201006,5.436309,1443.924000,
201007,0,1431.756000,
201008,0.293599,644.508000,
201009,4.958189,721.764000,
201010,0,887.868000,
201011,6.953233,1262.592000,
201012,0,1359.828000,
201101,3.257483,1184.256000,
201102,10.023316,1081.224000,
201103,3.475197,1194.552000,
201104,0,667.656000,
201105,0,140.796000,
201106,2.153842,841.500000,
201107,14.222622,1024.380000,
201108,7.393114,1153.260000,
201109,3.739687,871.452000,
201110,12.314046,1123.884000,
201111,4.686280,1110.600000,
201112,0,917.388000,
201201,0,1015.380000,
201202,0.046383,1097.604000,
201203,7.172637,944.928000,
201204,3.098151,1049.148000,
201205,7.038149,1116.288000,
201206,11.517598,1048.068000,
201207,16.941589,980.784000,
201208,41.357833,924.084000,
201209,0,768.852000,
201210,0,956.916000,
201211,0,877.752000,
201212,0,909.648000,
201301,0,849.672000,
201302,0,811.332000,
201303,243.270112,826.236000,
201304,160.421462,912.132000,
201305,123.502114,882.504000,
201306,77.839042,976.788000,
201307,126.877861,1080.288000,
201308,136.054525,1024.092000,
201309,23.420592,154.188000,
201310,0,105.840000,
