"YYYYMM","Natural gas","Oil","Others"
202111,402.238982,0,
202112,532.428085,0,
202201,2363.798306,221.436000,
202202,2308.592852,219.060000,
202203,2462.864822,229.572000,
202204,2328.504903,202.500000,
202205,1793.001293,157.068000,
202206,2293.287766,199.476000,
202207,2232.130211,193.464000,
202208,2179.808514,183.204000,
202209,1890.384470,158.796000,
202210,2042.856341,163.836000,
202211,1855.864777,150.156000,
202212,1892.738478,147.096000,
202301,2850.720240,220.248000,
202302,2519.082785,194.544000,
202303,2744.791773,198.828000,
202304,2530.967292,182.952000,
202305,2561.085472,185.256000,
202306,2269.368863,165.204000,
202307,2226.703826,153.720000,
202308,2126.306633,145.980000,
202309,1411.988901,98.136000,
202310,1738.485793,118.836000,
202311,2000.625922,136.692000,
202312,2011.498463,136.980000,
202401,1944.466252,160.704000,
202402,1649.443413,141.552000,
202403,1565.942338,136.080000,
202404,1658.428157,140.148000,
202405,1654.882036,140.724000,
202406,1089.020458,101.160000,
202407,1164.121766,106.128000,
202408,1062.412055,98.784000,
202409,0,29.124000,
202410,634.621987,68.976000,
202411,1006.185017,92.124000,
202412,1232.221962,110.520000,
202501,1259.762663,112.104000,
202502,342.275337,51.660000,
202503,0,29.232000,
202504,0,29.160000,
202505,0,29.160000,
202506,0,29.124000,
202507,0,29.124000,
202508,0,29.124000,
202509,0,29.124000,
202510,0,29.124000,
202511,0,29.052000,
202512,0,29.052000,
202601,503.741518,29.052000,
202602,454.540257,29.052000,
202603,500.265684,29.196000,
